#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2085752}
r,l,t
21.0,82,7.188793
11.0,75,12.05853
1.0,21,12.079615
9.0,65,17.331079
6.0,44,19.085802
18.0,106,27.474102
12.0,97,35.068788
11.0,57,38.283138
1.0,23,38.30485
5.0,32,40.830934
18.0,42,43.760413
13.0,34,46.311373
4.0,41,50.087411
1.0,18,50.47321
4.0,31,50.999711
1.0,15,51.010688
11.0,76,56.39142
13.0,47,59.706957
36.0,143,70.209767
12.0,56,73.400692
19.0,74,79.126733
1.0,16,79.141142
6.0,11,79.613476
6.0,22,81.3328
4.0,21,82.469556
1.0,22,82.936244
7.0,49,86.590873
5.0,37,87.97566
6.0,39,89.656329
19.0,58,93.218648
4.0,30,93.658344
12.0,57,96.669113
1.0,22,96.69183
21.0,74,102.445545
15.0,65,105.932111
11.0,13,106.857648
14.0,129,116.326907
2.0,27,116.426158
5.0,42,119.071341
1.0,17,119.084125
33.0,113,128.967073
3.0,29,129.103659
17.0,68,133.419093
1.0,8,133.425501
7.0,42,136.000954
15.0,50,139.894162
6.0,41,141.312504
1.0,11,141.322293
27.0,66,146.466967
11.0,92,152.568807
19.0,60,156.048779
23.0,87,162.245973
30.0,125,172.146353
1.0,15,172.159049
23.0,55,176.849675
18.0,47,179.190749
29.0,57,183.666392
35.0,87,190.414105
36.0,174,203.919894
7.0,120,211.833046
19.0,72,216.545254
1.0,23,217.814002
24.0,93,224.95022
22.0,90,231.415641
4.0,29,232.212283
16.0,65,236.543263
2.0,28,236.805012
6.0,41,239.404213
16.0,47,242.812813
18.0,352,273.202302
7.0,51,275.120812
6.0,70,278.770586
19.0,67,283.978462
20.0,83,291.003232
3.0,64,295.434133
27.0,76,301.141265
18.0,67,305.052804
6.0,33,306.241943
1.0,22,306.258919
44.0,135,318.222552
1.0,25,318.243018
8.0,23,319.630067
21.0,76,323.944758
14.0,62,329.060961
1.0,20,329.446888
6.0,15,330.347252
1.0,29,330.371209
8.0,27,332.592538
27.0,86,338.103546
6.0,25,338.911307
37.0,108,347.777688
7.0,39,349.004018
36.0,89,354.528374
18.0,50,357.629828
7.0,44,358.911152
19.0,105,365.953738
13.0,31,368.029655
3.0,19,368.400582
3.0,22,369.27551
25.0,66,374.91249
1.0,19,374.926857
9.0,39,378.16381
18.0,55,381.793442
67.0,228,398.857275
20.0,56,402.349206
11.0,42,404.371077
20.0,65,408.705413
9.0,69,413.132978
1.0,30,413.522644
16.0,56,416.464411
32.0,64,420.437129
34.0,58,425.588408
37.0,79,430.424492
15.0,45,432.443134
16.0,54,435.14116
17.0,64,439.663393
1.0,14,439.67397
42.0,98,446.966395
1.0,24,446.990121
31.0,148,459.549215
1.0,26,459.567664
13.0,24,461.428677
7.0,36,463.961267
1.0,28,463.981637
18.0,63,469.479454
11.0,51,472.150607
1.0,15,472.161459
2.0,8,472.40583
24.0,82,476.835858
6.0,25,477.316551
7.0,19,478.499445
13.0,64,481.978134
20.0,87,487.144848
8.0,18,488.128055
17.0,48,491.9485
16.0,69,497.143585
9.0,17,498.418034
5.0,10,499.121317
34.0,103,506.143513
9.0,43,509.19066
30.0,68,514.260152
32.0,148,525.607264
26.0,103,533.745996
4.0,33,534.970106
1.0,20,534.987774
16.0,28,537.461992
3.0,15,537.561232
6.0,40,540.886093
2.0,26,541.001169
13.0,79,547.066249
14.0,28,548.776809
32.0,118,556.508181
8.0,41,557.745636
55.0,168,570.345155
7.0,50,572.466805
17.0,45,574.022827
55.0,172,586.350191
1.0,22,586.366558
16.0,37,589.314776
35.0,97,595.771757
6.0,39,598.306105
14.0,42,600.073802
12.0,56,604.386201
1.0,7,604.391973
12.0,40,607.381431
65.0,166,620.647876
26.0,77,626.969185
9.0,64,631.258339
19.0,56,634.669484
3.0,23,635.989459
34.0,123,645.836618
23.0,76,650.160568
1.0,26,650.180144
9.0,19,651.446367
23.0,67,654.638805
17.0,48,657.496728
36.0,110,666.050584
5.0,25,667.68875
32.0,76,673.927475
5.0,26,675.229475
14.0,22,676.637321
32.0,93,683.971429
26.0,74,688.106316
6.0,29,688.566815
15.0,92,694.533718
7.0,25,695.9522
17.0,65,699.024792
47.0,96,706.939941
25.0,76,711.685882
27.0,208,728.969736
14.0,54,732.452416
10.0,61,735.516114
33.0,78,742.04002
12.0,39,744.772358
1.0,33,745.559995
7.0,44,748.621979
5.0,21,749.417975
12.0,58,752.902473
20.0,96,759.642459
19.0,32,762.112831
7.0,21,763.387469
18.0,36,766.295015
2.0,48,768.066243
9.0,22,769.342143
9.0,30,770.534835
48.0,155,781.998925
23.0,68,785.361618
28.0,95,792.665819
22.0,136,802.473579
24.0,39,805.454043
7.0,12,806.272192
8.0,66,810.612619
2.0,22,810.867941
37.0,101,817.275295
11.0,41,819.386693
10.0,40,821.942406
1.0,17,821.956325
10.0,46,825.815158
42.0,108,834.963865
9.0,36,837.932484
3.0,31,838.353766
10.0,47,840.809117
36.0,103,847.701922
1.0,37,848.465425
36.0,152,859.060043
9.0,38,860.640486
16.0,60,863.652186
20.0,44,866.338286
18.0,59,869.799962
33.0,76,874.766415
16.0,92,880.395637
15.0,74,886.489914
12.0,37,888.889966
5.0,36,890.125272
29.0,95,897.005825
18.0,88,904.32431
10.0,41,906.995474
12.0,28,909.245021
10.0,51,913.13071
14.0,41,915.495534
43.0,128,925.054018
34.0,77,930.949045
34.0,86,937.065847
35.0,95,943.349265
128.0,3000,1204.536273
17.0,86,1211.924075
3.0,21,1212.853732
10.0,77,1217.199184
1.0,14,1217.211883
1.0,19,1218.193391
10.0,49,1220.298472
1.0,25,1220.317903
8.0,34,1222.996929
12.0,59,1226.399424
2.0,150,1238.387777
13.0,87,1245.392997
1.0,19,1245.408288
5.0,69,1250.536612
11.0,61,1255.78198
31.0,102,1263.365556
20.0,80,1270.281123
4.0,106,1277.573751
2.0,25,1278.053974
22.0,127,1286.601671
20.0,104,1294.816477
1.0,21,1294.837792
8.0,31,1297.02844
30.0,53,1301.006927
10.0,29,1302.348539
18.0,23,1304.305458
7.0,38,1305.663408
53.0,142,1316.861262
9.0,48,1319.08186
36.0,91,1325.553909
9.0,31,1327.669149
17.0,54,1331.142849
21.0,65,1336.316417
1.0,30,1336.42604
4.0,15,1336.800575
1.0,8,1336.812382
5.0,32,1337.646244
1.0,41,1340.715674
16.0,51,1344.544394
24.0,45,1347.573296
1.0,8,1347.584534
15.0,34,1349.392183
14.0,44,1351.907192
2.0,29,1351.966891
1.0,38,1352.783393
5.0,16,1353.184807
52.0,103,1361.178417
1.0,16,1361.190581
25.0,70,1366.458586
11.0,105,1373.77254
10.0,75,1378.622857
3.0,41,1380.3077
2.0,38,1381.680768
26.0,62,1384.976066
27.0,91,1390.777286
24.0,79,1396.967325
92.0,3000,1656.560822
27.0,115,1664.791367
11.0,35,1666.50731
131.0,3000,1928.02072
54.0,164,1940.576738
14.0,32,1943.23648
1.0,30,1943.39542
10.0,32,1944.277111
10.0,33,1946.057054
15.0,107,1953.656749
53.0,102,1962.406606
73.0,208,1978.754008
39.0,84,1985.798507
49.0,176,2000.091337
17.0,57,2004.335342
36.0,106,2011.215603
48.0,113,2019.872306
3.0,22,2020.191456
1.0,23,2020.209289
5.0,11,2020.598976
20.0,117,2030.519437
3.0,27,2030.62401
1.0,13,2030.634075
6.0,53,2034.095972
8.0,46,2037.118502
1.0,10,2037.128796
11.0,16,2037.959129
3.0,38,2040.243074
9.0,114,2047.500738
1.0,21,2047.520497
37.0,66,2052.525282
33.0,47,2056.351383
3.0,25,2056.794185
13.0,32,2058.103257
1.0,15,2058.116778
9.0,29,2059.67411
1.0,17,2059.691858
12.0,58,2063.974188
13.0,45,2065.265675
47.0,96,2071.706302
56.0,114,2080.146341
7.0,15,2080.617647
17.0,58,2084.741677
5.0,34,2085.499639
9.0,37,2087.196083
18.0,56,2090.799968
9.0,21,2092.561323
4.0,38,2094.55648
1.0,20,2094.572428
7.0,21,2095.776975
5.0,46,2097.516299
16.0,36,2100.064475
2.0,26,2100.129401
1.0,18,2100.143334
30.0,97,2107.500556
59.0,111,2115.596305
27.0,67,2119.365997
16.0,74,2123.408175
58.0,154,2134.212809
16.0,60,2136.8333
3.0,38,2137.602068
8.0,44,2139.80429
34.0,116,2147.518245
8.0,26,2149.416893
1.0,26,2149.43619
14.0,18,2150.65747
2.0,23,2150.708732
7.0,17,2151.394509
10.0,32,2153.993729
9.0,49,2155.440325
17.0,37,2158.408732
26.0,56,2162.347913
32.0,76,2167.952047
6.0,19,2168.389132
5.0,35,2170.221425
13.0,36,2171.918382
17.0,144,2183.979424
34.0,118,2193.87054
9.0,27,2195.28244
10.0,114,2202.985427
21.0,61,2206.375589
12.0,26,2208.469599
10.0,23,2209.327469
6.0,35,2209.85129
3.0,20,2209.959328
30.0,128,2219.395625
36.0,126,2228.340376
1.0,17,2228.353213
8.0,17,2228.853789
5.0,30,2230.565824
13.0,33,2233.094135
13.0,55,2235.783117
1.0,18,2235.800017
2.0,35,2238.255088
1.0,22,2238.2728
13.0,37,2241.397883
5.0,33,2241.810263
8.0,32,2243.076615
1.0,20,2243.091884
4.0,13,2243.467297
6.0,41,2244.359485
37.0,118,2252.516848
8.0,24,2254.206093
31.0,112,2262.279154
24.0,62,2265.345008
29.0,77,2271.380569
3.0,23,2272.145512
24.0,64,2276.124951
145.0,3000,2536.350422
26.0,71,2540.822152
23.0,120,2550.068549
7.0,14,2550.877239
19.0,40,2554.03409
14.0,35,2556.924369
3.0,33,2557.844905
41.0,87,2564.380224
4.0,27,2565.622281
61.0,141,2577.172653
14.0,47,2578.619456
37.0,78,2584.624112
8.0,30,2586.411563
55.0,112,2595.801267
68.0,125,2604.817313
13.0,103,2612.089299
5.0,31,2612.475392
10.0,12,2613.345313
13.0,18,2614.599401
