#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2402556}
r,l,t
33.0,330,30.688923
15.0,71,34.62878
15.0,69,38.695743
12.0,115,46.757056
1.0,23,46.77471
2.0,37,50.105452
52.0,111,59.234116
8.0,67,63.939449
3.0,30,66.205467
10.0,56,69.712898
1.0,20,69.730013
10.0,44,72.94492
119.0,3000,332.103686
11.0,46,333.4118
1.0,13,333.421356
13.0,46,336.321292
35.0,130,346.042311
1.0,16,346.053871
3.0,28,347.691804
4.0,64,351.082805
26.0,60,354.672178
37.0,99,362.068859
50.0,228,381.370613
7.0,33,383.136379
3.0,32,383.55382
1.0,25,383.689438
20.0,41,386.606017
17.0,81,391.324282
13.0,84,397.784353
1.0,24,397.801803
17.0,28,400.027867
4.0,43,401.774419
7.0,19,403.130194
124.0,3000,660.088254
4.0,5,660.411626
26.0,76,666.784261
18.0,58,671.001705
1.0,26,671.022098
8.0,33,673.495401
20.0,75,679.20685
4.0,33,679.629872
18.0,78,685.573076
2.0,32,685.875576
6.0,9,686.415777
31.0,82,691.011618
1.0,33,691.39345
19.0,57,694.912137
11.0,59,698.846832
18.0,51,701.917546
29.0,82,708.140242
4.0,28,708.479535
5.0,23,709.488724
9.0,37,710.679401
1.0,12,710.689055
7.0,60,715.532995
1.0,15,715.545181
34.0,76,720.989055
1.0,18,721.002964
14.0,31,723.547
8.0,23,725.252612
5.0,23,726.621915
135.0,3000,980.591903
1.0,22,980.608102
39.0,102,988.772453
1.0,16,988.785032
18.0,45,992.546809
7.0,27,993.836163
31.0,122,1002.958698
2.0,22,1003.016725
1.0,22,1003.032702
7.0,9,1003.538913
36.0,111,1010.727709
22.0,61,1015.345109
6.0,22,1016.671459
28.0,100,1024.21825
5.0,35,1024.657781
29.0,91,1030.219461
1.0,25,1030.238137
7.0,48,1034.401854
12.0,45,1035.820085
7.0,31,1036.674687
38.0,112,1045.611875
1.0,16,1045.625377
33.0,72,1051.411847
1.0,11,1051.420226
10.0,28,1053.089417
131.0,3000,1314.754259
10.0,62,1318.947986
1.0,17,1319.777773
3.0,20,1319.872296
16.0,30,1321.60219
13.0,53,1324.200655
7.0,65,1327.240099
16.0,50,1330.334492
4.0,20,1331.690074
9.0,51,1334.51792
29.0,91,1341.159015
19.0,67,1345.566174
1.0,26,1345.586387
116.0,3000,1606.288363
14.0,34,1608.53276
26.0,88,1616.107996
6.0,61,1619.151764
8.0,27,1620.122095
6.0,37,1622.566495
1.0,21,1622.583729
10.0,33,1625.122005
1.0,25,1625.14044
20.0,82,1631.931658
1.0,19,1631.950583
31.0,68,1637.571228
49.0,180,1652.358513
9.0,50,1656.155328
6.0,50,1659.943321
38.0,91,1665.189144
8.0,70,1668.645801
13.0,36,1671.261486
2.0,40,1673.837018
8.0,53,1677.721491
5.0,33,1679.66239
26.0,107,1688.256655
9.0,36,1689.80489
2.0,24,1689.859563
13.0,69,1694.781249
24.0,81,1701.205979
14.0,27,1703.34094
7.0,44,1704.623559
11.0,12,1705.551711
23.0,103,1713.712398
16.0,45,1716.774022
13.0,39,1719.792826
17.0,47,1722.553707
4.0,32,1723.350815
14.0,81,1729.851665
7.0,30,1731.442343
43.0,106,1738.633995
7.0,32,1740.323016
5.0,31,1742.081009
26.0,101,1748.208683
29.0,86,1754.860659
3.0,14,1755.00899
5.0,42,1756.192659
61.0,129,1766.815687
16.0,154,1778.933748
17.0,74,1784.842929
18.0,46,1788.825476
9.0,23,1790.197896
42.0,159,1802.377904
1.0,30,1802.690603
10.0,79,1807.944537
55.0,122,1817.399515
8.0,29,1818.757875
18.0,45,1821.521944
15.0,21,1823.321621
10.0,47,1824.696878
17.0,83,1830.893842
54.0,114,1839.221427
22.0,50,1842.254569
6.0,12,1842.735849
21.0,128,1853.745404
45.0,116,1861.971269
43.0,93,1869.690089
14.0,64,1875.30509
15.0,126,1884.235666
9.0,48,1888.429135
4.0,50,1890.68088
14.0,33,1892.909873
7.0,45,1894.719427
19.0,59,1898.700792
18.0,91,1905.057352
30.0,106,1913.012506
7.0,31,1913.612921
8.0,63,1917.407855
3.0,17,1917.564246
59.0,159,1929.326573
5.0,34,1930.0075
9.0,35,1931.001229
29.0,142,1942.388732
6.0,24,1944.051899
5.0,32,1944.642911
5.0,35,1945.813238
1.0,19,1945.830747
7.0,27,1947.643997
1.0,15,1947.655884
7.0,21,1948.575687
4.0,29,1948.919575
48.0,105,1956.165595
1.0,28,1957.020221
8.0,38,1958.451519
