#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2309103}
r,l,t
19.0,57,6.298635
15.0,69,10.258619
8.0,55,13.915218
34.0,159,26.154663
1.0,19,26.169685
4.0,43,29.250089
5.0,49,33.058297
3.0,29,35.049776
25.0,56,38.656111
4.0,22,39.643749
1.0,14,39.654308
9.0,27,41.739147
5.0,45,43.121263
10.0,86,48.797837
16.0,40,51.54555
27.0,77,57.908812
8.0,63,61.601031
3.0,33,64.049211
15.0,76,69.717392
1.0,17,69.731706
9.0,48,73.225039
12.0,49,76.512096
10.0,53,79.900433
28.0,71,84.896779
11.0,68,89.217046
1.0,16,89.229318
10.0,25,91.32823
17.0,93,97.52693
1.0,25,97.544757
3.0,31,99.85993
5.0,31,102.049035
6.0,70,105.950552
7.0,52,109.805849
7.0,42,112.917494
9.0,35,114.984659
5.0,29,115.967175
26.0,92,123.332082
33.0,95,129.390742
2.0,21,130.363613
14.0,55,135.156632
12.0,60,138.295785
5.0,51,142.244459
9.0,74,147.849327
6.0,21,149.179747
18.0,130,158.518659
21.0,83,163.819988
24.0,108,171.595398
32.0,135,181.525657
12.0,31,183.794146
5.0,30,184.26758
3.0,21,184.586794
4.0,30,185.147064
5.0,48,187.862473
9.0,40,189.95867
3.0,30,190.821633
44.0,127,200.816277
22.0,62,205.206017
5.0,26,206.02147
14.0,22,207.738753
13.0,66,213.096723
5.0,37,214.556307
4.0,54,216.981415
1.0,10,216.989418
4.0,19,217.794052
1.0,28,218.705032
10.0,69,223.361877
1.0,22,223.377615
23.0,95,230.946401
20.0,78,236.908203
11.0,38,239.852547
15.0,56,244.086132
11.0,31,245.376007
7.0,28,247.067351
3.0,57,251.327042
10.0,53,253.833737
16.0,81,258.939324
11.0,41,261.500854
62.0,205,278.696816
14.0,36,280.797582
7.0,46,283.024185
9.0,96,290.092683
19.0,63,293.229973
10.0,29,295.034484
8.0,72,300.731588
3.0,34,301.170233
13.0,62,305.387996
1.0,20,305.402182
17.0,53,309.968382
38.0,107,318.261043
11.0,31,320.308526
19.0,62,323.125576
21.0,62,328.183243
1.0,23,328.198937
23.0,87,335.536942
17.0,72,340.908567
9.0,9,341.476881
6.0,28,342.644718
21.0,47,345.68131
48.0,103,354.122244
8.0,22,354.951918
15.0,63,359.391366
33.0,112,367.508572
16.0,45,370.289171
18.0,41,373.262622
