#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.1944892}
r,l,t
21.0,99,8.123584
22.0,73,13.857304
16.0,61,17.927198
5.0,12,18.839137
8.0,43,20.564608
14.0,61,23.575641
15.0,69,28.337256
2.0,38,28.889052
33.0,98,36.458706
70.0,3000,297.60501
5.0,48,300.707639
1.0,23,300.727885
15.0,35,303.006887
25.0,57,306.787302
41.0,101,315.263406
1.0,36,317.377166
1.0,23,317.398039
16.0,46,321.266697
14.0,35,323.482214
21.0,69,329.073331
6.0,45,330.747874
27.0,98,338.062368
1.0,21,338.079791
14.0,28,340.105292
24.0,84,346.839202
48.0,89,354.286428
16.0,54,356.503069
16.0,43,359.371014
4.0,20,359.519397
11.0,55,362.85392
19.0,46,365.965202
11.0,46,368.360801
2.0,20,368.537414
11.0,58,372.480101
32.0,127,381.905625
23.0,68,386.246759
7.0,37,387.136842
15.0,48,389.785671
6.0,61,393.575094
82.0,260,414.860832
24.0,130,424.668122
30.0,117,433.305823
11.0,43,436.401779
35.0,79,442.264779
15.0,37,444.491875
5.0,37,445.315068
13.0,79,451.345053
18.0,52,454.358184
33.0,67,459.616837
6.0,42,462.13492
10.0,20,462.747804
6.0,44,464.295442
8.0,72,468.216279
14.0,40,471.182892
22.0,86,477.238748
6.0,23,477.798126
19.0,64,481.548777
15.0,60,484.279514
14.0,32,486.382792
4.0,39,487.667723
18.0,45,491.097527
29.0,118,499.679198
38.0,189,513.4952
18.0,40,516.382424
34.0,81,521.128521
8.0,36,522.83862
35.0,138,532.854727
39.0,99,539.580074
5.0,11,540.434118
7.0,31,542.669815
5.0,18,543.970793
15.0,101,551.224696
17.0,63,555.915009
2.0,19,557.315156
5.0,34,559.105661
38.0,130,569.555537
8.0,64,573.329465
6.0,48,574.994246
6.0,64,578.834374
72.0,197,595.670742
6.0,32,596.606475
6.0,28,598.806481
1.0,27,598.829934
44.0,85,605.677171
17.0,62,608.658305
7.0,46,610.497798
22.0,50,614.701581
10.0,34,615.670135
27.0,50,619.800077
37.0,88,626.981441
43.0,132,636.460867
4.0,38,637.559548
2.0,29,638.021899
9.0,30,638.940635
8.0,40,640.7243
4.0,29,641.163644
17.0,46,643.650645
16.0,50,645.844311
25.0,49,649.239317
6.0,34,651.515159
10.0,45,653.738135
1.0,24,653.760191
7.0,8,654.227943
121.0,3000,909.731591
10.0,35,911.762962
9.0,27,912.622949
3.0,51,916.110654
52.0,118,925.495224
23.0,63,930.423074
12.0,29,932.333802
1.0,27,932.591456
35.0,55,935.697999
49.0,103,944.313959
3.0,24,945.102456
1.0,22,945.120584
12.0,40,948.43518
1.0,32,949.822882
30.0,63,955.275573
10.0,38,957.97426
15.0,72,963.051543
8.0,31,965.587668
15.0,92,972.582944
12.0,37,975.630619
13.0,49,979.149061
20.0,49,982.96997
4.0,14,983.29587
16.0,57,986.686446
15.0,56,990.451218
2.0,32,991.825835
5.0,23,992.291389
26.0,59,996.55235
11.0,49,999.120597
4.0,22,999.297807
20.0,62,1002.999812
140.0,3000,1265.552046
28.0,85,1272.402968
14.0,63,1276.261774
3.0,33,1276.642073
10.0,47,1278.791866
18.0,100,1286.31252
45.0,90,1293.691042
4.0,44,1296.121933
1.0,22,1296.139715
36.0,104,1304.507302
18.0,61,1308.761817
14.0,42,1311.65046
12.0,84,1317.342587
7.0,60,1320.000283
6.0,49,1321.642362
5.0,50,1323.703638
14.0,49,1327.734674
1.0,20,1327.752308
9.0,34,1329.91911
1.0,20,1330.183377
5.0,47,1331.666443
25.0,75,1338.030289
3.0,30,1338.992155
15.0,43,1341.013343
5.0,18,1342.050649
17.0,88,1347.281029
12.0,20,1348.97164
18.0,59,1353.290834
18.0,57,1356.712075
6.0,28,1358.078351
9.0,24,1359.699175
3.0,37,1360.260896
2.0,27,1360.322602
1.0,41,1361.670259
11.0,46,1363.42421
1.0,25,1363.443609
6.0,56,1368.052353
4.0,24,1369.801998
4.0,33,1371.629856
28.0,93,1378.12827
20.0,62,1382.832093
19.0,79,1387.29002
3.0,21,1388.158859
1.0,32,1388.360258
5.0,46,1390.537025
32.0,138,1400.673151
64.0,127,1409.421242
1.0,24,1409.443304
1.0,21,1410.715275
1.0,29,1411.025332
3.0,61,1415.879802
27.0,130,1425.546684
1.0,62,1429.790647
14.0,95,1436.889598
48.0,148,1449.456315
21.0,44,1452.821166
9.0,85,1458.60318
29.0,84,1465.725406
1.0,24,1465.751858
29.0,103,1474.617432
1.0,21,1474.641904
45.0,115,1484.00588
7.0,15,1484.740154
4.0,22,1485.336708
9.0,28,1487.354468
20.0,49,1491.378733
1.0,10,1491.386611
24.0,95,1498.701391
10.0,47,1501.883871
1.0,22,1501.901661
17.0,28,1504.35231
26.0,52,1508.318012
1.0,23,1508.339597
46.0,75,1514.744106
11.0,16,1515.974317
4.0,30,1516.168206
8.0,80,1520.880305
1.0,22,1520.899217
29.0,97,1529.266438
1.0,25,1529.284868
17.0,36,1532.220207
10.0,28,1533.202766
15.0,62,1537.37737
10.0,56,1539.668914
19.0,47,1543.162918
16.0,51,1546.218307
22.0,87,1551.295871
1.0,9,1551.303415
123.0,3000,1809.318834
5.0,23,1810.073263
16.0,104,1817.116733
7.0,39,1820.222992
21.0,101,1829.03924
13.0,34,1831.267583
127.0,3000,2092.145129
44.0,106,2100.963277
29.0,145,2110.878279
8.0,29,2112.165396
6.0,31,2113.523029
7.0,31,2114.276766
1.0,27,2114.297671
23.0,32,2116.850969
21.0,50,2120.795108
21.0,78,2126.45099
14.0,54,2129.37692
3.0,27,2129.475023
1.0,22,2129.494782
28.0,47,2132.980513
4.0,21,2133.369
8.0,66,2138.49217
8.0,59,2141.087316
10.0,33,2143.153738
9.0,33,2144.567905
34.0,93,2151.447288
9.0,61,2155.037956
13.0,54,2159.19301
128.0,3000,2418.000885
24.0,92,2423.519761
14.0,30,2425.177531
3.0,38,2428.170207
11.0,21,2429.592597
33.0,52,2433.605489
28.0,97,2441.194719
7.0,29,2442.136063
20.0,39,2445.100807
14.0,83,2449.827548
20.0,58,2453.375595
10.0,39,2454.972071
9.0,42,2457.258064
73.0,175,2472.284379
6.0,40,2474.153204
100.0,274,2496.65281
15.0,25,2497.625787
10.0,49,2500.947618
4.0,26,2502.105585
13.0,65,2505.322169
39.0,73,2509.518776
4.0,8,2509.883936
31.0,89,2516.462499
5.0,18,2517.834737
13.0,41,2520.660315
15.0,37,2522.851269
35.0,88,2529.670605
5.0,32,2530.08125
1.0,20,2530.095983
19.0,34,2532.709529
70.0,218,2549.575606
1.0,36,2550.933147
71.0,196,2567.24944
47.0,106,2574.612708
46.0,99,2582.518511
1.0,18,2582.533175
51.0,103,2591.075788
1.0,24,2591.093316
30.0,52,2594.896726
7.0,40,2596.664339
78.0,163,2610.346055
45.0,105,2616.805159
41.0,126,2626.21727
13.0,62,2630.847335
51.0,115,2640.170819
1.0,25,2640.193097
55.0,119,2650.10626
73.0,244,2670.443107
57.0,157,2683.192436
7.0,32,2685.015631
12.0,43,2688.503863
4.0,36,2689.485464
41.0,56,2693.862054
55.0,93,2699.425207
90.0,183,2713.762116
5.0,67,2717.333624
10.0,43,2720.403549
1.0,22,2720.423134
25.0,62,2724.984615
6.0,21,2725.769864
19.0,44,2728.804939
3.0,19,2728.900177
58.0,145,2741.344814
67.0,156,2754.752781
9.0,40,2757.29112
10.0,10,2758.123771
1.0,29,2759.005676
26.0,66,2762.490102
9.0,41,2764.222559
3.0,20,2764.676549
34.0,51,2767.913294
11.0,38,2770.195924
15.0,57,2774.10766
53.0,78,2780.220745
49.0,93,2787.597263
34.0,63,2791.825464
15.0,40,2793.183195
41.0,87,2799.417167
7.0,35,2801.60533
41.0,84,2808.87377
4.0,19,2809.043971
6.0,23,2810.623093
