#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.213099}
r,l,t
15.0,72,5.940006
2.0,34,6.705621
9.0,24,8.421562
3.0,31,8.880054
16.0,92,14.344366
15.0,170,27.975808
6.0,28,29.789752
4.0,20,30.543177
16.0,57,33.714313
4.0,25,34.14731
19.0,77,39.217731
12.0,34,41.386187
16.0,68,45.076106
8.0,16,46.218691
15.0,34,49.315191
1.0,18,49.332789
9.0,32,51.910129
15.0,67,55.400034
23.0,76,60.992058
17.0,77,65.494022
18.0,54,68.835714
8.0,78,75.166766
1.0,18,75.180686
4.0,18,75.753375
1.0,22,75.770486
1.0,22,77.054247
3.0,48,80.51035
8.0,34,83.160426
39.0,118,93.062292
2.0,27,93.154631
3.0,30,93.555062
9.0,42,96.294863
3.0,24,96.670409
13.0,49,99.288083
14.0,59,102.795271
1.0,25,102.813376
12.0,58,107.540223
9.0,66,111.64974
1.0,9,111.657996
20.0,78,118.018437
4.0,34,119.014222
4.0,53,121.961632
7.0,34,123.69157
10.0,48,126.692517
9.0,63,131.219158
5.0,58,135.165725
21.0,79,140.835868
17.0,84,145.718641
6.0,22,146.883297
6.0,43,149.551875
15.0,54,152.990847
20.0,59,158.044841
5.0,19,158.530419
11.0,38,161.586048
32.0,94,167.389091
6.0,38,168.211358
23.0,91,174.588502
19.0,85,179.914252
2.0,30,181.208771
22.0,59,185.514227
30.0,159,197.083709
31.0,101,203.375687
1.0,14,203.386128
16.0,112,212.707635
17.0,43,216.102199
11.0,57,219.592525
5.0,34,220.067602
1.0,31,220.650782
10.0,43,223.201164
25.0,83,228.337482
31.0,68,232.293598
27.0,120,242.332991
5.0,31,242.508803
4.0,54,244.642122
10.0,67,248.324426
7.0,18,248.826175
9.0,60,253.847341
36.0,107,260.745744
5.0,20,261.575099
7.0,55,264.219694
22.0,63,268.017679
2.0,18,268.275753
22.0,76,273.087344
1.0,23,273.105888
19.0,55,277.838928
6.0,42,280.050962
23.0,75,284.402593
4.0,37,285.683106
14.0,39,288.569568
4.0,20,290.206602
19.0,82,295.724458
6.0,43,296.748093
22.0,91,304.253216
3.0,26,304.692581
1.0,13,304.707398
24.0,48,308.097573
17.0,59,311.230301
2.0,23,312.569444
18.0,63,317.459215
14.0,49,320.851068
17.0,100,328.635537
36.0,173,343.11001
7.0,47,344.741568
16.0,69,348.948904
7.0,32,349.885474
3.0,59,354.188014
11.0,41,357.254767
11.0,34,359.003188
1.0,17,359.015797
36.0,133,369.364189
40.0,102,376.719752
11.0,27,377.607768
19.0,41,380.620066
4.0,41,382.419811
7.0,73,386.181898
24.0,136,396.606543
1.0,23,396.622947
16.0,42,399.695179
36.0,108,408.447459
11.0,54,412.065936
9.0,49,414.802872
3.0,48,418.578598
35.0,104,426.943722
10.0,44,428.971374
25.0,51,432.93508
23.0,121,441.769212
8.0,44,444.8133
9.0,55,448.34516
3.0,37,450.900797
41.0,119,460.465231
1.0,13,460.482047
2.0,23,462.112643
17.0,118,469.627924
1.0,18,469.640571
10.0,40,472.502545
22.0,108,481.020909
10.0,78,485.49431
5.0,10,485.882744
15.0,145,497.841561
1.0,27,497.90564
56.0,161,509.141963
4.0,20,509.966762
13.0,38,512.556322
26.0,65,516.373565
11.0,60,519.494921
2.0,21,519.911461
46.0,140,529.819749
34.0,64,535.018944
5.0,23,536.701311
59.0,128,546.931486
32.0,101,554.134548
5.0,91,561.681991
8.0,25,563.360631
1.0,28,563.419987
3.0,47,565.191141
123.0,3000,819.323839
21.0,76,823.777829
1.0,22,823.801261
21.0,32,826.375798
4.0,20,826.837677
25.0,74,831.869033
3.0,35,832.400187
139.0,3000,1088.315835
7.0,20,1089.815124
25.0,123,1098.637586
27.0,83,1104.819049
38.0,102,1111.653994
4.0,20,1112.850278
