#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2000895}
r,l,t
9.0,125,11.541976
1.0,27,11.566822
19.0,64,17.334106
8.0,37,19.092317
6.0,27,20.024688
15.0,66,24.095497
15.0,102,32.251001
17.0,69,37.716939
5.0,38,39.614116
16.0,49,41.769057
10.0,39,44.529275
1.0,23,44.546243
14.0,37,47.867828
23.0,90,54.085292
4.0,15,54.883771
3.0,32,55.024682
7.0,41,58.42846
3.0,30,58.893095
26.0,96,64.937876
4.0,52,69.27848
5.0,28,70.211013
30.0,77,76.54111
22.0,60,79.976386
17.0,58,84.828295
1.0,19,84.842531
21.0,72,90.468602
1.0,18,90.516263
10.0,29,92.391603
10.0,47,95.450925
2.0,28,95.806959
1.0,27,95.826273
18.0,58,100.634646
7.0,57,103.379639
7.0,55,107.600477
1.0,20,107.617137
3.0,43,110.842311
3.0,20,112.05702
4.0,39,112.849989
32.0,87,120.02455
4.0,25,121.110665
27.0,57,125.563946
20.0,84,131.627679
7.0,47,134.542073
1.0,16,134.554725
7.0,35,136.849944
2.0,25,136.984467
1.0,26,137.005682
6.0,16,138.27731
2.0,44,140.982033
4.0,32,141.852491
14.0,70,146.890892
5.0,32,148.297203
3.0,32,149.11244
18.0,68,152.439129
5.0,35,154.648442
17.0,92,161.270059
14.0,65,165.472062
23.0,77,170.256954
5.0,20,170.740373
21.0,44,173.280787
6.0,40,175.953158
7.0,46,177.299081
10.0,35,178.72256
3.0,49,182.014784
21.0,90,189.592514
20.0,89,196.083454
29.0,92,202.456168
18.0,88,209.30208
29.0,150,221.924885
18.0,69,226.723511
2.0,27,226.846662
10.0,45,230.464393
36.0,114,239.496341
6.0,28,240.645634
1.0,29,240.669908
37.0,103,249.205954
3.0,39,249.997554
14.0,58,253.419745
23.0,93,258.964167
44.0,111,267.1082
9.0,51,269.147879
1.0,8,269.159489
13.0,41,272.239284
5.0,35,273.160732
5.0,21,274.57074
15.0,36,276.850724
42.0,118,285.533435
39.0,111,294.468905
1.0,23,294.488991
15.0,56,299.20903
1.0,15,299.220478
25.0,91,305.952586
18.0,74,310.424211
2.0,21,310.841805
1.0,22,310.857671
18.0,84,317.522683
10.0,36,319.50314
20.0,148,331.285574
11.0,39,332.850785
44.0,169,346.415319
15.0,220,365.368253
11.0,13,366.258943
1.0,25,366.28122
68.0,212,384.113018
12.0,61,387.13135
53.0,239,406.528996
8.0,63,410.531344
6.0,35,411.751182
15.0,21,413.524927
6.0,44,416.423349
9.0,26,418.240402
4.0,23,418.756841
10.0,33,421.129459
10.0,31,422.663437
10.0,59,426.575145
55.0,115,436.446609
13.0,38,439.302368
40.0,102,447.391853
22.0,66,452.703919
45.0,134,463.910728
1.0,21,463.928103
37.0,75,470.036882
8.0,50,474.238877
21.0,38,476.894154
