#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.241007}
r,l,t
22.0,137,11.569893
9.0,64,17.007531
5.0,63,21.862867
1.0,21,21.880827
99.0,3000,283.359454
11.0,80,289.243361
24.0,78,294.815411
10.0,25,296.251608
24.0,58,300.259135
1.0,21,300.280835
8.0,49,304.138954
36.0,103,313.120517
4.0,42,314.411279
10.0,36,316.152422
1.0,15,316.163422
5.0,27,317.332601
34.0,114,325.156149
23.0,42,328.470606
17.0,68,331.667898
9.0,29,333.668417
1.0,19,333.682851
17.0,49,337.233214
13.0,58,340.98213
7.0,44,342.352896
34.0,67,347.691126
9.0,39,350.231967
16.0,91,357.225708
19.0,36,359.886784
29.0,89,366.619974
17.0,51,369.737048
13.0,33,372.272258
5.0,30,373.729074
24.0,84,379.327418
4.0,67,384.069144
12.0,34,386.706125
31.0,129,397.042495
8.0,13,397.882246
43.0,90,404.974312
8.0,76,409.192216
11.0,50,410.960229
3.0,47,414.356124
23.0,86,421.710001
17.0,70,426.5391
12.0,38,429.027575
17.0,47,432.912796
1.0,25,432.932188
9.0,32,435.203923
43.0,97,441.84393
4.0,32,443.566801
49.0,119,453.85039
5.0,47,455.604817
13.0,49,458.746049
2.0,24,459.515874
22.0,48,462.576081
1.0,35,464.394629
22.0,49,468.083793
3.0,32,469.551567
10.0,53,472.906103
4.0,53,475.390335
23.0,110,483.431193
13.0,30,485.420043
39.0,216,503.038563
6.0,31,504.794402
25.0,82,510.880454
35.0,104,518.196943
7.0,54,521.511729
28.0,115,530.541287
4.0,39,532.762053
37.0,72,537.521947
6.0,32,538.875782
6.0,39,540.448163
18.0,70,545.270609
22.0,79,549.964233
7.0,22,551.325043
27.0,93,558.165543
6.0,23,559.522568
1.0,18,559.537648
2.0,15,559.914459
11.0,35,561.491142
22.0,66,565.014754
1.0,30,565.116971
7.0,25,566.406128
54.0,133,577.348901
30.0,86,584.293522
54.0,145,595.249593
10.0,45,596.56631
32.0,141,606.979706
13.0,67,611.627754
4.0,28,612.010462
10.0,23,612.996993
31.0,91,618.084512
22.0,43,621.119225
35.0,116,628.590796
5.0,34,629.012352
2.0,36,632.001024
29.0,69,637.175264
6.0,30,639.284858
55.0,110,648.358526
20.0,54,652.354755
7.0,16,653.249242
17.0,24,655.001869
17.0,84,661.362922
15.0,74,666.91468
18.0,41,669.819459
8.0,49,673.117453
8.0,82,678.195916
9.0,67,681.595268
40.0,77,687.610014
12.0,99,695.736617
4.0,30,698.123096
1.0,35,698.849864
15.0,79,704.264643
16.0,81,708.608784
12.0,57,711.607456
12.0,46,714.570915
4.0,28,715.530837
30.0,79,720.502933
3.0,27,720.946986
14.0,31,723.456774
29.0,52,727.473814
25.0,86,734.600382
7.0,42,736.611918
1.0,23,736.628138
35.0,91,744.302581
1.0,14,744.314602
24.0,88,751.458492
9.0,71,756.092667
2.0,27,756.196262
7.0,17,756.945422
1.0,16,756.957517
17.0,54,761.301827
10.0,34,762.415584
19.0,69,766.319927
4.0,26,767.94015
2.0,74,772.64133
22.0,68,777.338946
11.0,42,779.38454
6.0,46,781.481326
28.0,80,785.768368
5.0,6,786.189368
3.0,24,786.323078
8.0,134,797.319614
17.0,75,803.327992
17.0,56,807.26591
28.0,68,811.312435
1.0,17,811.326193
2.0,11,811.772129
19.0,60,815.947405
27.0,88,821.158744
47.0,165,834.556532
13.0,60,837.440463
10.0,39,840.332304
6.0,23,840.936711
25.0,67,846.0192
6.0,33,847.129729
1.0,20,847.144327
21.0,51,850.924783
11.0,35,852.270563
14.0,46,855.235738
8.0,22,856.119885
1.0,21,856.138132
24.0,78,861.970065
18.0,62,864.867864
1.0,7,864.874254
36.0,112,873.615852
1.0,27,873.913204
28.0,62,877.885509
22.0,109,885.147321
22.0,55,888.813175
21.0,66,893.616699
23.0,45,896.213958
20.0,95,904.20054
14.0,58,907.404738
24.0,97,915.567324
18.0,73,920.24653
20.0,63,924.448982
25.0,75,928.403801
36.0,103,936.041307
4.0,33,938.191138
74.0,211,955.236587
27.0,117,963.061129
17.0,76,968.54421
8.0,32,970.291446
1.0,21,970.30725
7.0,30,972.625221
7.0,39,974.413396
8.0,91,981.944993
16.0,55,986.272536
13.0,32,988.391103
12.0,46,991.375185
19.0,71,997.094632
3.0,33,997.989062
6.0,33,999.682096
3.0,29,1001.673717
23.0,86,1006.491429
23.0,89,1012.400294
14.0,102,1020.706416
5.0,26,1022.139381
9.0,44,1024.563066
50.0,100,1031.83859
20.0,80,1036.200343
47.0,277,1057.914953
13.0,38,1060.800079
14.0,40,1063.483335
27.0,97,1070.692403
31.0,82,1077.591413
20.0,66,1082.721299
46.0,147,1093.094231
32.0,74,1098.809985
10.0,22,1099.925142
31.0,105,1107.841693
4.0,46,1110.446125
21.0,62,1113.778005
8.0,20,1114.704202
35.0,103,1121.509596
77.0,222,1139.358632
4.0,47,1141.725246
13.0,44,1145.389407
30.0,70,1151.383924
5.0,38,1152.089769
15.0,36,1154.912035
15.0,30,1157.201931
8.0,51,1159.139747
16.0,31,1161.950756
19.0,78,1166.557359
7.0,22,1167.445851
21.0,71,1171.88538
18.0,61,1176.069673
117.0,3000,1435.149276
28.0,65,1440.641387
10.0,49,1442.906312
38.0,118,1450.777044
34.0,60,1455.391444
17.0,39,1458.469497
28.0,113,1466.735927
1.0,28,1466.756939
14.0,32,1469.357857
3.0,20,1469.822189
10.0,44,1473.095583
26.0,77,1478.651336
1.0,24,1478.762834
21.0,67,1482.893264
3.0,28,1483.048672
20.0,90,1490.507978
11.0,59,1494.447786
3.0,20,1494.753092
7.0,28,1495.633391
31.0,76,1501.294535
14.0,103,1508.214837
54.0,101,1515.940095
10.0,32,1516.898958
4.0,28,1517.338969
22.0,64,1521.796118
14.0,63,1526.224732
5.0,24,1527.085172
9.0,60,1529.728683
6.0,74,1533.939005
32.0,251,1554.655845
24.0,37,1557.678404
18.0,29,1559.85392
1.0,13,1559.863971
27.0,57,1564.217512
10.0,122,1573.040797
21.0,86,1578.962626
14.0,64,1582.778278
16.0,62,1585.523705
1.0,15,1585.535573
20.0,58,1589.77745
1.0,13,1589.825756
22.0,62,1594.06711
3.0,33,1595.262957
6.0,39,1597.047319
8.0,43,1599.15685
