#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2066183}
r,l,t
19.0,88,8.122068
11.0,74,14.237774
7.0,11,14.79656
6.0,30,16.097332
17.0,39,19.179972
18.0,59,23.207865
13.0,94,29.166446
26.0,86,35.401623
18.0,80,41.293654
19.0,46,44.465729
19.0,58,48.47611
5.0,32,49.216468
1.0,20,49.233061
15.0,54,53.629664
5.0,42,55.307816
9.0,39,57.637013
9.0,61,61.19495
2.0,33,63.227042
26.0,105,70.689572
40.0,153,83.619444
20.0,55,87.466594
1.0,18,87.493247
31.0,77,93.968561
33.0,106,101.892985
9.0,44,103.325405
3.0,31,104.585016
8.0,44,106.016716
12.0,62,110.254456
6.0,30,111.123322
15.0,55,115.003323
5.0,51,117.312581
4.0,16,118.180181
3.0,31,118.688302
8.0,51,121.146825
17.0,52,124.120922
4.0,57,128.971663
1.0,9,128.978834
1.0,20,129.910596
20.0,92,136.802591
5.0,27,138.317865
12.0,72,143.06659
10.0,40,146.412882
23.0,81,150.815121
27.0,56,155.463882
6.0,46,159.003938
4.0,35,161.707908
20.0,112,170.204249
4.0,23,171.076638
2.0,52,175.41959
1.0,31,175.479776
12.0,63,179.625593
4.0,31,180.712698
2.0,38,181.641676
12.0,71,187.007631
7.0,42,189.719779
22.0,86,194.895061
5.0,46,196.625809
17.0,73,201.185362
24.0,66,206.747276
1.0,18,206.761509
6.0,21,208.423423
10.0,71,213.050918
18.0,72,216.643796
1.0,23,216.660187
19.0,114,226.286724
40.0,118,233.952238
8.0,29,234.879737
20.0,99,243.2093
23.0,58,247.838344
20.0,102,255.044748
20.0,44,258.184036
31.0,106,266.272821
4.0,37,267.425022
9.0,26,269.246585
7.0,62,273.200197
1.0,11,273.209377
2.0,18,273.583448
2.0,28,273.704734
12.0,27,274.991388
1.0,14,275.0023
40.0,103,283.395863
9.0,53,285.932158
1.0,15,285.946408
21.0,82,291.601924
3.0,31,293.249361
20.0,59,297.503007
3.0,21,297.926198
16.0,72,302.490436
25.0,57,307.143709
34.0,118,315.252873
3.0,37,315.759161
1.0,29,315.782275
11.0,28,318.224247
14.0,54,320.958579
101.0,3000,577.463451
18.0,94,585.171996
9.0,46,587.985262
58.0,136,598.25479
4.0,33,598.85525
4.0,88,605.924124
39.0,109,613.927088
3.0,38,615.114491
1.0,9,615.125223
35.0,98,622.71522
