#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.20097}
r,l,t
18.0,75,6.378524
3.0,55,9.483045
9.0,90,17.335747
15.0,27,19.528703
6.0,15,20.508273
6.0,29,21.966514
8.0,43,25.783324
21.0,88,31.871067
17.0,39,34.97793
8.0,32,36.358662
5.0,20,36.775564
3.0,23,37.210017
17.0,78,41.827669
7.0,16,42.785295
4.0,35,43.618795
3.0,28,44.163922
4.0,8,44.915118
27.0,69,50.94509
3.0,35,51.385761
4.0,40,52.829249
1.0,40,53.772716
8.0,77,57.995327
11.0,56,62.290341
14.0,32,64.121596
1.0,19,64.139316
5.0,19,64.939858
21.0,84,72.102359
13.0,57,77.313816
2.0,26,77.468415
20.0,73,82.180163
1.0,12,82.191113
31.0,105,90.978199
7.0,39,93.722064
4.0,36,95.792284
4.0,41,96.77987
1.0,27,97.075267
1.0,17,97.092603
11.0,89,104.532195
20.0,123,113.258186
5.0,19,113.807936
4.0,57,116.777182
2.0,10,117.232778
6.0,25,118.494747
8.0,35,119.968477
8.0,21,121.14904
34.0,83,127.781756
13.0,65,131.682491
4.0,29,133.243699
17.0,51,136.428174
3.0,44,138.664016
1.0,11,138.672915
18.0,51,142.570043
1.0,16,142.62483
21.0,129,152.438277
8.0,43,155.919663
3.0,13,156.361543
14.0,42,159.495535
3.0,31,159.915776
1.0,33,161.167733
7.0,89,166.412431
8.0,31,168.986704
17.0,114,177.157266
25.0,76,182.87703
4.0,29,184.239391
3.0,37,185.223733
8.0,32,187.462313
13.0,114,195.762412
7.0,23,197.095157
28.0,58,201.326234
18.0,91,207.593758
60.0,201,223.783488
19.0,53,226.663026
35.0,125,236.548052
18.0,47,239.78664
7.0,32,240.705326
2.0,31,241.092542
8.0,36,241.92133
12.0,79,248.425294
1.0,16,248.43825
11.0,31,250.775223
17.0,51,253.921057
6.0,29,254.377083
20.0,85,260.218806
9.0,14,261.184958
20.0,32,263.915155
59.0,248,283.928627
17.0,92,289.330787
12.0,61,293.754076
17.0,96,301.290246
32.0,95,309.153105
16.0,58,313.537414
1.0,9,313.545222
3.0,41,315.634445
5.0,14,316.247921
19.0,40,319.588859
14.0,40,322.125804
12.0,65,326.902267
45.0,121,336.218735
8.0,45,337.539684
18.0,51,341.085305
23.0,83,345.706662
23.0,64,349.896248
25.0,46,353.335541
17.0,58,357.215557
4.0,5,357.629379
11.0,22,358.620624
6.0,30,359.111614
9.0,53,361.929753
9.0,36,363.728805
4.0,29,364.207949
1.0,23,364.223885
12.0,45,368.090173
5.0,26,368.908458
15.0,34,371.017753
25.0,57,375.521982
4.0,34,376.381778
1.0,16,376.396541
28.0,55,380.586005
25.0,69,385.439178
12.0,58,388.924316
44.0,100,396.133714
6.0,14,396.553363
22.0,86,401.813217
14.0,31,403.54712
26.0,46,407.434184
8.0,26,408.34897
17.0,73,412.527295
16.0,50,414.716223
12.0,46,416.570571
1.0,31,417.426675
1.0,11,417.439044
14.0,41,419.506415
36.0,98,426.575387
62.0,172,440.093066
12.0,47,444.014727
21.0,59,446.640781
16.0,34,448.824928
4.0,34,451.343026
32.0,97,459.506235
2.0,11,459.657313
31.0,126,468.705298
1.0,21,468.725091
6.0,11,469.635631
8.0,74,475.613799
1.0,20,475.6285
30.0,82,482.0983
23.0,86,488.135428
18.0,77,492.702027
17.0,66,497.434358
12.0,46,499.583088
78.0,152,511.257791
16.0,82,518.101248
45.0,80,523.369676
28.0,73,527.338141
13.0,45,530.193154
21.0,93,537.907531
6.0,38,538.777873
8.0,30,540.18601
19.0,70,546.089047
30.0,123,553.893554
5.0,27,554.767496
40.0,128,564.754923
21.0,99,571.507462
1.0,26,571.525964
18.0,89,578.782411
7.0,51,581.835119
4.0,30,582.259038
38.0,111,589.516914
39.0,71,595.225724
7.0,23,596.169591
4.0,38,597.095397
6.0,24,598.721147
11.0,13,599.671452
3.0,204,616.346855
4.0,34,616.843782
48.0,150,627.857708
22.0,64,631.598837
51.0,141,641.216863
58.0,143,652.3956
16.0,31,654.558223
1.0,51,657.138606
1.0,24,658.534429
14.0,40,660.578909
5.0,29,661.790543
1.0,19,661.80495
17.0,53,665.611761
4.0,33,666.54466
35.0,88,672.825477
19.0,74,678.288167
13.0,22,680.044249
37.0,202,694.945681
21.0,61,699.668363
136.0,3000,955.22781
19.0,56,959.132411
15.0,79,963.991692
1.0,13,964.005668
2.0,23,964.87288
22.0,128,975.574514
28.0,88,981.528994
17.0,50,985.047242
3.0,33,987.008683
