#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2206614}
r,l,t
7.0,39,4.566143
28.0,72,10.172763
13.0,51,12.873374
4.0,43,14.676076
18.0,67,19.601898
17.0,58,22.373863
13.0,44,25.872769
14.0,107,33.51689
10.0,82,40.467638
6.0,30,41.708374
19.0,47,45.476432
27.0,133,56.195476
8.0,132,66.657481
5.0,70,71.900052
1.0,38,74.844793
17.0,49,76.909888
27.0,86,83.056525
27.0,85,88.855744
17.0,49,91.811011
9.0,43,94.941896
8.0,98,101.09045
1.0,17,101.105089
6.0,76,106.721208
6.0,32,108.427383
24.0,75,114.604863
6.0,47,118.536882
2.0,21,119.551378
29.0,79,125.917551
20.0,96,132.804795
15.0,53,135.939257
2.0,17,136.034189
5.0,43,137.318929
2.0,32,138.162064
1.0,17,138.175006
11.0,52,141.780082
120.0,3000,399.188762
1.0,27,399.208837
24.0,71,405.386211
1.0,8,405.395073
12.0,35,407.463968
4.0,9,407.876496
2.0,21,407.976045
21.0,134,419.026533
5.0,20,419.436897
6.0,46,421.726463
16.0,59,424.795801
11.0,49,426.500937
7.0,56,430.296308
15.0,38,432.569178
6.0,52,435.566808
22.0,104,443.998602
22.0,80,448.754209
11.0,35,450.841716
4.0,39,452.206389
19.0,81,457.259288
1.0,23,457.276872
10.0,19,458.327217
1.0,18,458.342123
16.0,47,461.718104
5.0,55,465.603511
4.0,34,467.842124
29.0,62,472.546662
2.0,24,473.87995
16.0,72,477.710921
24.0,111,485.81292
19.0,65,489.018708
64.0,192,505.239344
30.0,79,510.478039
42.0,74,515.39381
4.0,25,515.818925
134.0,3000,770.120535
18.0,64,775.473662
62.0,174,787.615603
3.0,48,789.201114
1.0,8,789.714741
1.0,18,790.814432
13.0,69,796.424306
4.0,42,798.608875
3.0,16,798.913577
12.0,26,800.796904
1.0,50,803.636605
2.0,45,806.362868
47.0,200,823.136628
30.0,89,830.616895
26.0,90,836.97558
48.0,145,848.072488
59.0,132,858.593458
33.0,56,862.324147
26.0,50,865.837895
121.0,3000,1121.532455
21.0,56,1124.817472
34.0,76,1129.108944
122.0,3000,1392.608968
40.0,193,1407.287706
21.0,88,1414.535054
16.0,71,1420.603352
2.0,29,1422.021445
1.0,12,1422.032155
40.0,101,1429.43779
16.0,53,1433.737431
9.0,50,1437.806198
7.0,87,1445.116474
37.0,79,1451.137264
10.0,47,1453.190334
40.0,174,1465.912703
16.0,30,1468.119542
1.0,18,1468.135328
43.0,110,1477.872333
7.0,29,1479.141303
38.0,94,1486.045774
1.0,11,1486.057045
7.0,32,1487.372555
37.0,123,1497.871958
1.0,21,1497.888472
9.0,28,1499.500801
5.0,27,1501.684794
17.0,67,1506.388466
16.0,94,1513.327313
7.0,25,1515.184833
1.0,22,1515.201902
10.0,56,1519.723714
13.0,106,1528.303884
18.0,66,1533.617854
1.0,23,1533.634967
6.0,24,1535.309075
1.0,16,1535.321227
31.0,77,1542.156335
3.0,31,1542.632127
1.0,25,1542.651206
29.0,161,1556.466616
14.0,87,1561.712576
5.0,49,1563.843643
2.0,18,1563.897537
10.0,34,1565.569681
1.0,13,1565.580249
10.0,60,1570.442716
21.0,91,1576.431557
48.0,183,1590.564037
14.0,18,1591.85119
2.0,28,1592.458672
16.0,52,1596.312171
12.0,109,1604.004305
16.0,54,1608.105805
1.0,28,1608.126819
11.0,27,1610.329546
6.0,29,1611.189939
18.0,54,1615.475933
5.0,144,1627.36422
30.0,75,1631.637314
46.0,193,1647.975896
9.0,22,1649.195436
21.0,54,1652.233372
1.0,44,1654.513194
26.0,98,1661.481856
6.0,56,1664.006212
5.0,36,1665.617875
9.0,24,1667.394858
4.0,24,1669.163393
