#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2051134}
r,l,t
13.0,67,5.377855
10.0,77,10.72331
7.0,35,12.001608
5.0,47,13.448752
26.0,123,23.154437
114.0,3000,283.785019
21.0,106,290.569496
8.0,39,293.625151
17.0,40,295.838282
16.0,56,299.729664
11.0,48,301.663015
7.0,74,306.299112
3.0,17,306.425808
10.0,35,307.980167
34.0,183,323.554976
1.0,25,324.030999
24.0,152,336.402548
6.0,41,337.622827
3.0,49,339.300626
13.0,56,341.549984
47.0,110,349.50419
1.0,15,349.51754
27.0,347,378.505225
31.0,118,388.082928
40.0,110,396.212523
1.0,18,396.229019
33.0,51,400.595016
12.0,64,403.589191
20.0,76,408.44762
41.0,161,419.835271
7.0,44,421.179811
7.0,41,422.559223
5.0,43,424.613307
8.0,33,426.514721
5.0,40,427.670729
15.0,68,433.393804
9.0,54,437.396487
3.0,31,438.262117
22.0,71,443.643015
12.0,46,445.263116
20.0,50,449.198097
2.0,22,449.582644
11.0,56,453.550783
18.0,72,458.648888
19.0,53,461.731248
19.0,55,464.427082
34.0,76,469.892273
34.0,95,475.472392
30.0,99,481.976701
36.0,110,489.030717
20.0,137,498.71266
38.0,132,509.484943
1.0,23,509.870943
3.0,28,510.021386
2.0,20,510.370835
29.0,58,515.06304
116.0,3000,770.94341
20.0,60,773.597001
1.0,12,773.606956
7.0,27,775.187647
1.0,41,777.313588
21.0,57,780.576765
4.0,27,781.041974
15.0,49,784.926024
4.0,31,785.072494
40.0,137,796.490878
10.0,64,801.227709
10.0,45,803.645677
4.0,35,805.365143
2.0,33,806.618387
3.0,37,807.984984
1.0,15,807.996703
14.0,40,810.051547
26.0,43,813.452076
17.0,55,816.58553
13.0,71,821.610348
1.0,20,821.624873
16.0,43,824.728023
7.0,21,826.375368
34.0,130,837.469424
74.0,177,851.412976
1.0,29,851.888738
66.0,162,865.433048
27.0,78,871.450135
41.0,105,879.867363
36.0,109,888.423615
22.0,61,892.964236
1.0,15,892.977039
14.0,73,899.208791
15.0,39,900.882033
1.0,17,900.895632
5.0,13,901.433375
18.0,69,907.382205
7.0,50,909.67758
3.0,9,909.979867
36.0,127,918.598409
1.0,16,918.610231
1.0,10,918.617667
6.0,55,922.915567
7.0,28,923.779177
33.0,101,931.049348
11.0,56,935.194342
6.0,21,936.549469
7.0,29,938.313416
22.0,59,942.893157
5.0,21,943.806701
2.0,29,944.205702
1.0,18,944.219719
10.0,23,945.150386
5.0,35,946.272745
19.0,51,949.356338
18.0,63,954.071465
19.0,63,957.535879
15.0,68,962.249907
13.0,73,966.057904
11.0,87,970.919415
4.0,25,971.671727
12.0,79,976.083978
1.0,28,976.104204
3.0,35,979.093221
6.0,22,979.95892
12.0,84,985.778425
37.0,139,995.642082
112.0,3000,1255.623765
1.0,21,1255.644123
24.0,101,1263.734545
1.0,20,1263.75391
34.0,163,1277.911276
1.0,24,1279.787174
3.0,15,1281.056221
18.0,104,1287.651416
6.0,28,1289.72975
5.0,29,1291.033891
47.0,170,1304.909518
18.0,44,1307.498243
8.0,40,1309.207095
3.0,38,1310.568954
23.0,75,1315.688472
8.0,37,1316.408568
36.0,111,1325.422239
21.0,95,1332.559335
29.0,85,1338.076003
4.0,31,1338.589525
4.0,26,1338.933116
24.0,62,1342.707806
1.0,32,1343.202351
1.0,28,1345.161187
27.0,107,1352.927328
1.0,31,1354.636268
1.0,25,1354.656427
5.0,40,1357.703586
3.0,19,1358.496336
1.0,40,1361.140168
70.0,209,1378.584136
26.0,62,1383.363708
1.0,23,1383.386051
10.0,114,1393.484726
22.0,67,1398.649311
25.0,70,1403.3988
2.0,66,1408.450338
1.0,29,1409.315403
9.0,36,1411.447035
8.0,55,1415.521998
36.0,106,1423.763081
12.0,44,1425.949675
1.0,30,1426.339567
44.0,133,1437.821694
21.0,117,1445.573953
18.0,45,1448.556237
39.0,114,1455.850376
33.0,101,1462.928864
26.0,106,1469.851827
14.0,48,1473.271687
1.0,26,1475.117436
3.0,28,1475.559573
11.0,18,1476.900984
26.0,85,1482.581981
16.0,56,1485.727222
17.0,46,1488.853437
26.0,75,1495.234859
13.0,53,1499.599888
59.0,197,1515.658077
6.0,29,1516.546044
5.0,28,1516.934421
10.0,54,1520.125968
23.0,58,1524.086208
18.0,46,1527.859442
4.0,36,1528.446746
6.0,54,1532.341141
16.0,45,1535.78134
5.0,32,1537.87062
8.0,46,1539.993837
2.0,26,1540.09567
22.0,64,1543.606173
1.0,18,1543.619554
7.0,15,1544.370068
4.0,39,1545.251286
15.0,49,1549.169512
7.0,45,1550.898287
1.0,15,1550.914825
8.0,14,1551.765679
20.0,85,1557.343805
9.0,46,1558.988436
25.0,71,1564.699745
21.0,76,1569.555678
5.0,27,1570.939123
1.0,11,1570.954451
3.0,32,1572.544373
6.0,32,1573.405353
8.0,78,1577.742263
18.0,95,1585.470259
40.0,94,1592.471383
31.0,66,1597.639622
12.0,36,1599.247836
22.0,70,1603.063174
1.0,20,1603.08089
13.0,28,1604.902122
7.0,25,1605.560445
66.0,167,1618.267646
9.0,33,1619.135306
16.0,102,1626.49781
10.0,38,1629.013391
10.0,25,1631.038572
3.0,31,1633.323987
24.0,50,1637.170232
1.0,19,1637.188489
14.0,51,1640.963707
1.0,26,1641.559661
14.0,33,1643.621968
6.0,18,1644.857459
21.0,70,1650.158211
1.0,30,1651.524293
21.0,120,1659.67387
18.0,59,1662.606255
15.0,67,1667.54134
137.0,3000,1927.92756
42.0,118,1937.279633
9.0,35,1938.569344
7.0,62,1942.894984
54.0,141,1952.646802
27.0,79,1958.473717
7.0,28,1959.726481
28.0,140,1971.299372
1.0,24,1971.888202
7.0,29,1973.177856
21.0,69,1978.306599
22.0,148,1989.1059
35.0,99,1996.018242
59.0,94,2002.701922
7.0,36,2003.914501
1.0,37,2005.636715
9.0,19,2006.303706
32.0,57,2009.883536
21.0,116,2019.038594
1.0,34,2021.025077
19.0,97,2027.248474
13.0,68,2031.118538
14.0,27,2032.886103
9.0,89,2039.680695
7.0,48,2041.566425
5.0,26,2042.444449
16.0,41,2045.355905
4.0,27,2046.695834
1.0,27,2046.719049
9.0,15,2047.928764
2.0,16,2048.631134
1.0,13,2048.641754
50.0,156,2061.084953
7.0,20,2062.352812
1.0,32,2063.135592
54.0,181,2078.159783
8.0,35,2080.192852
9.0,53,2083.687906
13.0,43,2085.598336
27.0,65,2090.763758
10.0,19,2092.43186
57.0,229,2110.776466
13.0,45,2113.460454
1.0,21,2113.47628
36.0,93,2121.207564
1.0,16,2121.225347
24.0,93,2128.684553
17.0,53,2131.188159
39.0,188,2146.69512
47.0,130,2156.252006
2.0,14,2156.61105
45.0,109,2165.319529
22.0,63,2170.693636
30.0,83,2177.584302
42.0,101,2184.438783
11.0,29,2186.187724
4.0,29,2188.042113
4.0,22,2188.765534
28.0,62,2193.616413
31.0,66,2198.187516
13.0,36,2199.957186
8.0,48,2202.471263
8.0,44,2205.617049
52.0,105,2213.845935
11.0,32,2216.343492
6.0,44,2218.523339
24.0,86,2225.766502
56.0,143,2237.089384
18.0,62,2241.701881
59.0,157,2254.388841
25.0,142,2265.473159
21.0,51,2268.690598
26.0,108,2276.56987
18.0,47,2279.876348
15.0,56,2282.59806
10.0,47,2285.891384
25.0,74,2290.825108
9.0,25,2292.10501
1.0,22,2292.123238
47.0,84,2298.640492
30.0,69,2304.025724
1.0,21,2304.04751
20.0,70,2309.527664
1.0,17,2309.543217
38.0,153,2321.78203
18.0,45,2325.232317
4.0,18,2325.595123
1.0,22,2325.621445
46.0,122,2335.93652
19.0,65,2340.260452
13.0,62,2344.367503
1.0,15,2344.382352
30.0,56,2348.779298
1.0,12,2348.792713
1.0,17,2349.047913
24.0,63,2353.435179
26.0,126,2363.545564
33.0,98,2370.827131
29.0,87,2376.084205
8.0,30,2376.852086
7.0,29,2378.241795
1.0,24,2378.25993
18.0,35,2380.945672
16.0,21,2382.365066
9.0,60,2385.75426
9.0,40,2387.356419
1.0,26,2387.376447
47.0,91,2394.915409
2.0,31,2394.981564
6.0,29,2396.288616
8.0,72,2400.162226
6.0,27,2400.604519
16.0,50,2402.414514
1.0,27,2402.43768
44.0,149,2415.363291
13.0,52,2418.332635
50.0,87,2425.215865
54.0,90,2432.88579
10.0,44,2434.963663
45.0,88,2441.966776
7.0,17,2442.84026
44.0,113,2452.357107
23.0,108,2459.315971
21.0,81,2465.365099
1.0,12,2465.422831
26.0,136,2475.006088
19.0,35,2477.812946
8.0,31,2479.946759
3.0,25,2480.29288
17.0,73,2484.724268
4.0,13,2485.491371
26.0,66,2489.10689
25.0,107,2496.266727
3.0,15,2496.357486
4.0,29,2497.622392
37.0,87,2503.453986
2.0,14,2503.506052
1.0,27,2504.70962
24.0,85,2510.692969
9.0,30,2513.214979
31.0,65,2518.158476
29.0,62,2523.27241
1.0,16,2523.284935
11.0,22,2524.988413
21.0,68,2530.449588
3.0,16,2530.54172
12.0,31,2532.173827
44.0,117,2540.785479
33.0,85,2547.907657
1.0,20,2547.922562
4.0,11,2548.760497
28.0,75,2553.146263
1.0,16,2553.164172
26.0,151,2565.327585
7.0,27,2567.331757
26.0,64,2572.873031
23.0,77,2577.290644
9.0,30,2578.471625
1.0,27,2578.491298
4.0,34,2581.482948
44.0,61,2585.963488
72.0,176,2599.102622
10.0,23,2599.895822
6.0,19,2600.397661
4.0,29,2600.918054
7.0,32,2602.620958
42.0,77,2609.028098
10.0,26,2610.43174
2.0,32,2610.872189
20.0,61,2614.600544
17.0,63,2619.332122
43.0,79,2624.602402
42.0,126,2634.746076
26.0,45,2638.529795
29.0,72,2644.134957
4.0,19,2644.48188
65.0,162,2657.15703
1.0,15,2657.169842
3.0,17,2657.462167
6.0,31,2658.043471
64.0,187,2674.134553
5.0,17,2674.302573
3.0,31,2675.506218
74.0,146,2686.214055
13.0,15,2687.124174
31.0,53,2691.611388
11.0,57,2695.839805
1.0,17,2695.852655
70.0,111,2705.127657
49.0,97,2713.016896
12.0,26,2714.717321
5.0,72,2720.344574
24.0,44,2723.742763
1.0,25,2723.761338
51.0,127,2734.615455
1.0,26,2734.635412
14.0,38,2737.950959
19.0,61,2741.008506
50.0,81,2747.53718
5.0,16,2747.909781
12.0,35,2750.616872
54.0,143,2761.716479
5.0,24,2762.945984
22.0,78,2768.504207
1.0,21,2768.522459
22.0,40,2771.958858
10.0,35,2773.15566
3.0,20,2773.621701
52.0,100,2782.264739
53.0,111,2791.88048
9.0,27,2793.225221
64.0,186,2808.117613
6.0,52,2811.581369
