#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.20291}
r,l,t
7.0,39,1217.723798
11.0,40,1220.254863
2.0,33,1222.153068
31.0,64,1227.162467
18.0,94,1233.579259
6.0,47,1235.426595
6.0,41,1238.793536
12.0,40,1240.738271
8.0,30,1242.356241
1.0,13,1242.370234
10.0,66,1247.178318
27.0,116,1257.060977
14.0,33,1259.385576
3.0,28,1259.736048
4.0,29,1260.63573
17.0,72,1265.845222
23.0,74,1272.142067
15.0,87,1277.995947
1.0,45,1280.118523
1.0,30,1280.546614
1.0,28,1280.567225
15.0,27,1282.663331
2.0,46,1284.867812
1.0,16,1284.882907
18.0,39,1287.603472
14.0,44,1289.819771
21.0,72,1294.983954
1.0,24,1295.001531
15.0,48,1299.129325
6.0,41,1302.644173
17.0,57,1306.598179
2.0,10,1306.703512
19.0,45,1310.474828
5.0,23,1311.231968
9.0,38,1313.360361
18.0,97,1321.12952
16.0,57,1325.823678
10.0,29,1327.61977
17.0,53,1330.160282
20.0,75,1334.213804
14.0,37,1335.873612
1.0,45,1338.592082
6.0,52,1341.146715
80.0,268,1363.336143
27.0,79,1369.503267
25.0,64,1374.260307
70.0,177,1388.72318
31.0,97,1396.822191
2.0,33,1397.727245
13.0,86,1404.95626
3.0,30,1405.936503
6.0,28,1406.455996
1.0,17,1406.468133
35.0,92,1414.258338
7.0,20,1415.008767
28.0,109,1424.057914
23.0,93,1431.105587
6.0,53,1433.065404
22.0,105,1439.880396
106.0,3000,1698.626923
15.0,103,1705.134988
27.0,80,1712.019711
34.0,94,1718.096579
7.0,28,1718.971617
20.0,85,1724.562294
14.0,83,1730.622894
1.0,29,1730.644468
19.0,71,1736.895987
18.0,46,1740.69685
21.0,68,1745.130838
47.0,164,1759.275486
30.0,66,1763.69417
11.0,40,1764.686312
1.0,20,1764.701021
23.0,64,1769.877748
22.0,78,1775.3864
1.0,21,1775.406156
32.0,64,1781.023546
22.0,100,1789.341442
6.0,40,1792.554969
70.0,202,1808.762616
25.0,77,1813.58861
5.0,16,1814.805123
5.0,34,1816.165017
13.0,58,1818.789126
69.0,157,1832.102043
74.0,164,1844.897985
14.0,33,1846.753987
54.0,164,1859.070884
20.0,69,1865.00001
42.0,125,1874.118883
1.0,13,1874.129439
17.0,68,1880.070263
1.0,17,1880.084733
3.0,39,1882.771774
3.0,43,1884.132915
13.0,55,1888.621658
2.0,42,1890.768524
18.0,143,1902.062582
1.0,20,1902.077673
12.0,54,1906.378037
124.0,3000,2163.507687
22.0,65,2167.777858
6.0,36,2170.16889
31.0,125,2179.209731
15.0,79,2184.153877
7.0,24,2185.027255
7.0,41,2187.939225
2.0,18,2187.995214
4.0,15,2189.155627
6.0,20,2189.578153
8.0,46,2193.025607
8.0,30,2194.338486
1.0,17,2194.354368
29.0,114,2203.042194
6.0,27,2203.820646
1.0,30,2204.627234
21.0,35,2207.262424
3.0,33,2208.614223
20.0,41,2211.238821
15.0,88,2216.770287
43.0,192,2232.652433
43.0,146,2244.367542
6.0,28,2246.122941
8.0,48,2248.644151
37.0,96,2257.003269
31.0,90,2263.659843
44.0,98,2271.715557
29.0,96,2278.138622
62.0,239,2297.222961
33.0,66,2301.303477
42.0,95,2309.091097
146.0,3000,2566.820786
8.0,39,2569.89085
1.0,20,2569.90719
25.0,38,2572.53775
1.0,15,2572.595999
10.0,43,2575.87947
25.0,58,2580.187225
9.0,37,2582.076661
41.0,58,2586.336124
19.0,25,2588.101031
46.0,83,2594.793776
1.0,19,2594.808599
6.0,14,2595.310229
11.0,31,2597.370057
26.0,91,2603.59768
50.0,98,2609.577373
9.0,22,2610.819635
5.0,31,2612.046441
18.0,73,2616.942094
1.0,23,2616.961707
31.0,57,2621.960554
