#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2378871}
r,l,t
14.0,67,5.733654
12.0,100,11.907089
1.0,20,11.923557
6.0,38,14.609805
6.0,18,15.188769
15.0,58,18.302312
2.0,17,18.602069
1.0,20,18.658706
12.0,60,23.540301
2.0,39,25.300088
2.0,23,27.112779
19.0,159,40.803944
34.0,112,49.77126
5.0,31,51.450522
10.0,68,56.25682
1.0,14,56.267537
23.0,97,63.580443
11.0,59,67.639472
3.0,15,68.020294
7.0,58,71.931319
17.0,35,74.283182
5.0,69,79.101323
17.0,51,83.496997
7.0,30,84.395981
6.0,37,86.967344
12.0,54,90.063013
16.0,61,94.491499
19.0,58,97.233303
14.0,46,100.503855
12.0,68,104.681328
15.0,56,108.837481
2.0,27,110.810146
4.0,10,111.158251
7.0,39,113.373612
22.0,75,119.779888
38.0,110,127.60565
15.0,51,131.49338
3.0,28,131.64945
1.0,17,131.662215
10.0,50,135.570523
14.0,56,138.582462
7.0,18,139.04049
17.0,70,144.34404
1.0,8,144.351594
7.0,37,146.139633
29.0,67,151.194485
7.0,31,153.349596
4.0,6,153.676869
3.0,42,155.437579
3.0,31,156.369055
5.0,29,157.600355
2.0,32,158.453203
6.0,24,159.82396
2.0,42,161.082322
3.0,31,162.875853
1.0,18,162.890291
34.0,101,171.228602
4.0,19,171.986114
7.0,50,174.567989
28.0,77,179.027923
30.0,149,190.871874
49.0,105,197.844373
17.0,72,202.991551
1.0,22,203.007472
5.0,20,204.190074
8.0,35,205.199061
2.0,36,205.933193
5.0,20,207.137529
3.0,32,207.318056
119.0,3000,466.821826
3.0,19,466.914869
27.0,110,474.560311
15.0,83,480.612758
4.0,33,481.943376
7.0,22,483.011619
3.0,29,483.814199
7.0,45,485.138383
2.0,29,487.297877
24.0,71,493.156483
4.0,28,493.583158
18.0,74,499.193825
8.0,39,500.800534
31.0,138,510.418908
38.0,90,517.607544
27.0,67,521.185169
13.0,38,524.096701
44.0,100,531.485474
119.0,3000,787.086865
11.0,36,789.129873
31.0,144,799.064133
28.0,52,802.07048
16.0,67,806.682966
2.0,30,806.75274
34.0,78,812.226581
15.0,107,820.16104
15.0,39,822.829993
28.0,68,827.240996
1.0,21,827.491997
4.0,20,827.653066
7.0,31,829.366805
19.0,58,832.707601
30.0,108,839.635676
26.0,96,846.798624
1.0,23,846.815361
28.0,62,852.136142
16.0,54,854.421316
33.0,91,860.241176
10.0,97,867.639618
59.0,173,880.367139
4.0,34,882.070808
11.0,46,884.680516
29.0,114,893.286605
45.0,180,907.451065
24.0,91,912.929358
11.0,42,915.143605
