#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2184987}
r,l,t
20.0,86,8.015652
12.0,74,13.837897
3.0,16,14.228591
12.0,71,18.369651
9.0,29,19.710992
5.0,29,21.059794
5.0,43,23.192214
13.0,66,27.469843
9.0,44,30.239826
1.0,20,30.254887
18.0,57,34.964764
11.0,36,36.860882
17.0,44,40.088702
1.0,9,40.096443
24.0,56,45.018599
8.0,26,45.939284
1.0,12,45.948774
14.0,40,49.146482
1.0,15,49.160632
10.0,17,50.171777
31.0,178,64.814889
19.0,58,68.386369
4.0,71,72.045243
19.0,54,76.905257
14.0,52,79.45807
47.0,187,93.54985
9.0,21,94.846609
5.0,47,96.602639
18.0,73,100.575053
10.0,52,104.634851
1.0,27,104.9636
5.0,38,107.584856
27.0,88,114.607244
13.0,85,119.417445
8.0,37,121.227245
4.0,28,121.622515
24.0,72,127.256925
3.0,41,129.844759
9.0,48,132.057168
41.0,126,142.084869
1.0,7,142.090791
11.0,54,145.65389
4.0,47,147.325928
21.0,106,155.851905
7.0,24,157.176679
6.0,61,161.208965
20.0,59,166.016493
3.0,31,166.86012
1.0,22,166.88111
10.0,20,168.25779
2.0,25,169.531704
36.0,143,180.37295
2.0,60,185.513082
23.0,52,189.152503
36.0,145,200.833382
32.0,76,206.314802
28.0,96,212.371366
8.0,24,213.105078
6.0,57,217.43132
8.0,28,218.408289
34.0,107,225.35484
20.0,55,228.929347
11.0,26,230.197423
27.0,100,237.239671
4.0,50,239.862516
1.0,30,239.918108
21.0,58,243.328398
10.0,15,244.551901
8.0,36,246.747564
17.0,56,250.033284
3.0,10,250.438805
9.0,52,254.609421
14.0,150,265.742838
16.0,58,268.836639
9.0,21,270.230833
5.0,51,271.951522
5.0,50,275.625458
42.0,172,288.563269
10.0,45,291.882487
3.0,38,294.452383
4.0,20,294.930317
1.0,16,294.941718
1.0,15,294.989874
5.0,41,295.927452
3.0,33,296.275212
7.0,17,297.097371
106.0,3000,553.821304
9.0,44,555.936131
7.0,47,557.29473
23.0,61,560.675719
17.0,88,568.04597
27.0,138,577.771862
17.0,30,579.595422
7.0,33,582.115687
26.0,84,588.161921
5.0,36,589.4512
10.0,26,590.688504
30.0,69,596.588802
19.0,60,600.810968
16.0,98,608.144127
8.0,50,611.272451
5.0,39,612.088044
1.0,21,612.103299
31.0,121,621.538815
18.0,47,624.119881
20.0,42,626.866444
1.0,20,626.880617
8.0,24,628.612423
7.0,34,630.3197
2.0,39,632.017141
37.0,106,640.147485
50.0,149,651.083826
18.0,65,654.543942
23.0,42,657.857214
10.0,52,660.049003
2.0,31,660.149671
131.0,3000,915.491308
11.0,63,918.644532
23.0,49,922.762953
7.0,38,923.334136
32.0,89,928.765367
7.0,44,930.541021
14.0,38,933.194993
8.0,24,934.277883
7.0,37,937.004479
9.0,33,939.024186
46.0,82,945.193647
19.0,108,952.845607
30.0,39,955.811882
6.0,16,957.139291
4.0,24,957.86168
27.0,75,962.660321
6.0,29,964.660311
21.0,91,971.34577
7.0,28,972.184189
17.0,93,978.669097
20.0,70,983.736794
4.0,28,984.452153
4.0,10,984.581958
5.0,40,987.85035
1.0,13,987.860105
