#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2169044}
r,l,t
6.0,61,5.068811
14.0,68,9.417891
7.0,38,11.42761
9.0,59,14.286473
12.0,77,19.216338
12.0,72,23.961534
1.0,30,24.077083
2.0,38,26.172537
25.0,80,32.319258
18.0,39,35.566643
5.0,30,36.285146
12.0,44,37.702706
14.0,23,39.544984
22.0,101,46.673267
27.0,108,55.343093
19.0,56,58.112544
5.0,45,60.186826
36.0,110,67.657487
10.0,65,71.544593
14.0,66,75.106921
2.0,30,75.653676
42.0,93,83.007098
5.0,17,83.516888
3.0,56,87.452698
4.0,34,88.449603
31.0,139,100.195054
4.0,19,101.160146
16.0,128,111.113138
8.0,43,112.423373
22.0,79,117.547508
27.0,113,125.408537
1.0,16,125.420428
10.0,107,133.408149
8.0,121,141.642595
16.0,77,145.70975
4.0,15,146.552364
4.0,18,147.411945
6.0,90,152.887266
3.0,12,153.323966
5.0,35,155.120504
44.0,154,168.120025
15.0,81,173.692649
1.0,18,174.100991
13.0,61,176.895217
21.0,89,183.4057
119.0,3000,442.762192
10.0,22,444.004954
2.0,18,444.34834
15.0,68,449.519942
9.0,48,451.73421
14.0,59,456.44081
34.0,189,472.496937
12.0,43,474.279156
66.0,249,495.427652
8.0,30,496.552417
1.0,16,496.564135
9.0,29,498.245241
7.0,44,501.723556
1.0,21,501.738981
10.0,51,505.295467
6.0,36,507.272348
1.0,12,507.28158
17.0,94,514.212695
14.0,28,516.470361
8.0,33,518.56387
17.0,41,521.110548
9.0,18,521.98849
30.0,106,528.813542
22.0,65,533.570121
18.0,49,536.309756
5.0,25,537.026056
12.0,61,539.992757
4.0,13,540.474525
2.0,32,540.620385
1.0,18,540.633516
4.0,44,544.040447
3.0,24,545.603492
28.0,54,549.434311
3.0,32,550.72613
12.0,60,554.560356
37.0,62,558.988474
12.0,41,561.572367
23.0,59,565.897669
11.0,32,568.107972
6.0,50,572.001185
16.0,78,578.186922
22.0,108,585.974653
14.0,38,588.464923
8.0,49,591.908638
45.0,82,598.847563
4.0,30,599.23348
22.0,101,607.248961
12.0,25,609.119063
1.0,25,609.139581
14.0,43,612.567288
9.0,40,614.739714
1.0,28,614.759535
41.0,74,621.001255
16.0,42,622.418701
5.0,38,624.829063
23.0,52,629.07754
11.0,17,629.955414
15.0,51,633.243794
20.0,74,637.239552
19.0,52,640.597249
1.0,16,640.61757
18.0,43,642.980053
9.0,72,647.961564
6.0,45,649.272926
4.0,25,649.756267
6.0,39,650.615226
2.0,22,651.919668
6.0,34,652.66189
3.0,37,653.674883
18.0,72,659.666053
18.0,77,665.935474
7.0,81,670.76047
11.0,46,672.355294
13.0,62,676.542328
8.0,21,677.482874
12.0,22,679.226845
19.0,77,684.664219
2.0,21,684.75663
3.0,28,685.099242
1.0,31,685.597126
13.0,39,687.327901
47.0,96,694.471239
17.0,59,697.545596
46.0,164,710.752386
26.0,68,715.024996
11.0,51,717.178694
1.0,18,717.191714
14.0,54,721.485682
17.0,73,726.04797
29.0,99,732.35096
13.0,63,735.95993
10.0,32,738.05718
6.0,30,739.752895
27.0,46,743.433796
1.0,26,743.458303
14.0,23,745.503315
21.0,84,751.481325
1.0,25,751.543921
12.0,46,753.96568
40.0,98,760.728712
5.0,29,761.618277
43.0,95,768.874504
21.0,59,773.837812
3.0,45,776.913263
9.0,50,779.40472
1.0,17,779.792193
1.0,11,779.800795
7.0,39,782.818126
7.0,72,788.68645
4.0,33,789.667623
4.0,16,790.021205
12.0,59,794.801362
9.0,35,797.208832
46.0,69,802.925333
2.0,35,803.689883
46.0,114,811.43513
2.0,39,813.023738
1.0,20,813.039817
32.0,71,818.565113
7.0,14,819.424646
1.0,17,819.437124
21.0,65,823.889329
58.0,218,840.803492
4.0,32,840.96365
42.0,70,846.817044
32.0,52,850.891737
46.0,124,859.465409
1.0,27,859.484215
7.0,14,860.686806
50.0,136,869.846988
50.0,83,876.097772
10.0,30,877.964144
24.0,62,883.033551
25.0,64,887.687747
35.0,63,892.824134
27.0,95,899.721695
21.0,83,904.780282
15.0,49,907.893488
4.0,67,911.692543
4.0,25,912.554354
3.0,18,912.649807
51.0,205,928.819879
26.0,105,935.323058
1.0,32,936.193833
17.0,51,938.771277
75.0,225,956.597004
16.0,72,961.444918
3.0,14,962.154908
2.0,21,963.418598
7.0,198,978.578775
5.0,46,981.150539
35.0,103,989.259938
6.0,128,998.43663
26.0,86,1004.727478
1.0,19,1004.742923
17.0,89,1012.32408
19.0,88,1019.570381
37.0,160,1031.558058
1.0,15,1031.569131
14.0,36,1034.032242
15.0,49,1037.977709
1.0,10,1037.985321
20.0,41,1041.275897
139.0,3000,1303.485111
1.0,15,1303.50228
7.0,16,1304.297138
10.0,53,1307.538176
3.0,31,1307.88081
1.0,24,1307.89904
19.0,86,1315.219166
17.0,30,1316.525876
15.0,36,1319.013747
1.0,68,1322.395186
11.0,46,1325.999223
11.0,50,1329.003684
12.0,38,1331.513225
8.0,47,1334.53872
45.0,181,1348.476735
8.0,46,1351.127574
5.0,34,1351.519294
3.0,28,1352.36077
5.0,40,1355.36873
22.0,163,1368.447989
11.0,42,1371.103665
3.0,41,1372.121503
7.0,17,1372.859596
26.0,79,1379.065551
9.0,27,1380.642046
7.0,38,1381.572316
33.0,99,1388.140331
6.0,38,1389.537571
14.0,54,1393.002561
1.0,7,1393.012331
3.0,38,1394.689625
20.0,75,1399.821467
39.0,89,1405.921915
6.0,38,1406.782278
7.0,10,1407.242905
10.0,38,1409.353626
13.0,44,1412.032294
7.0,47,1413.725055
13.0,31,1415.07781
1.0,28,1415.098963
6.0,10,1415.915778
5.0,43,1416.913911
17.0,68,1420.741964
1.0,28,1420.76199
12.0,53,1425.324671
14.0,90,1430.541638
1.0,46,1432.102688
1.0,24,1432.128117
27.0,62,1437.39191
9.0,36,1439.101744
10.0,43,1440.403903
4.0,40,1443.807555
1.0,22,1443.823871
16.0,41,1446.796399
1.0,23,1446.814239
31.0,111,1456.286535
11.0,40,1458.586994
8.0,46,1462.488112
17.0,92,1468.509838
4.0,25,1468.858775
26.0,117,1478.343385
32.0,109,1487.329787
12.0,63,1492.08829
16.0,41,1494.37376
60.0,193,1509.44465
110.0,3000,1768.126722
8.0,52,1770.801581
43.0,75,1777.053858
23.0,63,1780.62774
13.0,56,1783.288208
2.0,20,1783.536813
8.0,36,1785.440979
9.0,44,1787.164247
4.0,51,1791.038353
11.0,30,1793.404625
11.0,54,1797.132673
8.0,32,1799.295169
27.0,93,1804.961752
8.0,31,1807.494313
17.0,66,1812.26365
6.0,21,1813.089033
21.0,64,1817.473449
11.0,34,1820.207396
17.0,39,1822.955345
47.0,162,1836.622895
1.0,28,1837.935592
8.0,17,1839.18676
30.0,89,1844.838194
24.0,58,1849.268046
23.0,64,1853.714951
14.0,43,1856.26178
6.0,22,1857.267441
15.0,34,1859.759179
33.0,134,1870.938287
52.0,78,1877.062606
17.0,68,1880.561881
22.0,106,1888.549241
6.0,73,1894.657983
11.0,17,1895.506573
13.0,84,1901.708502
6.0,29,1902.15919
4.0,26,1902.509299
37.0,110,1911.456967
5.0,42,1912.59398
9.0,39,1913.484517
2.0,67,1917.844006
15.0,29,1919.7855
1.0,44,1923.546065
29.0,97,1930.469978
33.0,44,1933.700075
1.0,21,1933.715535
42.0,75,1940.060176
74.0,233,1960.066572
18.0,53,1962.884443
6.0,26,1963.634442
43.0,105,1971.473753
24.0,69,1975.356617
19.0,66,1979.489923
26.0,74,1984.891353
44.0,128,1995.292539
18.0,65,2000.536611
83.0,223,2018.077851
7.0,21,2019.732384
8.0,39,2021.493759
134.0,3000,2279.438561
9.0,39,2280.340314
4.0,20,2281.568669
9.0,22,2283.361632
4.0,28,2284.644886
4.0,41,2287.381239
3.0,38,2288.183576
10.0,32,2289.945814
1.0,18,2289.959294
32.0,83,2296.534187
1.0,21,2296.549532
14.0,96,2304.723197
47.0,106,2313.091443
21.0,84,2318.155834
19.0,72,2322.150486
34.0,119,2332.064269
18.0,45,2334.288166
44.0,103,2342.83394
21.0,65,2346.813816
7.0,17,2348.201051
21.0,71,2353.912093
5.0,34,2355.238638
25.0,58,2359.012144
33.0,95,2366.130847
11.0,40,2368.538164
1.0,29,2368.561611
44.0,81,2375.639414
75.0,325,2403.528332
30.0,127,2412.256131
4.0,27,2412.724358
7.0,45,2416.151035
25.0,95,2421.757596
50.0,114,2431.597411
11.0,45,2434.045889
43.0,110,2441.133367
39.0,69,2446.695352
6.0,99,2453.803176
30.0,74,2459.874001
11.0,65,2464.438819
33.0,86,2471.065389
8.0,21,2472.730446
30.0,70,2476.829943
17.0,69,2481.208433
1.0,17,2481.222988
16.0,37,2483.466883
55.0,125,2492.104341
23.0,65,2496.679605
20.0,46,2500.44978
1.0,22,2500.466374
29.0,77,2506.908454
17.0,61,2509.868451
11.0,13,2510.724368
17.0,46,2513.796026
48.0,120,2522.340535
45.0,74,2528.436653
45.0,148,2539.843606
6.0,10,2540.302481
16.0,41,2543.278463
7.0,22,2544.455014
73.0,172,2558.722142
45.0,72,2563.903461
49.0,128,2574.635273
46.0,156,2586.836598
98.0,229,2606.171237
23.0,39,2609.01873
57.0,78,2614.639898
9.0,22,2615.641291
1.0,14,2615.655375
33.0,75,2622.050847
9.0,38,2623.731099
9.0,43,2627.120006
35.0,83,2633.511893
6.0,21,2634.306087
22.0,63,2638.098948
21.0,52,2641.452205
4.0,17,2641.914768
16.0,27,2643.93511
1.0,19,2643.95177
56.0,92,2651.869347
4.0,28,2652.743629
8.0,18,2654.046918
5.0,32,2654.82661
1.0,15,2654.837979
16.0,29,2657.011001
7.0,30,2657.912934
36.0,175,2670.332762
14.0,54,2673.780129
17.0,46,2676.824974
71.0,150,2688.966793
18.0,64,2693.840643
58.0,128,2704.409302
1.0,15,2704.423905
8.0,19,2705.254277
18.0,42,2707.88238
4.0,33,2708.229018
29.0,81,2713.974597
24.0,76,2719.399034
64.0,142,2729.206378
21.0,39,2732.090853
1.0,21,2732.106516
16.0,48,2736.280818
2.0,31,2737.174053
48.0,158,2748.232727
15.0,51,2750.464491
55.0,103,2756.968666
66.0,186,2772.243886
16.0,53,2774.542621
11.0,36,2777.286234
58.0,157,2789.301983
7.0,32,2790.59131
6.0,33,2791.9651
1.0,17,2791.984623
37.0,77,2797.590911
8.0,11,2798.360023
14.0,63,2801.973098
5.0,38,2804.656845
3.0,41,2806.664393
4.0,30,2808.961082
17.0,38,2810.658028
21.0,56,2812.841723
31.0,123,2821.59335
56.0,113,2829.517134
5.0,13,2830.202166
35.0,102,2838.647882
30.0,57,2842.832019
21.0,39,2845.368343
11.0,59,2847.914129
33.0,65,2852.761001
3.0,6,2852.93975
13.0,44,2855.505403
3.0,46,2858.134246
67.0,137,2867.78799
52.0,87,2874.77079
8.0,30,2875.642272
53.0,106,2882.63315
67.0,120,2892.980115
1.0,32,2893.605551
4.0,24,2894.350435
13.0,41,2897.387536
43.0,83,2903.783855
14.0,32,2906.137808
44.0,150,2917.868874
30.0,57,2922.668059
32.0,64,2926.914115
135.0,3000,3181.193375
54.0,215,3197.796537
13.0,33,3200.236371
53.0,83,3207.160556
31.0,70,3211.420972
32.0,53,3214.558729
9.0,36,3215.911621
56.0,98,3223.26868
16.0,29,3225.224458
44.0,65,3229.135454
72.0,145,3240.732693
35.0,77,3246.183833
63.0,127,3256.161299
1.0,26,3256.267855
10.0,32,3257.205174
54.0,96,3263.017577
1.0,50,3265.667599
69.0,120,3273.443869
2.0,16,3273.505991
32.0,70,3278.823026
61.0,130,3288.487378
73.0,123,3298.173582
5.0,29,3298.562253
1.0,21,3298.577843
73.0,132,3309.649967
48.0,87,3315.816556
29.0,56,3319.550811
63.0,118,3329.621519
59.0,174,3342.551413
7.0,32,3344.149038
1.0,17,3344.571944
23.0,46,3348.141413
45.0,155,3360.356472
61.0,114,3369.361717
1.0,30,3369.549981
18.0,52,3373.433429
7.0,63,3376.360062
23.0,30,3379.129423
1.0,20,3379.146039
27.0,46,3382.221013
13.0,39,3385.214589
66.0,95,3392.847427
45.0,106,3400.450446
1.0,12,3400.467903
34.0,49,3403.500294
1.0,20,3404.079486
1.0,14,3404.090442
1.0,18,3404.431431
51.0,66,3409.630071
1.0,20,3409.645701
56.0,66,3415.081989
12.0,21,3415.966668
1.0,13,3416.107059
5.0,40,3417.822092
53.0,118,3427.442854
43.0,68,3432.162758
43.0,100,3438.249809
70.0,125,3447.666186
12.0,21,3448.893891
13.0,26,3449.822069
64.0,100,3457.777197
29.0,47,3460.320247
38.0,105,3469.080369
48.0,73,3473.849697
42.0,120,3481.832412
54.0,90,3487.37416
1.0,11,3487.383298
57.0,114,3496.798602
58.0,117,3506.93635
2.0,25,3507.819675
44.0,64,3512.648129
43.0,81,3518.682089
67.0,130,3528.928262
36.0,96,3535.239527
2.0,24,3535.498454
47.0,176,3547.917808
29.0,45,3551.383409
37.0,50,3555.161827
52.0,95,3560.708248
59.0,119,3570.396224
9.0,33,3572.452749
14.0,60,3576.057483
33.0,39,3579.267595
59.0,115,3588.477906
11.0,28,3590.085309
51.0,119,3598.163648
83.0,129,3607.720315
56.0,180,3622.128559
64.0,134,3632.702598
135.0,3000,3887.815939
4.0,22,3888.244555
74.0,176,3902.855245
1.0,10,3902.866552
53.0,102,3910.518972
7.0,34,3911.407681
6.0,13,3911.859475
136.0,3000,4165.392765
53.0,150,4176.774136
9.0,24,4177.52977
65.0,112,4186.483593
53.0,99,4192.633447
77.0,160,4205.879011
58.0,125,4215.506629
14.0,30,4216.67268
22.0,114,4223.887794
59.0,121,4233.403667
19.0,43,4235.914342
15.0,63,4238.957913
4.0,14,4239.300636
44.0,76,4245.354692
8.0,28,4245.865961
36.0,46,4249.094396
3.0,29,4249.192689
1.0,9,4249.20211
74.0,173,4263.268176
62.0,129,4272.602431
3.0,28,4272.743032
91.0,163,4286.170199
140.0,3000,4546.459729
3.0,36,4546.969755
7.0,35,4548.906009
49.0,78,4553.657371
35.0,46,4557.100196
13.0,18,4558.024316
12.0,17,4559.187403
62.0,78,4566.065857
61.0,94,4571.541126
14.0,37,4572.791212
17.0,24,4574.302546
71.0,101,4583.442339
92.0,156,4595.020333
27.0,31,4597.11132
70.0,124,4606.486223
133.0,3000,4864.212458
52.0,81,4869.900663
1.0,21,4869.917166
16.0,20,4871.210359
60.0,71,4876.943777
73.0,131,4886.247129
1.0,18,4886.311258
1.0,18,4886.325586
51.0,60,4890.808793
2.0,67,4894.638918
70.0,144,4905.661636
45.0,123,4915.850533
143.0,3000,5173.210336
1.0,26,5173.236295
131.0,3000,5437.484545
70.0,144,5448.954349
71.0,97,5456.32975
64.0,83,5462.392839
97.0,174,5476.448669
42.0,64,5481.528156
34.0,44,5484.326326
109.0,275,5506.319902
71.0,165,5518.223875
18.0,55,5521.137926
51.0,53,5525.531264
57.0,71,5531.176836
77.0,146,5543.646549
32.0,45,5546.341274
32.0,48,5549.239601
64.0,75,5554.787642
106.0,195,5569.525822
31.0,58,5574.15537
84.0,154,5585.064612
90.0,146,5596.631159
12.0,21,5597.886492
136.0,3000,5892.507735
77.0,153,5905.606611
5.0,15,5906.06356
25.0,51,5908.538519
90.0,141,5920.380874
1.0,12,5920.390198
111.0,232,5943.252382
66.0,71,5950.186198
145.0,3000,6251.530064
1.0,20,6251.545864
97.0,129,6263.56605
77.0,190,6281.621454
1.0,18,6281.635497
107.0,239,6305.311019
1.0,16,6305.326492
62.0,85,6312.712278
110.0,235,6335.21647
102.0,155,6349.878287
72.0,113,6359.64032
113.0,214,6379.468994
2.0,24,6379.598063
28.0,41,6382.961342
42.0,69,6389.550401
86.0,148,6401.95752
14.0,36,6404.934239
103.0,172,6419.223268
115.0,284,6445.428231
139.0,3000,6746.382479
12.0,19,6747.526306
9.0,33,6748.473049
41.0,73,6755.636317
15.0,17,6757.087479
1.0,14,6757.103418
81.0,124,6768.099019
62.0,81,6774.332721
5.0,27,6774.78414
58.0,92,6781.535599
101.0,127,6794.085939
85.0,166,6809.249115
113.0,203,6827.901755
8.0,34,6828.957191
7.0,7,6829.558851
96.0,126,6840.784258
20.0,24,6842.712852
8.0,37,6843.358096
100.0,187,6862.200487
65.0,81,6869.100502
74.0,107,6879.116736
101.0,138,6890.987688
5.0,20,6891.492583
69.0,77,6898.64546
79.0,88,6906.574464
127.0,258,6931.671162
78.0,99,6941.225809
75.0,98,6949.550438
46.0,69,6954.960015
80.0,112,6964.775196
104.0,146,6977.81497
72.0,96,6985.909161
3.0,21,6986.016218
6.0,34,6987.091866
66.0,86,6994.401002
13.0,37,6995.561565
107.0,137,7007.418981
89.0,120,7017.947792
105.0,139,7029.965327
105.0,154,7045.6264
110.0,169,7062.021456
12.0,32,7063.122903
125.0,224,7085.320353
12.0,28,7086.715913
101.0,143,7099.940066
97.0,192,7118.331644
26.0,35,7121.780712
34.0,48,7125.127419
1.0,25,7125.146816
78.0,107,7135.61352
55.0,54,7140.877836
17.0,46,7142.443803
235.0,2429,7383.898513
1.0,26,7383.920442
258.0,3000,7661.269231
1.0,20,7661.28381
14.0,20,7662.709139
29.0,43,7665.090682
1.0,20,7665.105547
19.0,20,7666.518666
100.0,191,7680.820085
94.0,136,7690.038961
1.0,17,7690.054953
59.0,67,7695.14886
98.0,109,7703.926431
111.0,244,7722.443941
102.0,144,7732.075652
34.0,56,7735.405761
72.0,120,7743.9712
58.0,75,7749.011601
94.0,130,7758.743596
100.0,129,7769.161095
90.0,111,7778.12853
110.0,166,7792.105021
18.0,34,7793.654219
6.0,11,7794.069582
138.0,3000,8047.098144
121.0,243,8065.575924
5.0,13,8065.95413
60.0,68,8070.943215
124.0,214,8087.208975
145.0,3000,8339.371736
117.0,187,8355.011714
125.0,179,8369.649676
125.0,229,8387.956496
98.0,117,8396.996131
22.0,39,8398.735941
77.0,94,8405.340365
114.0,194,8420.407178
101.0,135,8431.91507
1.0,17,8431.935411
1.0,12,8431.944639
21.0,21,8433.687345
194.0,2892,8677.122361
1.0,23,8677.138756
76.0,95,8685.223574
79.0,152,8695.89384
49.0,74,8699.864612
122.0,306,8723.867035
118.0,169,8736.705451
1.0,29,8736.725347
76.0,83,8743.557566
109.0,189,8757.957911
63.0,71,8763.438211
82.0,87,8771.260384
123.0,183,8784.437423
101.0,136,8794.690208
117.0,131,8805.099001
4.0,22,8805.512675
109.0,134,8816.49744
1.0,13,8816.517451
143.0,3000,9068.429062
134.0,315,9093.560946
118.0,195,9108.69524
9.0,13,9109.461401
83.0,97,9117.831215
5.0,28,9118.226553
125.0,284,9140.266015
43.0,64,9143.741156
71.0,79,9150.022352
