#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.1921203}
r,l,t
21.0,90,8.958839
10.0,52,11.448537
4.0,59,15.539338
26.0,120,25.788546
5.0,43,27.950302
6.0,66,33.143059
5.0,37,34.670275
26.0,48,38.840363
28.0,109,46.23627
40.0,132,57.950241
29.0,152,68.90088
10.0,49,72.842796
14.0,50,76.118787
2.0,27,76.602225
12.0,35,79.087432
43.0,118,87.0646
1.0,27,87.086825
20.0,48,90.927499
9.0,44,94.530286
30.0,121,104.984917
14.0,50,108.495356
9.0,62,111.716853
4.0,25,113.35783
5.0,37,114.626837
4.0,33,116.486188
6.0,43,118.101113
17.0,45,121.550952
2.0,23,122.027032
8.0,26,123.366233
10.0,21,124.972312
4.0,30,126.3878
23.0,103,134.122972
31.0,123,142.62457
20.0,74,147.797096
29.0,90,154.271
8.0,61,157.158476
16.0,43,160.716121
7.0,24,161.768279
14.0,50,165.200564
25.0,133,176.476404
7.0,34,177.209023
2.0,34,177.679188
3.0,28,178.158919
5.0,28,180.30425
25.0,97,187.426455
5.0,20,188.839257
7.0,38,190.130236
42.0,140,201.384795
27.0,79,206.391144
10.0,100,213.702717
7.0,25,214.9279
25.0,112,222.873242
23.0,92,228.953768
6.0,47,231.027055
25.0,62,236.059863
58.0,187,250.097691
35.0,97,258.154136
54.0,148,270.676381
25.0,104,277.378359
121.0,3000,535.282604
1.0,16,535.298834
25.0,95,542.630726
24.0,93,550.050905
19.0,74,555.503852
14.0,73,560.739313
26.0,122,570.358942
12.0,94,578.256791
2.0,44,580.110332
7.0,31,581.387027
7.0,30,583.466741
6.0,38,584.278771
46.0,148,596.312948
5.0,37,597.020633
43.0,195,613.551732
63.0,135,624.058048
17.0,38,626.546941
31.0,107,634.1615
10.0,67,637.708716
15.0,40,641.165096
4.0,36,641.678937
30.0,86,648.445547
16.0,45,651.059636
8.0,19,651.610021
53.0,111,659.727294
37.0,133,669.726063
33.0,79,675.741579
1.0,21,675.758997
14.0,30,678.188012
8.0,32,679.917887
4.0,16,680.105656
1.0,16,680.118776
12.0,30,682.632911
3.0,30,682.934821
2.0,28,682.992715
1.0,24,683.013125
16.0,66,688.580571
11.0,65,692.060472
3.0,15,692.36047
2.0,30,692.494277
1.0,19,692.512032
66.0,253,713.424334
4.0,31,714.316417
9.0,46,716.72625
12.0,24,718.515425
5.0,52,721.031715
4.0,22,721.499319
125.0,3000,977.216786
23.0,82,982.411318
1.0,15,982.427034
29.0,62,987.575117
20.0,62,990.457067
24.0,64,994.262088
31.0,135,1003.976532
10.0,28,1005.289332
17.0,56,1008.566389
39.0,108,1016.717078
1.0,21,1016.732912
28.0,62,1022.006887
3.0,36,1022.614565
7.0,47,1025.229182
23.0,65,1028.430121
22.0,84,1033.133259
19.0,101,1040.878816
21.0,104,1048.232457
15.0,45,1051.547282
1.0,25,1051.567045
21.0,48,1055.347233
1.0,24,1055.364658
22.0,67,1060.796166
3.0,22,1060.891681
4.0,15,1061.794724
8.0,26,1063.056616
2.0,17,1063.36929
11.0,49,1065.984986
11.0,54,1068.667569
24.0,65,1073.36952
5.0,22,1074.790154
8.0,40,1078.055243
17.0,91,1085.721536
7.0,27,1086.284914
25.0,147,1098.708802
36.0,89,1105.336703
30.0,82,1110.448984
37.0,73,1115.910696
4.0,23,1117.601876
20.0,55,1121.88172
5.0,37,1122.801743
35.0,87,1129.133821
13.0,66,1133.845261
17.0,59,1138.032624
54.0,122,1146.875009
18.0,56,1151.031932
1.0,28,1151.05664
50.0,153,1165.592891
11.0,58,1168.847695
1.0,27,1168.872829
42.0,110,1178.715158
10.0,43,1181.027367
14.0,46,1184.93074
17.0,60,1188.742178
18.0,56,1191.715645
20.0,58,1195.106902
3.0,32,1195.559462
7.0,18,1196.548801
55.0,193,1212.48825
16.0,495,1253.13208
11.0,86,1260.325599
1.0,24,1260.346733
13.0,25,1262.376635
1.0,18,1262.390137
17.0,34,1264.185921
12.0,35,1265.937023
115.0,3000,1526.560675
22.0,53,1530.6168
5.0,51,1534.408129
11.0,43,1537.881765
3.0,28,1537.988911
5.0,23,1538.796542
13.0,36,1540.528663
28.0,70,1545.627856
14.0,48,1548.210607
2.0,22,1548.268319
8.0,50,1550.514523
3.0,27,1551.393076
1.0,20,1551.411461
8.0,92,1559.055768
12.0,60,1561.67876
11.0,47,1564.012269
2.0,20,1565.130798
17.0,62,1569.45735
10.0,62,1573.857353
2.0,36,1574.78587
1.0,18,1574.803272
4.0,35,1577.423591
11.0,70,1582.53048
1.0,14,1583.317367
11.0,34,1585.141841
10.0,55,1588.002333
35.0,115,1596.136862
1.0,14,1596.15006
11.0,28,1598.355533
5.0,20,1599.422409
3.0,46,1600.965432
40.0,109,1609.46466
17.0,47,1612.723004
8.0,49,1614.90431
32.0,63,1618.736534
49.0,201,1635.415426
2.0,16,1635.467296
33.0,129,1645.285215
33.0,98,1651.394507
1.0,34,1652.451077
8.0,26,1654.538989
25.0,137,1665.293921
11.0,21,1666.56406
17.0,71,1671.410922
4.0,51,1673.163345
12.0,50,1676.104514
6.0,53,1680.423528
5.0,42,1682.239426
17.0,47,1685.167758
1.0,22,1685.185441
34.0,73,1691.382786
6.0,39,1692.620529
11.0,71,1697.880769
6.0,59,1702.55951
25.0,47,1706.459797
14.0,23,1707.835849
27.0,81,1713.332901
18.0,75,1717.310497
4.0,18,1717.744445
25.0,74,1722.169376
15.0,92,1729.728763
11.0,23,1730.689313
12.0,50,1734.083815
11.0,30,1736.094587
23.0,52,1740.454499
28.0,97,1747.247146
7.0,44,1749.501664
23.0,85,1756.233425
11.0,31,1758.608846
35.0,75,1764.257422
6.0,21,1765.530741
7.0,24,1766.727199
2.0,20,1767.324101
6.0,35,1768.594067
36.0,173,1782.730848
3.0,78,1788.965355
8.0,28,1790.239188
41.0,81,1797.109724
13.0,40,1800.251469
1.0,29,1800.281749
24.0,104,1809.224731
11.0,41,1811.047713
13.0,59,1815.682378
8.0,53,1819.368586
26.0,106,1827.36715
18.0,47,1830.998182
8.0,41,1832.65244
1.0,32,1832.750365
26.0,69,1837.42123
7.0,30,1838.005763
9.0,56,1840.624888
13.0,51,1843.197564
41.0,82,1849.029264
4.0,21,1849.433618
1.0,13,1849.44986
8.0,26,1850.350623
3.0,36,1851.035388
8.0,24,1851.947769
37.0,141,1864.152525
18.0,41,1867.798671
13.0,29,1869.528117
19.0,60,1873.51999
7.0,28,1874.476283
14.0,18,1875.913474
4.0,24,1876.996094
1.0,40,1879.215985
2.0,26,1879.279307
11.0,28,1880.522492
9.0,46,1882.771425
17.0,189,1898.253873
2.0,31,1898.60095
2.0,8,1898.649432
1.0,26,1898.669241
4.0,43,1902.071072
17.0,94,1909.100407
19.0,91,1916.299422
1.0,25,1917.106853
44.0,181,1930.661033
19.0,52,1933.72045
18.0,86,1938.921479
21.0,41,1941.203793
21.0,96,1947.17849
6.0,41,1948.532722
15.0,40,1950.918972
14.0,44,1953.669912
5.0,20,1954.384944
31.0,63,1958.864816
25.0,60,1962.852923
1.0,21,1962.870131
6.0,9,1963.599984
42.0,113,1971.361824
9.0,18,1972.275141
11.0,59,1975.762168
40.0,91,1981.350416
4.0,34,1981.829284
142.0,3000,2238.323318
6.0,46,2240.023563
30.0,62,2245.278329
60.0,278,2267.520733
1.0,28,2268.306099
22.0,84,2273.938418
12.0,54,2278.241039
3.0,27,2278.338394
24.0,48,2281.209985
48.0,139,2293.019259
7.0,40,2295.218676
4.0,51,2297.36447
2.0,19,2298.128379
10.0,47,2300.037376
1.0,14,2300.054553
27.0,66,2305.164833
40.0,119,2313.511229
24.0,38,2316.488575
1.0,22,2316.543639
1.0,25,2316.61324
45.0,106,2325.513849
17.0,25,2327.35767
64.0,167,2341.508097
4.0,34,2342.953772
19.0,51,2346.111812
36.0,54,2350.519094
1.0,27,2350.538754
13.0,76,2356.989387
28.0,67,2361.702422
8.0,43,2363.36867
2.0,16,2363.459516
26.0,81,2369.630411
16.0,80,2374.332566
1.0,21,2374.352368
12.0,32,2376.909379
31.0,47,2380.383158
19.0,62,2383.599514
22.0,55,2388.04772
43.0,76,2393.337831
45.0,145,2403.283611
26.0,60,2406.766634
3.0,12,2407.236744
3.0,33,2407.994442
16.0,43,2411.381878
18.0,51,2414.983285
23.0,53,2418.430427
27.0,46,2422.149439
40.0,91,2427.774315
25.0,89,2434.169714
37.0,68,2439.015698
7.0,29,2440.285543
1.0,13,2440.299202
3.0,19,2440.59778
1.0,25,2440.618887
18.0,59,2445.542306
26.0,88,2450.673414
18.0,68,2455.875774
19.0,56,2458.430177
4.0,38,2459.844784
22.0,97,2466.391946
5.0,40,2468.873966
44.0,93,2474.72944
17.0,29,2476.488056
23.0,36,2479.436918
11.0,33,2481.136665
17.0,38,2483.338418
1.0,28,2483.36042
16.0,25,2485.445995
35.0,81,2489.871081
140.0,3000,2745.702628
5.0,26,2746.179488
9.0,53,2749.765002
51.0,140,2759.845618
80.0,207,2776.87677
53.0,119,2784.877311
8.0,38,2785.732557
23.0,43,2788.893978
68.0,166,2802.790371
9.0,59,2806.86692
44.0,128,2817.125717
9.0,36,2819.443521
6.0,42,2821.09712
6.0,44,2822.413682
46.0,83,2828.981456
34.0,74,2832.831988
1.0,17,2832.849835
39.0,59,2837.413604
53.0,106,2846.37587
9.0,52,2848.96389
23.0,49,2852.877363
57.0,140,2863.987887
54.0,149,2874.791066
16.0,35,2877.039224
1.0,19,2877.057037
57.0,130,2887.959262
14.0,44,2891.279201
140.0,3000,3147.519287
19.0,37,3149.222773
7.0,28,3150.406071
19.0,32,3152.461336
7.0,17,3152.927023
66.0,80,3159.390499
9.0,45,3160.680933
132.0,3000,3419.061785
83.0,187,3433.144472
58.0,107,3440.033288
1.0,15,3440.050355
12.0,13,3441.242649
1.0,21,3441.263725
44.0,77,3446.989403
53.0,118,3455.669204
55.0,112,3463.904555
53.0,101,3471.696667
20.0,55,3476.219899
212.0,2505,3687.744955
16.0,25,3689.809964
8.0,50,3692.767945
7.0,42,3695.386922
80.0,123,3704.129195
63.0,110,3711.272219
9.0,12,3711.817632
38.0,51,3715.013389
51.0,125,3724.975372
83.0,214,3740.536731
63.0,97,3746.865906
48.0,95,3753.686311
42.0,74,3759.16542
58.0,113,3767.037697
58.0,131,3776.421836
65.0,127,3786.729128
61.0,112,3796.197527
135.0,3000,4052.36407
77.0,143,4064.283431
1.0,22,4064.305435
52.0,67,4069.461108
65.0,97,4076.962623
57.0,89,4082.994097
52.0,104,4090.958973
53.0,61,4095.260331
51.0,65,4100.688399
51.0,70,4105.656506
126.0,3000,4360.349171
72.0,142,4370.879515
50.0,109,4379.120857
13.0,22,4380.869181
23.0,61,4384.767572
60.0,100,4393.298529
16.0,50,4396.353188
74.0,133,4406.114428
82.0,159,4418.638206
82.0,185,4431.788421
5.0,17,4432.214087
1.0,17,4432.230527
11.0,17,4433.363718
86.0,182,4447.511026
1.0,21,4447.527153
67.0,145,4459.846744
51.0,120,4468.191508
4.0,36,4468.728371
54.0,82,4474.971171
52.0,80,4480.519395
69.0,93,4487.475912
5.0,48,4490.517469
6.0,37,4492.352448
35.0,50,4495.692924
30.0,73,4500.294491
86.0,150,4511.654286
50.0,119,4519.157593
77.0,170,4533.035484
86.0,132,4543.494387
9.0,45,4546.987567
73.0,88,4553.965342
7.0,31,4554.471614
61.0,76,4560.89182
66.0,139,4570.610279
58.0,132,4580.291555
90.0,202,4597.179647
71.0,149,4607.860396
139.0,3000,4865.090281
1.0,22,4865.11192
71.0,109,4874.549723
2.0,16,4874.601632
1.0,18,4874.615812
40.0,50,4878.180773
1.0,22,4878.19769
82.0,104,4887.342215
21.0,22,4889.06441
6.0,26,4889.502249
19.0,39,4891.647019
56.0,58,4895.968085
97.0,172,4909.086022
53.0,103,4915.404747
53.0,56,4919.747955
79.0,133,4928.950059
67.0,88,4935.696567
95.0,168,4949.329734
47.0,75,4953.979628
56.0,72,4959.256767
70.0,93,4967.000627
50.0,66,4971.316836
56.0,84,4976.009526
144.0,3000,5232.478582
135.0,3000,5496.593048
78.0,112,5504.936769
1.0,20,5504.955596
83.0,127,5515.667626
71.0,111,5523.256295
15.0,50,5525.546347
3.0,35,5526.049507
36.0,74,5531.201411
86.0,131,5540.659322
112.0,280,5562.015282
4.0,28,5562.44064
43.0,68,5566.308832
60.0,94,5572.120178
94.0,127,5582.899198
2.0,20,5582.956084
1.0,18,5582.969821
18.0,24,5584.359918
45.0,79,5589.146007
51.0,82,5594.364722
43.0,82,5599.668827
83.0,136,5609.818807
62.0,112,5618.746126
79.0,130,5629.363711
59.0,79,5635.072537
1.0,54,5638.129478
27.0,37,5641.154299
30.0,54,5644.577942
9.0,15,5645.471706
139.0,3000,5944.224664
4.0,21,5944.393359
1.0,22,5944.413006
79.0,131,5956.619922
91.0,121,5967.480711
95.0,152,5981.614206
102.0,204,6001.691212
109.0,218,6022.689088
7.0,24,6023.237799
1.0,19,6023.256644
31.0,46,6027.242063
71.0,75,6034.634563
4.0,13,6035.590837
30.0,49,6038.274278
4.0,13,6038.668118
103.0,191,6057.661626
75.0,111,6066.132955
81.0,148,6078.589198
15.0,43,6079.835171
1.0,19,6079.850478
136.0,3000,6385.647182
59.0,79,6392.740268
10.0,34,6393.691208
92.0,170,6408.665102
92.0,189,6424.759199
38.0,54,6429.031903
54.0,82,6435.071291
59.0,99,6443.443494
1.0,10,6443.453614
80.0,130,6455.79961
17.0,40,6457.389504
76.0,111,6467.93155
17.0,28,6470.371272
2.0,14,6470.48349
1.0,18,6470.500076
29.0,31,6473.382607
4.0,14,6473.536341
56.0,84,6479.532557
134.0,3000,6782.170111
20.0,35,6784.107942
65.0,88,6791.126629
142.0,3000,7091.826639
9.0,30,7093.365199
19.0,48,7095.381805
77.0,163,7109.424312
6.0,18,7109.925144
52.0,75,7115.194232
90.0,136,7127.286633
1.0,13,7127.301668
16.0,19,7128.837759
26.0,33,7131.287521
79.0,109,7140.051484
119.0,256,7163.862374
77.0,119,7173.667655
54.0,86,7181.042227
144.0,3000,7478.004275
64.0,85,7484.495008
75.0,154,7499.103133
58.0,59,7505.003525
77.0,101,7514.769001
79.0,123,7524.706717
7.0,17,7525.240537
143.0,3000,7780.190089
87.0,111,7787.708695
102.0,124,7797.516594
91.0,112,7806.226118
118.0,168,7819.860546
1.0,12,7819.87416
79.0,87,7826.510885
119.0,195,7841.351588
119.0,196,7855.417303
68.0,98,7862.785317
1.0,18,7862.803833
11.0,14,7863.633099
86.0,126,7874.077346
27.0,40,7876.509554
15.0,54,7878.409649
1.0,20,7878.429396
13.0,13,7879.550716
54.0,78,7885.45503
4.0,29,7885.884281
38.0,63,7889.265458
114.0,238,7907.191325
86.0,110,7915.193246
79.0,136,7925.161838
89.0,145,7937.30199
3.0,16,7938.291203
100.0,141,7949.780364
82.0,128,7960.118473
109.0,187,7975.451591
12.0,35,7976.779724
59.0,96,7983.986049
34.0,42,7987.382304
69.0,80,7993.643484
61.0,86,7999.300066
28.0,51,8001.827909
91.0,133,8012.609708
144.0,3000,8263.52221
128.0,261,8282.837874
73.0,78,8289.191084
1.0,16,8289.209491
26.0,40,8291.577824
6.0,17,8291.984553
54.0,75,8296.550583
102.0,195,8311.740569
61.0,89,8319.308207
1.0,13,8319.334551
25.0,40,8322.059292
4.0,24,8322.406494
11.0,19,8323.243656
219.0,2923,8567.590088
114.0,143,8579.368747
100.0,174,8591.919338
44.0,64,8596.402826
115.0,145,8608.162199
125.0,263,8630.00211
1.0,22,8630.017781
116.0,164,8644.597913
45.0,75,8648.677413
77.0,99,8656.036325
109.0,162,8669.545933
28.0,73,8673.245754
1.0,24,8673.267402
71.0,147,8685.800516
142.0,3000,8939.034161
1.0,19,8939.05674
106.0,139,8950.666933
255.0,2025,9121.034178
1.0,14,9121.049086
233.0,1204,9223.445405
66.0,75,9229.036567
76.0,90,9235.643385
22.0,25,9237.800127
82.0,113,9245.926578
103.0,166,9258.730954
142.0,3000,9511.756721
4.0,31,9512.099993
123.0,249,9531.941679
11.0,32,9532.815612
110.0,204,9548.698542
91.0,105,9556.374338
137.0,398,9587.467376
118.0,148,9599.346347
15.0,27,9600.337178
136.0,284,9623.839481
7.0,19,9624.29222
80.0,92,9631.902082
3.0,16,9632.193759
33.0,40,9634.738122
142.0,3000,9890.094197
12.0,22,9890.977273
101.0,117,9899.877639
125.0,224,9916.403386
15.0,15,9917.406359
108.0,175,9931.182492
122.0,236,9950.384552
1.0,13,9950.398094
125.0,301,9976.627067
15.0,34,9977.972525
1.0,24,9978.000477
100.0,113,9987.616643
113.0,197,10002.554538
1.0,27,10002.577873
103.0,116,10012.704011
1.0,10,10012.725415
111.0,129,10023.577476
117.0,168,10038.900729
23.0,48,10041.31199
80.0,102,10048.312159
95.0,136,10057.656426
88.0,134,10068.39972
11.0,18,10069.245295
1.0,15,10069.259787
51.0,63,10073.534418
4.0,16,10073.667498
119.0,176,10086.588748
109.0,154,10099.286729
1.0,14,10099.305788
109.0,116,10109.731148
87.0,126,10119.646373
112.0,128,10131.515377
67.0,71,10137.814696
105.0,117,10147.899027
137.0,402,10184.812888
247.0,2659,10414.306622
15.0,43,10416.953654
88.0,150,10428.240505
98.0,194,10444.438715
87.0,167,10456.569947
7.0,15,10457.218089
3.0,17,10457.304678
89.0,174,10471.584965
104.0,149,10483.206011
131.0,293,10507.775702
32.0,39,10510.189947
24.0,24,10512.22544
21.0,25,10513.866203
46.0,74,10519.030012
58.0,76,10524.343861
2.0,20,10524.632988
87.0,116,10534.380393
28.0,35,10536.745551
43.0,58,10540.279603
115.0,197,10555.297002
108.0,138,10564.81543
113.0,162,10576.270905
128.0,273,10598.877757
37.0,61,10602.137051
80.0,107,10611.092503
7.0,32,10611.579395
15.0,37,10612.842546
24.0,41,10615.240372
20.0,56,10617.625813
20.0,30,10619.295027
127.0,235,10639.557655
1.0,10,10639.574111
60.0,93,10646.78212
83.0,119,10654.58996
135.0,241,10673.440722
10.0,25,10674.21554
129.0,271,10696.713692
69.0,87,10704.509397
7.0,10,10704.96617
79.0,98,10711.6795
140.0,295,10736.69179
9.0,29,10738.445287
113.0,257,10761.459443
129.0,205,10777.09696
3.0,34,10778.002267
60.0,83,10784.479612
34.0,43,10788.180552
135.0,242,10808.842595
1.0,14,10808.855015
105.0,118,10818.354155
1.0,6,10818.365633
77.0,150,10829.095947
1.0,21,10829.114646
99.0,136,10840.127618
112.0,154,10851.024614
26.0,55,10853.142084
5.0,21,10853.509689
1.0,22,10853.527848
107.0,128,10864.217012
1.0,17,10864.230839
130.0,238,10884.565001
41.0,52,10887.543072
52.0,77,10891.976551
109.0,178,10905.712348
92.0,156,10917.40711
257.0,1863,11074.256426
105.0,141,11086.267482
10.0,14,11087.05688
1.0,22,11087.077066
105.0,149,11099.248247
67.0,84,11104.97507
29.0,39,11107.195725
120.0,197,11123.426645
112.0,210,11139.646627
6.0,12,11140.09092
59.0,59,11144.756675
138.0,191,11159.635775
1.0,25,11159.656368
26.0,28,11161.855178
97.0,123,11170.229971
234.0,1922,11333.740472
134.0,274,11356.868226
