#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2460117}
r,l,t
17.0,59,7.0588
21.0,104,15.970261
5.0,13,16.377476
9.0,59,19.581333
14.0,74,23.53317
7.0,38,25.287704
8.0,60,27.986982
8.0,52,31.084976
17.0,49,34.478214
1.0,22,34.495318
19.0,108,43.97224
1.0,24,43.990748
11.0,37,46.648439
2.0,15,47.493536
3.0,31,47.946579
13.0,77,52.384735
29.0,88,59.813685
27.0,78,64.988539
17.0,74,71.157748
12.0,46,74.268159
21.0,94,81.297895
9.0,78,87.845507
21.0,62,91.254277
9.0,56,94.356558
6.0,21,95.315085
18.0,125,104.669576
14.0,29,107.164707
3.0,69,111.964859
18.0,51,115.065776
8.0,32,117.667488
2.0,31,118.556545
31.0,125,127.994829
8.0,29,129.820544
13.0,86,137.293335
7.0,30,139.49781
43.0,192,155.969164
8.0,36,158.449755
4.0,18,158.966553
29.0,118,169.040822
6.0,70,172.532962
15.0,46,174.21469
11.0,37,176.338997
6.0,34,178.064285
6.0,39,180.677985
1.0,18,180.691006
14.0,74,186.867964
4.0,30,187.329664
29.0,66,192.194622
3.0,52,194.753176
32.0,100,201.189515
20.0,54,204.557418
3.0,49,207.549656
26.0,81,214.130802
8.0,52,216.911415
28.0,60,220.505796
4.0,32,220.957908
9.0,35,222.481426
8.0,35,225.375632
4.0,21,226.620074
1.0,21,226.637184
21.0,71,231.874071
31.0,88,238.932384
1.0,16,238.944672
15.0,57,242.912642
4.0,36,243.788901
6.0,23,244.95744
27.0,53,249.168514
16.0,89,255.090693
1.0,11,255.099051
17.0,67,259.68299
19.0,35,262.156781
5.0,18,263.688482
2.0,32,263.829958
15.0,51,267.81022
4.0,32,268.241441
10.0,69,272.251308
11.0,45,275.496286
14.0,54,279.966929
23.0,116,288.163742
4.0,38,289.413966
20.0,31,291.956762
27.0,58,296.632342
17.0,45,300.320374
8.0,51,302.539316
1.0,20,302.555687
25.0,115,312.211882
1.0,22,312.22756
19.0,26,314.061425
40.0,101,321.654009
16.0,99,329.734534
13.0,70,334.525457
22.0,72,340.54562
37.0,92,348.080213
10.0,55,350.180717
28.0,134,361.199728
28.0,89,367.989683
2.0,30,368.044807
9.0,30,370.601521
1.0,8,370.607851
4.0,17,371.060873
18.0,46,373.573933
33.0,128,382.803593
16.0,71,388.829387
21.0,68,393.483533
21.0,78,399.70361
9.0,66,403.121078
18.0,40,405.659292
12.0,77,410.909874
53.0,162,424.622193
31.0,87,431.613214
2.0,25,432.547067
17.0,62,435.958687
26.0,102,443.888203
10.0,38,446.185961
33.0,103,454.311534
40.0,207,470.33643
40.0,103,477.68923
1.0,28,477.710131
8.0,57,482.539885
1.0,28,482.559636
34.0,95,490.596166
32.0,108,498.788277
26.0,65,503.042527
1.0,18,503.055846
7.0,17,503.877309
34.0,97,511.557587
3.0,21,511.713793
34.0,78,517.21977
35.0,91,522.931863
58.0,125,531.93266
6.0,20,532.367476
8.0,91,538.355996
12.0,22,539.661171
8.0,44,541.333598
38.0,126,550.344002
41.0,121,558.533143
17.0,40,560.324198
20.0,54,564.969742
16.0,43,568.557955
8.0,19,569.469308
58.0,118,579.43274
26.0,80,583.890277
1.0,19,583.904006
28.0,71,589.339912
3.0,63,593.579375
7.0,35,595.791666
48.0,106,602.948783
2.0,35,603.903823
8.0,34,605.63145
22.0,35,608.572427
17.0,59,613.751277
1.0,11,613.760127
4.0,25,614.278971
49.0,200,630.668158
31.0,64,635.342389
1.0,40,637.171217
13.0,46,641.069016
45.0,103,648.768377
4.0,20,649.240208
1.0,17,649.252784
13.0,23,651.114558
15.0,35,654.139439
11.0,28,656.140066
26.0,73,661.312737
15.0,67,666.910497
20.0,62,671.906497
22.0,71,676.169173
2.0,24,676.225029
21.0,78,681.97281
21.0,69,687.296394
2.0,23,688.829079
13.0,50,692.823383
3.0,17,693.231579
34.0,85,700.083338
1.0,15,700.09522
19.0,84,706.408216
8.0,71,710.726788
33.0,129,720.898644
17.0,33,723.168025
13.0,82,729.470498
17.0,56,732.88256
15.0,32,735.093668
10.0,47,737.037372
13.0,69,742.855014
40.0,77,748.919061
1.0,13,748.929192
26.0,66,754.027953
40.0,173,767.48519
29.0,108,775.152043
15.0,66,778.450959
10.0,46,782.353987
7.0,33,783.373082
63.0,98,791.198238
12.0,47,793.902893
12.0,77,799.34889
20.0,57,802.397145
14.0,37,805.029186
2.0,35,806.737017
21.0,63,811.46467
20.0,43,814.672617
3.0,31,814.778846
11.0,23,816.494724
18.0,87,822.001483
24.0,69,827.584536
1.0,27,827.604925
22.0,67,833.20576
1.0,19,833.220366
4.0,11,833.575454
13.0,44,834.931748
55.0,182,849.597324
4.0,30,850.453362
11.0,74,856.456655
1.0,25,856.474346
17.0,71,862.389338
41.0,109,869.818323
29.0,70,875.333448
5.0,72,880.264668
9.0,39,882.006429
10.0,55,885.006717
5.0,27,885.523641
25.0,75,889.760827
26.0,90,897.05247
8.0,32,898.406394
1.0,22,898.743167
3.0,22,899.081546
22.0,98,906.125841
6.0,42,908.254723
28.0,70,913.488517
38.0,123,922.319438
32.0,77,927.981233
7.0,71,932.69376
60.0,130,942.107811
21.0,143,954.124866
10.0,42,956.966399
22.0,86,962.960463
7.0,39,965.963192
8.0,36,966.895818
8.0,33,967.458633
10.0,43,969.531358
3.0,25,970.832384
6.0,53,974.283823
15.0,57,978.205354
53.0,139,989.104908
10.0,60,993.420208
9.0,39,996.639211
12.0,60,1001.663659
12.0,72,1007.151067
10.0,35,1009.434771
7.0,52,1011.469025
3.0,33,1012.437541
32.0,90,1019.156348
5.0,80,1023.812598
6.0,55,1027.254032
5.0,15,1028.052399
22.0,80,1034.046573
29.0,35,1036.957597
6.0,84,1041.860323
66.0,149,1053.671633
8.0,24,1055.349918
18.0,57,1059.016973
56.0,134,1069.411225
1.0,16,1069.459372
37.0,97,1078.00369
34.0,133,1088.020784
14.0,75,1092.789278
22.0,76,1097.768285
27.0,141,1109.892839
30.0,80,1114.215929
13.0,44,1115.820856
134.0,3000,1379.404857
2.0,21,1379.465739
9.0,42,1382.728985
118.0,3000,1641.066278
29.0,225,1659.55048
42.0,120,1669.195848
23.0,57,1674.001607
28.0,77,1679.613097
28.0,66,1684.621597
1.0,35,1685.504211
4.0,26,1686.016443
1.0,29,1686.037549
13.0,70,1692.176381
34.0,128,1701.695299
13.0,27,1703.397438
22.0,63,1706.740638
1.0,16,1706.759709
34.0,87,1712.983377
7.0,51,1715.489802
4.0,37,1717.557294
