#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.1903794}
r,l,t
25.0,273,25.841991
6.0,44,28.091875
15.0,106,36.36706
11.0,80,42.251486
29.0,63,47.428343
12.0,132,57.601212
2.0,19,57.945609
10.0,45,60.556074
10.0,38,61.967916
20.0,124,72.5306
6.0,32,74.768806
4.0,44,77.785845
41.0,112,87.381253
25.0,140,98.586694
11.0,62,101.514755
6.0,58,104.59711
1.0,19,104.614491
12.0,67,109.778097
4.0,27,109.925475
16.0,63,113.368917
4.0,27,114.257834
4.0,44,116.743529
5.0,47,119.873691
1.0,22,119.92538
1.0,27,120.367857
1.0,17,120.382576
6.0,53,124.684616
7.0,43,126.900266
2.0,21,127.366658
16.0,46,130.654881
28.0,100,137.448326
1.0,33,137.853077
12.0,42,139.498873
11.0,88,145.993737
19.0,47,149.510444
28.0,83,154.272764
5.0,22,155.4323
15.0,72,160.767993
19.0,85,165.904874
26.0,90,171.625528
19.0,84,178.16067
40.0,133,189.222142
3.0,31,189.600444
31.0,162,202.057088
5.0,57,205.513852
21.0,69,210.17575
35.0,146,220.961424
7.0,29,222.340286
3.0,33,222.874954
19.0,63,226.240839
1.0,14,226.260158
29.0,76,231.924236
1.0,25,231.949548
30.0,83,238.523177
38.0,117,248.350832
22.0,104,255.953535
13.0,64,258.880821
20.0,78,263.878369
6.0,31,266.184246
21.0,97,273.597787
6.0,55,277.380057
18.0,67,281.248089
11.0,32,283.541554
11.0,50,286.045984
5.0,60,289.829964
2.0,38,290.750127
8.0,33,292.381842
2.0,20,292.751591
5.0,26,294.47698
1.0,21,294.50221
19.0,54,298.488639
10.0,58,301.53892
7.0,27,302.504094
22.0,67,307.540436
24.0,57,311.295836
3.0,22,312.671861
4.0,8,313.098218
51.0,121,323.101482
32.0,140,332.911591
4.0,53,335.010935
18.0,66,338.540775
8.0,38,341.809275
1.0,13,341.823452
15.0,52,345.216922
36.0,94,350.832926
5.0,36,352.155844
4.0,15,352.908336
19.0,81,358.981791
14.0,62,364.077093
1.0,21,364.094372
22.0,58,368.540635
8.0,18,370.218013
51.0,106,377.624184
23.0,94,383.690935
18.0,54,387.643992
7.0,34,388.795744
25.0,75,394.492809
10.0,36,396.563026
7.0,98,402.6615
2.0,28,403.171358
8.0,24,404.937957
4.0,26,405.798471
14.0,64,411.252155
4.0,44,412.535065
14.0,52,415.313647
11.0,95,422.168363
1.0,28,422.19294
9.0,44,425.984855
36.0,62,430.849726
4.0,30,431.207451
22.0,54,435.551176
9.0,11,436.342224
9.0,46,437.71748
14.0,118,447.088711
48.0,153,459.08302
3.0,57,461.689029
15.0,95,467.736701
8.0,29,469.177881
26.0,78,475.192455
4.0,20,476.793553
3.0,39,477.642488
20.0,91,484.651142
4.0,25,485.084383
34.0,73,491.101153
4.0,17,491.491601
10.0,45,494.004487
5.0,23,494.857761
37.0,88,502.205
20.0,50,504.927941
4.0,35,505.78407
7.0,55,509.057001
22.0,77,515.121866
23.0,110,523.434087
41.0,84,528.880016
8.0,11,529.443087
29.0,63,534.524797
7.0,20,535.422344
4.0,37,536.150734
55.0,160,548.209111
24.0,122,557.753329
41.0,94,564.24125
33.0,103,571.611102
7.0,46,574.869613
31.0,75,580.054538
19.0,68,583.42497
8.0,20,584.284022
2.0,29,584.343039
44.0,104,592.356047
19.0,70,595.784053
1.0,18,595.803637
36.0,55,600.135673
22.0,95,606.032309
2.0,33,607.396038
27.0,88,613.553453
27.0,66,618.841359
19.0,56,621.898154
1.0,21,621.916467
8.0,19,623.241807
4.0,77,629.102117
24.0,52,633.417599
18.0,59,636.001135
9.0,39,638.072793
13.0,50,640.786199
31.0,94,646.671391
62.0,208,661.854101
9.0,15,662.634113
4.0,41,664.306524
8.0,19,665.617742
1.0,11,665.630496
12.0,80,671.045234
38.0,84,676.649242
23.0,73,682.578134
4.0,38,683.469143
23.0,80,689.287113
8.0,35,689.872847
8.0,50,693.61252
19.0,66,697.228002
7.0,36,698.040008
2.0,29,698.985658
15.0,63,702.610874
1.0,17,702.628691
19.0,41,705.744426
6.0,50,707.664394
26.0,45,711.218588
18.0,24,713.220912
4.0,33,714.184825
3.0,26,714.318025
1.0,13,714.332239
16.0,41,716.727912
32.0,119,725.549768
9.0,32,727.839576
35.0,145,738.997187
13.0,51,743.275845
1.0,49,745.576626
2.0,25,745.964006
20.0,93,751.902717
7.0,98,758.361973
1.0,22,758.383689
10.0,24,760.063849
6.0,60,764.298998
14.0,38,765.960827
18.0,39,769.270204
26.0,72,774.704869
27.0,115,782.58153
3.0,35,783.010003
1.0,18,783.025926
66.0,135,793.948291
46.0,116,803.806317
18.0,66,809.26912
3.0,13,809.397835
29.0,86,816.168194
8.0,69,820.203241
17.0,50,823.691751
1.0,28,823.71721
23.0,35,826.680712
6.0,53,828.566991
14.0,87,833.727949
17.0,79,838.864908
10.0,23,840.006029
2.0,21,840.374058
54.0,98,848.38339
22.0,97,854.010777
6.0,29,855.279715
11.0,53,858.25902
1.0,22,858.284063
47.0,78,864.477787
1.0,11,864.491069
8.0,73,869.725607
8.0,45,872.010987
39.0,71,877.829179
1.0,32,878.233315
19.0,68,883.002306
19.0,60,886.446529
16.0,75,890.705277
23.0,129,899.573459
1.0,42,901.689645
1.0,27,901.714005
8.0,22,903.153563
9.0,55,905.733145
25.0,52,909.735233
8.0,24,911.424695
11.0,31,913.142951
10.0,37,914.695116
47.0,84,921.178763
9.0,45,924.610471
1.0,9,924.620455
11.0,31,927.049712
17.0,33,929.319479
53.0,142,941.242273
2.0,29,941.665756
10.0,28,943.760217
134.0,3000,1203.62649
1.0,22,1203.645799
27.0,121,1214.209176
10.0,22,1215.076576
20.0,54,1219.382538
1.0,27,1219.403892
31.0,89,1226.8725
10.0,361,1256.27909
16.0,36,1258.566537
28.0,89,1264.187716
9.0,24,1265.008461
11.0,43,1268.146064
3.0,26,1268.483174
28.0,60,1272.589468
31.0,78,1278.553614
21.0,73,1284.573663
1.0,12,1284.588729
1.0,32,1285.839287
16.0,55,1289.272592
10.0,65,1292.255509
8.0,23,1293.483356
5.0,41,1294.994644
28.0,107,1303.160733
13.0,44,1306.650563
1.0,18,1306.667119
1.0,12,1306.676397
8.0,38,1309.985694
3.0,33,1310.537213
6.0,28,1311.706083
5.0,39,1312.670712
1.0,30,1313.373811
4.0,23,1315.194394
11.0,96,1321.952303
3.0,40,1323.005365
23.0,65,1327.798561
1.0,8,1328.210694
15.0,51,1330.721264
1.0,13,1330.737142
9.0,33,1333.370103
1.0,26,1333.393874
5.0,15,1334.657787
1.0,22,1334.678344
24.0,95,1342.816403
6.0,39,1345.01802
16.0,129,1354.510379
13.0,44,1356.278655
1.0,49,1359.439934
7.0,58,1363.868343
6.0,46,1367.750537
18.0,64,1372.145827
11.0,37,1374.138242
11.0,37,1376.745258
5.0,45,1378.938332
29.0,162,1391.792767
2.0,52,1395.968578
9.0,20,1396.936487
52.0,117,1406.805883
59.0,139,1417.760767
27.0,64,1421.905204
16.0,102,1428.454674
1.0,53,1430.558738
10.0,73,1434.309504
13.0,40,1435.990547
50.0,123,1446.042994
7.0,35,1448.127349
15.0,39,1450.871059
15.0,55,1454.624766
24.0,59,1458.418894
3.0,31,1458.85326
20.0,82,1465.353058
18.0,42,1468.401026
17.0,55,1472.280722
1.0,28,1472.387672
5.0,21,1473.137479
6.0,50,1475.93817
4.0,42,1478.751397
1.0,20,1478.769267
7.0,18,1479.629713
35.0,105,1488.205469
