#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.21112}
r,l,t
22.0,90,8.109298
14.0,75,12.884131
5.0,13,13.445329
9.0,59,16.099348
15.0,72,21.5246
7.0,31,24.022107
7.0,51,25.823006
2.0,26,25.878909
3.0,31,27.521495
2.0,24,28.321466
10.0,47,30.117726
12.0,41,33.225468
10.0,50,36.513113
5.0,41,38.671239
13.0,90,45.789093
4.0,31,47.317142
34.0,75,53.76292
19.0,72,58.067241
19.0,88,63.963902
6.0,24,65.772716
19.0,44,68.340084
22.0,75,72.876639
21.0,94,80.849152
7.0,85,86.031609
4.0,29,86.533912
7.0,43,89.713734
6.0,40,91.408688
8.0,30,92.256935
5.0,18,92.711967
1.0,25,92.729854
10.0,42,96.187378
7.0,46,97.600877
9.0,25,99.383033
1.0,27,99.403009
8.0,54,103.794879
12.0,48,107.244529
1.0,25,107.262582
10.0,82,114.146756
5.0,25,114.329659
5.0,57,119.366144
1.0,9,119.373339
3.0,22,119.963938
16.0,56,123.256389
7.0,45,124.957594
8.0,34,127.673265
14.0,77,131.671439
7.0,23,132.569396
24.0,98,140.780675
12.0,103,147.290875
10.0,22,149.01761
7.0,21,149.557852
8.0,28,151.269768
19.0,69,155.079211
14.0,60,158.996643
18.0,47,163.042574
22.0,64,165.981864
11.0,35,168.554498
2.0,31,168.652865
15.0,69,173.412606
10.0,15,174.534245
47.0,144,184.802877
1.0,22,185.100972
9.0,35,186.382671
17.0,68,190.840274
1.0,15,190.852901
5.0,10,191.038286
33.0,89,197.142933
47.0,136,207.161905
35.0,71,212.790183
18.0,81,218.273588
1.0,16,218.288808
15.0,42,221.865735
33.0,82,227.503808
4.0,20,227.679531
1.0,9,227.687658
14.0,41,230.065744
15.0,63,234.816193
1.0,28,234.83692
21.0,52,239.294444
17.0,79,243.689854
9.0,28,245.772454
23.0,89,252.195947
6.0,30,254.707839
1.0,17,254.72197
6.0,60,259.466782
22.0,85,265.814919
1.0,15,265.829793
31.0,83,272.368613
1.0,16,272.417152
5.0,15,273.646421
9.0,31,276.351486
6.0,43,278.64816
8.0,91,283.915114
26.0,64,288.569186
5.0,45,290.306854
5.0,38,291.507456
21.0,79,297.915008
2.0,29,298.061496
13.0,43,301.968627
8.0,73,306.420151
31.0,95,314.82479
5.0,30,315.200634
8.0,71,319.894958
41.0,116,329.35378
30.0,308,354.090364
7.0,72,359.500296
7.0,47,362.79307
7.0,18,363.717823
4.0,28,364.494641
23.0,105,371.876976
6.0,18,372.4714
1.0,20,372.486427
17.0,89,380.132547
6.0,28,381.35529
37.0,130,392.338106
15.0,40,395.79528
20.0,94,403.540464
3.0,12,404.051059
11.0,57,406.649115
4.0,50,409.318026
15.0,46,412.576361
24.0,74,416.457467
4.0,40,417.844431
2.0,33,418.323514
13.0,51,420.293589
21.0,64,423.760013
11.0,66,427.243009
9.0,46,428.921008
21.0,87,434.766598
11.0,82,441.035904
15.0,44,444.816936
32.0,141,454.439607
29.0,60,458.174913
1.0,15,458.187109
1.0,9,458.194153
15.0,27,460.035942
33.0,139,469.530334
2.0,17,469.891351
14.0,92,476.270243
24.0,106,483.748623
13.0,60,487.223816
3.0,27,487.609892
4.0,39,490.101745
26.0,70,494.124252
58.0,122,504.318542
7.0,68,509.085188
45.0,100,516.818929
9.0,35,519.075845
27.0,83,525.999182
11.0,68,530.227254
57.0,125,540.039516
1.0,23,540.056473
16.0,40,543.159782
15.0,52,545.73546
129.0,3000,800.205862
4.0,27,800.382201
12.0,54,804.611361
7.0,22,805.910089
1.0,20,805.924761
33.0,101,813.870898
20.0,90,819.029844
4.0,51,821.129859
5.0,38,822.320017
9.0,37,823.30828
13.0,41,826.662786
33.0,115,835.467552
27.0,67,840.451544
5.0,19,842.078623
1.0,14,842.091075
23.0,34,844.572706
1.0,21,844.587834
10.0,16,845.613227
42.0,83,851.502327
8.0,45,853.102258
34.0,89,859.526019
34.0,122,869.794947
4.0,29,870.164181
6.0,44,873.469128
19.0,28,875.756738
27.0,79,879.908284
9.0,62,883.920734
12.0,101,891.464889
9.0,27,892.308152
18.0,73,896.636659
3.0,45,898.43876
27.0,82,903.089162
35.0,111,911.792988
13.0,70,915.557116
22.0,70,921.105016
1.0,21,921.120089
140.0,3000,1182.202003
21.0,88,1187.337014
4.0,41,1190.351515
10.0,37,1191.756373
26.0,49,1195.096648
17.0,69,1198.800841
5.0,43,1202.318784
19.0,61,1206.197344
14.0,47,1209.46825
10.0,44,1211.20603
15.0,43,1214.601295
3.0,29,1215.884387
1.0,22,1215.905875
24.0,65,1221.107034
1.0,33,1222.517801
9.0,73,1227.164653
12.0,55,1230.147642
1.0,19,1231.083493
3.0,23,1231.181551
5.0,40,1234.13302
8.0,39,1236.671877
17.0,49,1240.178075
18.0,76,1244.599285
1.0,29,1244.622277
1.0,23,1246.619714
6.0,65,1249.634813
4.0,49,1253.062748
16.0,56,1257.052838
9.0,24,1258.493741
17.0,53,1261.049394
4.0,25,1262.415375
21.0,72,1267.739712
8.0,113,1274.992333
1.0,14,1275.004806
3.0,31,1277.232798
11.0,20,1278.490381
19.0,73,1284.027972
19.0,62,1287.646241
21.0,54,1292.18557
6.0,28,1293.126398
10.0,60,1296.592092
1.0,12,1296.603222
36.0,73,1302.765192
2.0,9,1303.050256
26.0,112,1311.633291
39.0,129,1321.122785
20.0,63,1325.038868
11.0,52,1327.717683
10.0,75,1332.051503
8.0,30,1333.263271
16.0,47,1336.860768
8.0,23,1338.066631
8.0,86,1344.7329
1.0,23,1344.753205
9.0,15,1345.983078
14.0,46,1348.092713
18.0,118,1355.747288
3.0,19,1355.840688
1.0,24,1355.862828
30.0,120,1366.359502
12.0,129,1376.839473
1.0,23,1376.857765
26.0,88,1384.11893
1.0,23,1384.140297
54.0,102,1392.473245
1.0,16,1392.488787
24.0,156,1405.533566
11.0,69,1408.945604
8.0,89,1414.656296
8.0,55,1416.922977
1.0,15,1416.934562
16.0,29,1419.389006
14.0,41,1422.515594
3.0,49,1424.632334
20.0,78,1429.023114
1.0,6,1429.030798
17.0,48,1432.11806
23.0,55,1435.566563
9.0,49,1438.208198
47.0,114,1446.332679
40.0,77,1452.512601
3.0,37,1454.940589
37.0,103,1463.355941
26.0,100,1471.830728
33.0,121,1480.08106
10.0,40,1481.712379
6.0,16,1482.15167
17.0,39,1484.032521
19.0,27,1486.155632
35.0,111,1495.274343
7.0,33,1497.482673
14.0,62,1500.51783
15.0,45,1503.946681
41.0,130,1515.132613
5.0,50,1517.027445
11.0,23,1517.870364
2.0,39,1519.184639
11.0,20,1520.494043
39.0,103,1528.81504
1.0,21,1528.83363
16.0,61,1533.884607
13.0,46,1537.419318
9.0,44,1539.65415
10.0,38,1542.264416
18.0,53,1545.699709
15.0,57,1548.340668
3.0,24,1548.63761
7.0,12,1549.543814
11.0,38,1551.377
17.0,46,1553.548871
16.0,62,1556.413635
1.0,16,1556.426187
1.0,16,1556.533337
18.0,97,1563.381955
2.0,27,1563.851408
108.0,3000,1822.39607
1.0,24,1822.417324
15.0,47,1826.457265
30.0,92,1832.189659
20.0,67,1836.195524
38.0,97,1843.241177
36.0,115,1851.931277
48.0,178,1865.711879
28.0,79,1870.098669
49.0,146,1881.836326
1.0,29,1881.862629
3.0,28,1884.17362
13.0,52,1887.19471
8.0,34,1887.951751
11.0,67,1892.933543
46.0,202,1908.230451
32.0,110,1917.530454
1.0,22,1917.547539
38.0,73,1923.236637
39.0,77,1929.619058
39.0,82,1936.269246
8.0,47,1938.074257
20.0,72,1943.820149
10.0,41,1945.900384
18.0,96,1952.579009
1.0,20,1952.594157
27.0,78,1958.792239
2.0,27,1958.859582
32.0,56,1962.677057
63.0,160,1973.968259
50.0,177,1987.721162
8.0,51,1990.367875
146.0,3000,2247.810798
1.0,21,2247.827585
5.0,38,2250.84931
27.0,78,2256.693928
11.0,60,2260.989152
8.0,31,2261.964285
26.0,51,2265.861438
21.0,57,2270.433776
3.0,19,2270.850123
4.0,45,2272.191532
33.0,58,2276.910293
15.0,56,2279.382946
1.0,17,2279.399454
16.0,60,2283.865147
1.0,39,2284.694579
3.0,31,2285.034323
8.0,14,2285.528971
1.0,21,2285.546905
26.0,64,2290.452983
4.0,28,2291.588045
7.0,10,2292.163507
3.0,84,2298.495853
48.0,119,2308.210411
4.0,22,2308.361684
21.0,36,2311.259837
42.0,78,2316.041151
23.0,98,2322.971312
53.0,95,2330.653
10.0,127,2339.869081
9.0,60,2342.937231
1.0,23,2342.962775
16.0,48,2346.551585
17.0,74,2352.976104
12.0,42,2355.18785
2.0,18,2355.7239
14.0,28,2358.184592
49.0,217,2374.741141
33.0,91,2380.466
1.0,17,2380.879263
18.0,59,2383.583407
7.0,32,2384.805893
1.0,27,2384.826111
20.0,50,2389.012658
21.0,87,2395.904485
18.0,78,2401.8588
13.0,53,2406.262329
37.0,98,2413.599369
3.0,35,2414.170952
40.0,83,2419.630797
11.0,47,2423.504554
8.0,15,2424.399478
32.0,77,2429.100183
13.0,26,2430.950163
26.0,63,2435.988217
7.0,32,2436.756815
1.0,14,2436.767941
26.0,75,2442.413491
25.0,67,2446.408882
27.0,92,2453.664813
8.0,42,2454.961847
11.0,36,2457.718661
4.0,25,2458.114095
3.0,25,2458.936064
10.0,33,2460.724192
7.0,34,2462.331056
5.0,16,2463.355288
13.0,64,2468.85756
1.0,12,2468.866667
14.0,30,2471.026641
17.0,26,2472.737536
39.0,135,2482.423707
126.0,3000,2737.949263
14.0,65,2741.37804
58.0,222,2757.855571
140.0,3000,3016.155919
9.0,41,3017.950568
3.0,29,3018.250385
22.0,37,3020.318956
22.0,42,3022.178053
11.0,38,3024.704418
23.0,68,3030.185529
3.0,27,3030.551513
40.0,62,3035.388452
50.0,97,3041.777615
31.0,88,3048.237943
13.0,22,3049.485819
134.0,3000,3304.166237
9.0,33,3305.350116
40.0,101,3311.488684
9.0,37,3313.10766
43.0,70,3317.189624
53.0,99,3323.557565
50.0,91,3329.316839
7.0,22,3330.210138
65.0,158,3343.306765
48.0,109,3351.707975
27.0,100,3359.431753
85.0,214,3376.842634
8.0,16,3377.78752
4.0,13,3378.244296
19.0,49,3381.376999
21.0,31,3383.904995
76.0,98,3392.004644
64.0,104,3400.918908
6.0,18,3401.407768
