#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.229116}
r,l,t
24.0,417,36.429736
1.0,25,36.449924
28.0,120,46.766888
13.0,89,53.554325
6.0,45,55.471534
27.0,130,65.383846
18.0,60,69.252985
7.0,49,71.893347
20.0,126,81.726684
26.0,117,89.637774
16.0,24,91.80795
5.0,40,92.793289
29.0,68,97.666255
15.0,84,104.071276
4.0,36,105.820176
9.0,60,109.37329
1.0,17,109.387851
7.0,29,111.925602
1.0,24,111.943223
15.0,40,115.405614
30.0,88,120.708133
1.0,16,120.719973
21.0,72,126.272061
21.0,48,130.18035
1.0,25,130.199172
4.0,41,133.70997
4.0,68,137.423293
12.0,46,140.820019
6.0,31,142.591392
7.0,33,144.289257
1.0,17,144.305533
31.0,101,152.124492
4.0,32,154.114439
99.0,3000,413.497786
7.0,62,418.265811
4.0,45,422.077881
12.0,42,423.416649
24.0,76,429.084926
6.0,30,430.336965
14.0,62,433.722537
10.0,44,435.171086
5.0,20,436.420041
5.0,28,437.187315
3.0,31,437.289621
25.0,78,443.530567
41.0,88,450.929486
4.0,16,451.37562
51.0,136,463.138157
50.0,151,475.024231
11.0,40,476.423477
37.0,125,486.708787
17.0,75,491.40758
32.0,82,497.000338
6.0,39,500.112838
40.0,126,509.513334
11.0,44,512.878205
14.0,48,514.616269
13.0,29,516.253124
5.0,40,518.895266
25.0,88,525.934588
17.0,100,533.07876
2.0,15,533.626302
13.0,56,537.074234
31.0,81,543.887503
10.0,29,544.908573
28.0,86,551.711576
1.0,44,552.922231
13.0,48,556.319831
19.0,79,562.050561
1.0,21,562.066177
7.0,43,565.126575
31.0,71,569.945621
1.0,20,569.961483
39.0,70,575.781505
7.0,37,578.277364
14.0,78,583.853785
8.0,35,585.511495
13.0,66,589.779011
56.0,167,602.102261
6.0,32,603.435153
49.0,127,612.603014
1.0,20,612.61729
20.0,76,618.386412
16.0,32,620.228458
2.0,38,621.046323
37.0,115,630.36182
32.0,62,634.694105
30.0,130,645.428245
128.0,3000,898.813429
4.0,10,899.23895
6.0,36,899.713592
3.0,12,900.420644
8.0,37,902.260249
3.0,24,903.383276
9.0,26,905.280325
3.0,24,905.603485
8.0,44,907.302444
134.0,3000,1165.721124
23.0,68,1170.112326
5.0,78,1175.185489
6.0,8,1175.907168
26.0,98,1183.87303
7.0,19,1184.526546
10.0,48,1187.36394
5.0,24,1187.838946
40.0,117,1196.373603
3.0,41,1198.224472
4.0,23,1198.624957
1.0,23,1198.642588
7.0,19,1199.598683
38.0,75,1205.375833
4.0,37,1206.776956
4.0,11,1207.492948
3.0,33,1208.873586
36.0,87,1216.345956
17.0,48,1219.839703
119.0,3000,1478.280102
1.0,15,1478.291806
5.0,9,1479.076105
23.0,65,1483.007336
24.0,60,1487.018203
22.0,53,1490.009585
1.0,17,1490.820902
75.0,238,1509.890574
3.0,25,1510.399626
12.0,67,1515.477041
1.0,23,1515.496233
19.0,62,1520.912255
25.0,78,1525.723972
124.0,3000,1784.066476
20.0,56,1788.836542
6.0,32,1789.82041
4.0,30,1791.17966
56.0,130,1800.668419
37.0,112,1808.008666
18.0,52,1811.856354
10.0,34,1813.658522
6.0,17,1814.878527
9.0,56,1817.085646
8.0,52,1819.199897
7.0,19,1820.044899
1.0,30,1820.483094
1.0,27,1820.503663
8.0,35,1823.72129
6.0,36,1825.174805
6.0,12,1825.861593
1.0,14,1825.872731
31.0,53,1830.031243
9.0,32,1830.901395
8.0,32,1832.232385
18.0,54,1834.349391
23.0,58,1838.252047
13.0,62,1841.487831
12.0,72,1845.759096
38.0,91,1853.360977
28.0,156,1865.697792
1.0,24,1865.720968
36.0,59,1870.571688
58.0,92,1877.850992
13.0,45,1881.020808
15.0,30,1882.696193
17.0,87,1890.20282
1.0,14,1890.213897
