#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2147}
r,l,t
21.0,83,7.969785
1.0,31,8.878444
8.0,42,10.666958
4.0,21,11.058369
2.0,69,16.143276
5.0,65,19.969832
14.0,46,23.255423
23.0,86,29.272782
34.0,77,35.398211
15.0,36,38.608683
7.0,47,40.955538
23.0,87,48.461814
20.0,65,54.071683
20.0,87,59.84578
25.0,73,66.183012
7.0,116,75.557275
9.0,56,78.225017
17.0,78,83.610496
28.0,188,98.428401
1.0,25,98.445938
14.0,60,103.610011
12.0,73,108.947789
9.0,33,111.121571
1.0,14,111.132217
26.0,130,121.230217
3.0,27,122.398582
4.0,10,122.920154
14.0,66,127.768958
3.0,26,128.06745
2.0,18,128.474936
10.0,59,131.674871
8.0,46,133.667674
1.0,24,133.684767
8.0,38,136.545932
9.0,34,139.188387
22.0,91,146.104901
24.0,129,154.723642
7.0,32,155.912731
23.0,79,162.117406
12.0,37,164.615423
25.0,95,171.664801
3.0,29,172.508182
6.0,48,175.562364
11.0,49,177.995912
3.0,38,178.717648
5.0,29,179.191852
22.0,79,184.662777
30.0,99,193.042818
15.0,27,195.198157
44.0,165,208.939851
5.0,44,210.566437
15.0,81,216.539258
4.0,46,218.273338
29.0,85,224.655962
7.0,26,226.810368
29.0,80,231.705859
1.0,25,231.760939
34.0,168,243.822428
51.0,163,255.17582
22.0,99,262.080029
15.0,50,264.680571
3.0,22,266.168404
6.0,35,267.157026
34.0,89,272.741804
13.0,106,281.7595
4.0,28,282.584153
104.0,3000,540.418003
43.0,124,549.028328
14.0,24,550.729487
17.0,40,552.984253
3.0,53,556.461478
12.0,53,560.76587
4.0,42,562.01279
4.0,27,562.936966
32.0,66,567.216466
15.0,52,570.30106
50.0,102,578.725747
27.0,113,587.255373
6.0,62,591.859186
21.0,45,593.972088
5.0,26,594.847512
24.0,53,599.237496
5.0,36,599.9855
16.0,66,604.745295
2.0,32,605.915568
14.0,24,607.376259
6.0,55,610.364861
2.0,22,610.927195
13.0,39,612.912564
30.0,109,621.140107
32.0,100,629.080514
7.0,34,629.868195
1.0,19,630.275626
36.0,101,638.101218
28.0,63,642.013191
43.0,126,650.985645
1.0,17,650.999151
12.0,43,654.214369
11.0,39,655.755422
133.0,3000,910.024467
15.0,54,912.255104
