#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.1892836}
r,l,t
6.0,61,4.918409
3.0,42,7.108231
16.0,66,12.489256
10.0,38,14.762574
14.0,48,17.4004
1.0,15,17.416221
4.0,11,17.835564
7.0,64,21.032935
4.0,24,21.972348
18.0,76,27.061419
7.0,69,31.086572
3.0,19,31.505618
9.0,37,33.291861
2.0,18,33.73288
20.0,50,37.288138
25.0,79,43.217293
2.0,27,43.682367
28.0,76,48.879526
35.0,137,59.66503
8.0,144,70.65354
102.0,3000,330.268278
16.0,57,333.293027
51.0,158,346.464724
46.0,90,352.996035
13.0,57,356.352345
2.0,25,356.418522
16.0,68,361.656186
11.0,36,364.566252
13.0,39,366.268817
1.0,10,366.27965
2.0,18,366.374423
10.0,44,368.001214
24.0,94,375.432757
4.0,58,378.02923
51.0,92,385.778508
7.0,33,387.232297
9.0,56,390.534655
5.0,23,391.4148
7.0,23,392.724442
7.0,84,397.826376
12.0,38,399.661546
5.0,41,400.999628
5.0,27,401.488071
5.0,28,402.195046
27.0,74,406.724318
2.0,29,406.98521
7.0,44,408.314819
21.0,94,415.688161
28.0,791,484.284191
3.0,28,485.840758
16.0,60,488.545962
29.0,88,494.054363
16.0,72,498.432841
24.0,71,503.927082
34.0,58,508.189587
12.0,27,509.632083
4.0,28,510.324789
1.0,22,510.342991
52.0,124,520.324321
1.0,22,520.345304
25.0,52,524.64821
4.0,35,525.970591
41.0,139,536.629141
38.0,98,543.176435
6.0,44,546.053602
1.0,53,550.008895
7.0,12,550.497519
15.0,27,552.538648
12.0,47,554.641369
18.0,76,559.521954
14.0,47,563.439378
19.0,69,569.38342
30.0,78,573.795346
12.0,77,579.999698
29.0,68,584.811181
27.0,83,591.824756
1.0,24,591.843836
8.0,37,594.443828
18.0,58,597.835937
7.0,18,598.37562
3.0,21,598.474427
1.0,21,598.490767
8.0,72,603.900711
22.0,79,608.961364
20.0,64,613.040116
1.0,20,613.058769
18.0,73,618.546496
1.0,15,618.561607
33.0,155,631.132522
2.0,24,631.190457
14.0,43,634.219573
11.0,18,635.134431
26.0,58,637.7526
10.0,23,638.992112
3.0,13,639.085479
5.0,24,640.171158
28.0,105,648.870222
8.0,27,649.877045
11.0,30,651.940681
33.0,94,658.544348
1.0,12,658.557375
12.0,31,660.636028
4.0,20,661.36329
33.0,83,666.960727
11.0,46,669.808399
9.0,44,672.010375
1.0,20,672.38471
25.0,60,677.109983
20.0,84,682.431471
15.0,56,685.618009
4.0,36,686.365641
3.0,33,688.877944
3.0,12,689.395823
3.0,36,690.639474
9.0,65,694.081118
5.0,38,696.413989
8.0,46,698.429014
2.0,37,699.719651
17.0,83,705.745522
32.0,79,711.944601
31.0,71,717.151935
10.0,74,721.91038
8.0,39,723.217927
12.0,38,726.127804
17.0,116,734.541407
1.0,13,734.559501
5.0,18,734.968768
57.0,168,748.527152
126.0,3000,1002.275608
4.0,37,1003.059354
18.0,93,1008.569028
10.0,27,1010.359592
12.0,85,1016.142317
24.0,90,1023.450232
6.0,28,1025.127511
1.0,17,1025.147504
12.0,42,1027.96031
14.0,55,1032.26791
6.0,10,1032.675063
1.0,14,1032.685832
9.0,26,1034.099067
26.0,52,1037.681838
3.0,21,1038.106278
56.0,149,1050.275131
3.0,27,1050.605346
1.0,12,1050.619827
14.0,24,1051.971643
9.0,23,1053.621512
21.0,93,1058.817947
9.0,41,1060.353943
1.0,23,1060.37083
19.0,58,1065.072984
10.0,48,1067.755955
28.0,71,1072.877356
13.0,48,1076.247084
20.0,91,1084.174761
28.0,65,1089.2887
9.0,22,1091.003632
1.0,22,1091.023521
17.0,41,1094.018905
29.0,80,1100.018916
7.0,22,1101.661271
9.0,39,1103.896386
25.0,54,1107.384346
75.0,158,1120.628147
24.0,42,1123.779435
17.0,57,1126.973681
7.0,44,1128.964734
18.0,50,1130.932409
21.0,129,1142.570848
8.0,30,1143.647758
1.0,23,1143.671399
46.0,81,1150.927275
8.0,18,1152.469154
16.0,47,1156.759689
6.0,21,1157.363426
29.0,85,1165.188712
9.0,33,1166.553788
119.0,3000,1426.750495
1.0,22,1426.774065
17.0,55,1431.232694
9.0,47,1433.765322
23.0,87,1439.471031
16.0,58,1443.016522
55.0,142,1453.325643
10.0,45,1454.959381
32.0,155,1467.294243
5.0,33,1468.402169
20.0,93,1475.681148
38.0,117,1483.910456
1.0,28,1485.587706
7.0,17,1486.921052
11.0,34,1488.665274
1.0,16,1488.68316
2.0,15,1488.734589
33.0,81,1495.290247
12.0,83,1500.444571
2.0,30,1501.767572
48.0,75,1507.75807
38.0,91,1514.208294
10.0,43,1516.942634
32.0,77,1522.597544
14.0,67,1526.936244
1.0,26,1527.510262
8.0,38,1528.831927
3.0,50,1531.476722
24.0,58,1536.516145
8.0,30,1538.799317
6.0,46,1541.427166
9.0,42,1543.040483
1.0,24,1543.963237
11.0,31,1546.520563
20.0,77,1552.545286
1.0,10,1552.553757
16.0,37,1554.835016
35.0,102,1563.580692
14.0,62,1567.905508
16.0,85,1574.725984
8.0,50,1576.836581
18.0,56,1579.909661
9.0,44,1581.917508
8.0,50,1584.250148
8.0,44,1586.044038
1.0,24,1586.062017
15.0,73,1591.973308
22.0,134,1601.988997
33.0,103,1610.35607
8.0,49,1614.218816
7.0,18,1614.999927
17.0,103,1623.017726
4.0,25,1623.402138
22.0,64,1628.067794
6.0,13,1628.493721
49.0,93,1635.137149
28.0,57,1639.25825
6.0,28,1639.73827
45.0,136,1650.529866
10.0,37,1653.346571
6.0,28,1655.692085
9.0,41,1656.575671
20.0,102,1663.974524
8.0,53,1666.139371
15.0,68,1670.970586
25.0,75,1675.731431
9.0,57,1678.389423
24.0,83,1683.108547
30.0,71,1689.021559
9.0,53,1693.098177
6.0,33,1693.651073
15.0,96,1699.907141
4.0,36,1700.412429
19.0,65,1705.246633
2.0,23,1705.502231
33.0,92,1711.310571
12.0,39,1714.654416
4.0,27,1716.775808
5.0,9,1717.239784
6.0,29,1718.574462
22.0,93,1724.248101
3.0,16,1725.180601
33.0,102,1731.544783
11.0,32,1734.036279
6.0,26,1735.150187
6.0,39,1736.139686
52.0,131,1747.153361
9.0,58,1750.23454
5.0,52,1752.525063
12.0,94,1760.193482
23.0,95,1767.124025
15.0,97,1774.603159
52.0,132,1784.949789
20.0,62,1787.711971
5.0,44,1789.808691
9.0,29,1792.013096
14.0,38,1795.012206
26.0,50,1798.551543
1.0,21,1798.571368
6.0,83,1805.328048
7.0,35,1805.809503
53.0,144,1817.631553
1.0,22,1817.657376
5.0,20,1818.852103
5.0,37,1819.371484
3.0,19,1820.73596
9.0,29,1822.056793
14.0,53,1825.893532
4.0,20,1826.113224
6.0,20,1827.806126
34.0,61,1832.65526
1.0,12,1832.668313
20.0,69,1838.472587
5.0,35,1839.154935
25.0,61,1842.740302
6.0,17,1843.974568
26.0,75,1848.54085
1.0,29,1848.569056
10.0,12,1849.747862
15.0,49,1852.487694
10.0,40,1854.307034
5.0,31,1856.385901
39.0,70,1860.991877
10.0,41,1862.878803
3.0,24,1864.197919
34.0,120,1874.571268
17.0,55,1878.304791
6.0,83,1883.655737
5.0,20,1885.081663
1.0,12,1885.09468
10.0,59,1890.178914
4.0,31,1890.342402
11.0,36,1892.108375
1.0,33,1892.467013
23.0,83,1898.807742
16.0,81,1905.15445
21.0,68,1910.494499
10.0,36,1912.199527
20.0,52,1915.883074
21.0,78,1922.185736
1.0,25,1923.154996
53.0,179,1937.16252
59.0,128,1947.788836
11.0,36,1950.291986
2.0,30,1951.73296
5.0,33,1952.951009
36.0,49,1957.012917
7.0,31,1958.289268
34.0,88,1964.032666
1.0,29,1964.893518
47.0,97,1973.09655
9.0,35,1974.504685
41.0,88,1981.353235
2.0,30,1981.453943
62.0,136,1993.148679
8.0,37,1994.836265
50.0,129,2005.277564
10.0,14,2006.097172
35.0,84,2011.320398
18.0,33,2013.062557
29.0,79,2018.180493
19.0,77,2024.666864
1.0,13,2024.679756
9.0,39,2027.543104
6.0,42,2030.948313
1.0,21,2030.967526
4.0,13,2031.131681
9.0,25,2033.192454
11.0,62,2038.068366
1.0,15,2038.447167
3.0,38,2041.101129
4.0,13,2041.245857
19.0,56,2044.117127
36.0,103,2050.926617
8.0,29,2052.179138
3.0,39,2053.071954
17.0,48,2055.602199
4.0,26,2056.749005
41.0,124,2064.957507
5.0,32,2067.075727
10.0,41,2068.370207
28.0,70,2072.179615
53.0,155,2085.179746
9.0,79,2090.345673
3.0,18,2090.438924
23.0,78,2095.849237
19.0,64,2099.731749
1.0,20,2099.751044
18.0,73,2105.36666
3.0,34,2106.172609
38.0,111,2115.035968
3.0,27,2115.190168
24.0,37,2117.713959
16.0,37,2119.854001
12.0,33,2121.131423
51.0,107,2129.089931
38.0,76,2133.791887
55.0,174,2147.225524
13.0,62,2150.529145
1.0,20,2150.545467
26.0,106,2159.694623
6.0,28,2161.046852
19.0,98,2167.03916
1.0,20,2167.057536
23.0,52,2171.416143
13.0,46,2173.52725
1.0,31,2174.455979
4.0,37,2175.36321
41.0,137,2186.616791
14.0,52,2190.945734
19.0,53,2193.629523
36.0,106,2200.485155
28.0,96,2208.580808
8.0,88,2215.935974
1.0,22,2215.956881
17.0,34,2218.57695
19.0,69,2222.098211
11.0,39,2223.729796
1.0,26,2224.073145
26.0,113,2231.55949
42.0,90,2238.778982
47.0,222,2256.173915
1.0,16,2256.195454
19.0,57,2260.598738
24.0,113,2267.981219
41.0,114,2276.831793
10.0,51,2280.360493
19.0,72,2285.956109
9.0,21,2286.576538
8.0,38,2289.103336
9.0,15,2289.873969
19.0,39,2292.510388
7.0,45,2293.917252
4.0,37,2295.692242
41.0,104,2303.118794
27.0,62,2307.738096
15.0,53,2311.230512
16.0,32,2313.514071
