#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.247679}
r,l,t
18.0,57,6.677351
3.0,27,7.101836
23.0,82,13.025837
3.0,44,14.649524
1.0,30,14.670979
6.0,9,15.489211
17.0,47,18.168748
23.0,61,23.478598
17.0,60,27.535311
17.0,66,31.950229
3.0,57,35.451203
17.0,49,39.929455
23.0,93,47.441128
26.0,73,53.989756
26.0,86,59.76052
13.0,79,64.991191
3.0,31,65.367636
24.0,55,70.120789
16.0,53,73.828702
9.0,49,77.818581
19.0,64,82.903967
8.0,37,84.392132
3.0,38,85.592055
1.0,24,85.611894
16.0,38,88.707428
7.0,12,89.493635
12.0,50,92.67693
4.0,15,93.67979
27.0,109,102.707445
13.0,111,110.613482
90.0,3000,368.92333
1.0,20,368.938778
60.0,218,387.180448
5.0,21,387.901628
1.0,18,387.916216
46.0,117,397.039156
3.0,19,397.93277
4.0,12,398.262244
4.0,31,399.551561
3.0,48,401.385821
8.0,43,403.882019
27.0,156,416.854629
5.0,9,417.386989
21.0,83,422.462143
14.0,52,424.672838
19.0,120,433.396123
7.0,36,434.634275
11.0,60,437.707968
24.0,49,440.604467
15.0,23,442.21556
27.0,93,448.726394
28.0,83,453.796896
7.0,26,454.699171
99.0,3000,711.016172
18.0,67,714.611771
20.0,72,718.383324
12.0,33,720.59095
21.0,74,725.107974
3.0,22,725.243715
3.0,26,725.635402
7.0,39,727.019087
19.0,52,730.821563
23.0,55,735.004236
5.0,26,736.174749
13.0,61,740.19079
18.0,107,747.162784
8.0,35,749.294601
21.0,80,754.521932
35.0,143,764.246999
1.0,12,764.266641
5.0,33,766.313624
1.0,37,768.891848
33.0,180,782.099912
19.0,83,787.166861
14.0,56,789.579359
1.0,53,792.025581
1.0,20,792.039996
7.0,13,792.882055
1.0,34,794.359684
9.0,51,798.006309
9.0,44,799.774081
1.0,26,799.792907
8.0,27,801.858959
1.0,55,804.040123
6.0,40,806.176934
1.0,29,806.238415
8.0,32,808.008259
3.0,14,808.854904
26.0,60,813.836267
7.0,76,818.994702
35.0,121,827.485025
1.0,26,827.503305
20.0,60,832.321129
