#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.1978495}
r,l,t
19.0,63,7.551112
3.0,24,8.852776
25.0,78,15.279554
3.0,44,17.493422
22.0,109,25.738366
2.0,21,26.647804
26.0,75,32.827682
1.0,19,32.844269
5.0,22,34.158811
3.0,165,46.796484
34.0,83,54.138487
21.0,104,61.874953
7.0,33,63.664154
12.0,62,66.67419
11.0,65,70.59059
6.0,25,71.968686
9.0,41,73.45611
1.0,41,75.670857
11.0,50,77.948742
12.0,44,80.477338
18.0,34,82.942014
8.0,49,84.493329
26.0,86,90.922576
6.0,49,93.169828
21.0,72,98.497214
16.0,74,104.239344
9.0,49,106.411447
18.0,76,112.894152
10.0,44,114.773988
7.0,42,118.500227
25.0,107,125.419961
15.0,66,129.366741
14.0,61,132.166205
4.0,25,134.213863
4.0,41,137.50668
14.0,35,139.581083
4.0,39,140.450806
9.0,35,142.274898
8.0,51,144.378463
1.0,21,144.403116
12.0,29,146.568779
21.0,75,152.949332
11.0,57,155.616681
10.0,49,158.184811
1.0,16,158.199628
41.0,234,178.563604
3.0,32,179.061677
1.0,27,179.200787
4.0,30,179.544997
1.0,23,180.299484
9.0,32,181.606346
8.0,16,182.100456
8.0,34,182.880045
4.0,47,184.349052
18.0,45,188.368621
5.0,40,190.169795
41.0,151,201.1915
4.0,47,204.694241
31.0,115,213.121769
15.0,88,219.276908
1.0,21,219.294641
38.0,110,228.76974
24.0,88,234.738696
39.0,231,253.421928
15.0,94,260.298754
11.0,47,263.301807
6.0,33,264.366586
4.0,21,265.655504
8.0,69,269.203258
4.0,19,270.253785
32.0,75,275.589348
5.0,22,276.994257
2.0,22,277.248149
5.0,37,279.954411
16.0,92,286.040115
15.0,54,289.460242
3.0,26,291.515977
5.0,15,291.910355
1.0,15,291.922285
43.0,136,303.331979
9.0,44,305.954763
16.0,30,308.470356
11.0,46,311.293195
5.0,24,311.662404
13.0,56,314.395349
1.0,19,314.409878
19.0,73,319.988998
2.0,41,320.91929
15.0,72,326.053373
1.0,13,326.565288
1.0,20,326.583195
17.0,53,330.4187
8.0,48,332.561087
11.0,18,333.705458
1.0,22,333.722629
13.0,30,335.974027
8.0,26,336.842334
1.0,23,336.861079
17.0,32,339.726444
2.0,29,340.179359
35.0,70,345.661423
53.0,139,356.344724
21.0,87,361.928616
11.0,34,364.125337
19.0,95,372.308286
6.0,56,376.689792
8.0,24,378.069929
21.0,79,384.172399
24.0,90,389.783238
2.0,24,390.040459
11.0,39,392.814247
3.0,40,394.903839
13.0,75,400.123357
7.0,50,403.218864
6.0,33,405.357118
21.0,112,413.141881
46.0,125,422.991632
5.0,28,424.665781
6.0,24,425.226509
59.0,146,437.65902
15.0,90,443.509656
10.0,34,445.210128
1.0,20,445.229105
24.0,73,450.818019
11.0,19,452.102745
20.0,43,455.263617
2.0,11,455.55264
10.0,38,458.287061
1.0,21,458.305576
4.0,25,460.478573
7.0,58,463.821722
17.0,38,465.744446
1.0,30,466.12695
49.0,113,475.049487
7.0,61,479.760989
2.0,28,479.819026
8.0,40,480.646551
42.0,65,485.892398
7.0,22,487.236204
17.0,78,493.616918
17.0,87,498.718301
13.0,78,504.373378
6.0,27,505.312136
9.0,50,507.915083
5.0,21,509.095835
7.0,98,514.980289
22.0,52,517.80386
5.0,35,518.528842
22.0,243,538.48423
1.0,17,538.499086
24.0,55,543.034877
31.0,141,554.231427
3.0,30,554.570729
1.0,32,555.110533
19.0,69,559.059935
10.0,50,562.950235
21.0,62,566.44345
17.0,91,572.342189
5.0,29,574.217961
7.0,27,576.151386
11.0,48,580.047951
44.0,103,587.17901
17.0,53,589.860808
21.0,76,595.722569
22.0,102,601.781442
2.0,33,603.945242
2.0,28,603.998507
22.0,124,612.498756
48.0,78,618.593314
23.0,70,624.004084
7.0,38,625.625387
1.0,23,625.642101
35.0,70,630.879188
11.0,45,633.829071
6.0,35,635.518131
19.0,63,639.740222
30.0,114,648.807441
4.0,21,648.961417
1.0,21,648.976729
55.0,118,659.271532
14.0,48,662.757539
5.0,31,663.869028
4.0,32,664.299932
20.0,102,671.540266
17.0,46,675.321394
