#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2329266}
r,l,t
20.0,75,6.691754
3.0,55,9.453883
7.0,42,13.300378
5.0,43,16.872262
22.0,89,24.476284
11.0,47,27.609865
7.0,66,32.713681
11.0,18,34.058142
5.0,22,35.547098
7.0,28,37.404742
9.0,31,39.532484
9.0,35,42.171398
6.0,42,45.768409
1.0,24,45.827132
9.0,51,49.354165
6.0,15,50.554369
1.0,15,50.566355
3.0,34,52.450355
3.0,33,53.658368
4.0,41,56.186674
4.0,38,56.825937
18.0,50,61.127917
17.0,64,66.588366
3.0,25,66.696695
14.0,66,70.557543
10.0,56,73.320295
5.0,58,77.378416
1.0,18,77.393251
4.0,21,78.258789
5.0,21,78.761721
8.0,36,81.170667
17.0,69,85.314293
20.0,62,89.63571
1.0,25,89.654941
17.0,47,93.94212
11.0,83,99.799691
7.0,66,103.161014
6.0,39,105.046796
13.0,60,108.130474
1.0,15,108.792166
9.0,36,110.366749
1.0,20,110.381904
4.0,21,111.580761
15.0,54,114.652272
6.0,62,119.34467
15.0,55,121.56379
26.0,108,130.272485
6.0,35,131.940937
3.0,23,132.129888
12.0,82,136.961438
19.0,58,140.820201
18.0,68,145.998979
35.0,102,153.816603
3.0,34,154.959295
7.0,35,157.556981
20.0,90,164.687138
18.0,85,169.477561
45.0,139,181.277307
7.0,36,183.689978
15.0,100,190.439908
21.0,62,194.927721
23.0,60,199.485005
18.0,42,202.48566
25.0,99,208.394128
53.0,115,217.415306
11.0,82,224.506704
46.0,188,239.276763
5.0,24,239.956051
25.0,84,244.918985
30.0,115,252.907094
6.0,35,253.746828
19.0,25,255.453399
8.0,50,257.56026
42.0,98,265.630988
15.0,51,270.089876
30.0,79,275.928512
1.0,17,275.941856
10.0,34,278.756978
1.0,24,278.780724
29.0,84,285.664165
9.0,30,287.996074
19.0,56,291.418066
2.0,20,291.477636
9.0,31,293.985392
18.0,63,297.897582
20.0,71,301.588671
37.0,94,308.953068
1.0,15,308.964789
13.0,103,317.291625
24.0,64,321.275804
8.0,27,323.532956
9.0,46,325.08382
7.0,11,325.659207
3.0,27,326.436622
14.0,46,328.900399
1.0,14,328.910706
5.0,26,329.796157
14.0,50,331.979769
3.0,20,332.113845
39.0,90,339.232455
51.0,114,348.59267
1.0,21,348.608893
16.0,82,355.127259
20.0,94,360.787803
1.0,8,360.796083
2.0,21,361.987759
3.0,20,362.080783
33.0,102,369.884724
