#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.2268634}
r,l,t
19.0,101,10.601081
4.0,24,11.133435
9.0,64,16.542611
2.0,69,21.880053
13.0,83,27.117523
5.0,59,32.223085
6.0,18,33.066133
8.0,23,34.067718
4.0,31,34.45623
7.0,29,36.492472
4.0,21,38.214728
13.0,37,40.124667
9.0,51,44.141847
3.0,16,44.44781
13.0,88,50.074757
36.0,124,60.661474
23.0,111,68.483615
13.0,76,74.781365
1.0,17,74.794668
10.0,47,77.921399
25.0,72,83.461402
28.0,120,93.20396
13.0,47,94.994851
1.0,21,95.013858
9.0,40,98.098226
17.0,118,106.676806
2.0,49,110.766124
2.0,27,111.538767
12.0,33,113.686776
50.0,131,124.102186
11.0,31,125.962971
29.0,139,137.261075
15.0,53,140.426243
3.0,53,142.549499
47.0,133,153.312757
14.0,32,155.543017
18.0,52,158.875192
4.0,43,159.94482
28.0,74,164.563082
8.0,31,167.189277
1.0,11,167.201195
8.0,71,173.257425
13.0,64,176.750313
41.0,199,193.916561
2.0,21,193.968451
8.0,44,195.740159
2.0,32,196.162404
26.0,74,202.431207
3.0,37,203.063234
3.0,30,203.358504
36.0,159,214.988673
14.0,107,223.188777
5.0,31,223.625055
25.0,87,229.343564
3.0,38,230.092455
3.0,37,230.900681
11.0,36,232.327774
22.0,116,241.983574
6.0,47,244.258886
9.0,21,245.458222
4.0,34,246.325769
4.0,28,246.741549
27.0,82,252.974807
30.0,116,260.581588
1.0,23,260.599859
8.0,53,265.227839
1.0,27,265.250703
12.0,29,267.576422
7.0,39,269.667296
34.0,123,278.761088
37.0,103,285.249432
2.0,58,288.095093
11.0,42,290.095886
6.0,48,292.016011
9.0,74,296.73133
10.0,26,298.762058
35.0,95,305.885111
11.0,53,309.967475
2.0,21,310.301396
3.0,36,311.219258
10.0,44,314.475779
28.0,106,323.070952
20.0,92,330.814214
5.0,10,331.216882
46.0,95,338.844773
1.0,14,338.85633
4.0,35,341.52756
21.0,47,344.817629
49.0,142,356.257737
1.0,26,356.279907
12.0,25,358.219581
10.0,28,359.950517
1.0,27,359.969809
17.0,68,365.751211
35.0,72,370.2397
22.0,64,373.649131
39.0,93,381.432503
1.0,17,381.444853
8.0,16,382.681872
17.0,61,385.413275
11.0,15,386.278931
5.0,37,387.666282
