command line args: /home/flo/Dokumente/Master_GuidedResearch/state_space_model_trainer.py --latent-space-model sSSM --lr 0.0005 --skip-frames 4 --weight-decay 0 --render --load-policy-model --batch-size 5 --sample-memory-size 50 --rollout-steps 10

Updates 79, num timesteps 400, FPS 33, frame loss 0.57671, reward loss 0.92007, pred reward 0.00000, reward 0.00000, time 0.20109 min
Updates 79, num timesteps 400, FPS 33, frame loss 0.57671, reward loss 0.92007, pred reward 0.00000, reward 0.00000, time 0.20114 min
Updates 81, num timesteps 410, FPS 32, frame loss 0.57530, reward loss 0.91998, pred reward 0.00000, reward 0.00000, time 0.20927 min
Updates 83, num timesteps 420, FPS 32, frame loss 0.57390, reward loss 0.92003, pred reward 0.00000, reward 0.00000, time 0.21343 min
Updates 85, num timesteps 430, FPS 32, frame loss 0.57254, reward loss 0.92034, pred reward 0.00000, reward 0.00000, time 0.21752 min
Updates 87, num timesteps 440, FPS 33, frame loss 0.57113, reward loss 0.92033, pred reward 0.00000, reward 0.00000, time 0.22163 min
Updates 89, num timesteps 450, FPS 33, frame loss 0.56971, reward loss 0.92040, pred reward 0.00000, reward 0.00000, time 0.22581 min
Updates 89, num timesteps 450, FPS 33, frame loss 0.56971, reward loss 0.92040, pred reward 0.00000, reward 0.00000, time 0.22587 min
Updates 91, num timesteps 460, FPS 32, frame loss 0.56841, reward loss 0.92080, pred reward 0.00000, reward 0.00000, time 0.23383 min
Updates 93, num timesteps 470, FPS 32, frame loss 0.56710, reward loss 0.92101, pred reward 0.00000, reward 0.00000, time 0.23793 min
Updates 95, num timesteps 480, FPS 33, frame loss 0.56573, reward loss 0.92168, pred reward 0.00000, reward 0.00000, time 0.24209 min
Updates 97, num timesteps 490, FPS 33, frame loss 0.56438, reward loss 0.92199, pred reward 0.00000, reward 0.00000, time 0.24621 min
Updates 99, num timesteps 500, FPS 33, frame loss 0.56301, reward loss 0.92253, pred reward 0.00000, reward 0.00000, time 0.25032 min
Updates 99, num timesteps 500, FPS 33, frame loss 0.56301, reward loss 0.92253, pred reward 0.00000, reward 0.00000, time 0.25037 min
Updates 101, num timesteps 510, FPS 32, frame loss 0.56165, reward loss 0.92254, pred reward 0.00000, reward 0.00000, time 0.25858 min
Updates 103, num timesteps 520, FPS 32, frame loss 0.56027, reward loss 0.92292, pred reward 0.00000, reward 0.00000, time 0.26268 min
Updates 105, num timesteps 530, FPS 33, frame loss 0.55900, reward loss 0.92278, pred reward 0.00000, reward 0.00000, time 0.26680 min
Updates 107, num timesteps 540, FPS 33, frame loss 0.55769, reward loss 0.92345, pred reward 0.00000, reward 0.00000, time 0.27090 min
Updates 109, num timesteps 550, FPS 33, frame loss 0.55637, reward loss 0.92418, pred reward 0.00000, reward 0.00000, time 0.27508 min
Updates 109, num timesteps 550, FPS 33, frame loss 0.55637, reward loss 0.92418, pred reward 0.00000, reward 0.00000, time 0.27514 min
Updates 111, num timesteps 560, FPS 32, frame loss 0.55499, reward loss 0.92463, pred reward 0.00000, reward 0.00000, time 0.28309 min
