command line args: state_space_model_trainer.py --latent-space-model dSSM_DET --lr 0.0001 --skip-frames 4 --weight-decay 0 --load-policy-model --batch-size 150 --sample-memory-size 1500 --rollout-steps 10 --port 5555

Updates 41, num timesteps 6300, FPS 69, frame loss 0.29558, reward loss 0.23795, pred reward 0.00000, reward 0.00000, time 1.51404 min
Updates 42, num timesteps 6450, FPS 70, frame loss 0.29447, reward loss 0.23543, pred reward 0.00000, reward 0.00000, time 1.53255 min
Updates 43, num timesteps 6600, FPS 70, frame loss 0.29336, reward loss 0.23279, pred reward 0.00000, reward 0.00000, time 1.55121 min
Updates 44, num timesteps 6750, FPS 71, frame loss 0.29226, reward loss 0.23057, pred reward 0.00000, reward 0.00000, time 1.56962 min
Updates 45, num timesteps 6900, FPS 72, frame loss 0.29115, reward loss 0.22826, pred reward 0.00000, reward 0.00000, time 1.58609 min
Updates 46, num timesteps 7050, FPS 73, frame loss 0.29003, reward loss 0.22623, pred reward 0.00000, reward 0.00000, time 1.60456 min
Updates 47, num timesteps 7200, FPS 73, frame loss 0.28892, reward loss 0.22427, pred reward 0.00000, reward 0.00000, time 1.62310 min
Updates 48, num timesteps 7350, FPS 74, frame loss 0.28779, reward loss 0.22234, pred reward 0.00000, reward 0.00000, time 1.64179 min
Updates 49, num timesteps 7500, FPS 75, frame loss 0.28666, reward loss 0.22052, pred reward 0.00000, reward 0.00000, time 1.66046 min
Updates 49, num timesteps 7500, FPS 75, frame loss 0.28666, reward loss 0.22052, pred reward 0.00000, reward 0.00000, time 1.66061 min
Updates 50, num timesteps 7650, FPS 75, frame loss 0.28552, reward loss 0.21851, pred reward 0.00000, reward 0.00000, time 1.67915 min
Updates 51, num timesteps 7800, FPS 76, frame loss 0.28437, reward loss 0.21672, pred reward 0.00000, reward 0.00000, time 1.69764 min
Updates 52, num timesteps 7950, FPS 77, frame loss 0.28321, reward loss 0.21492, pred reward 0.00000, reward 0.00000, time 1.71622 min
Updates 53, num timesteps 8100, FPS 77, frame loss 0.28203, reward loss 0.21331, pred reward 0.00000, reward 0.00000, time 1.73467 min
Updates 54, num timesteps 8250, FPS 78, frame loss 0.28085, reward loss 0.21178, pred reward 0.00000, reward 0.00000, time 1.75324 min
Updates 55, num timesteps 8400, FPS 79, frame loss 0.27967, reward loss 0.21036, pred reward 0.00000, reward 0.00000, time 1.77172 min
Updates 56, num timesteps 8550, FPS 79, frame loss 0.27849, reward loss 0.20889, pred reward 0.00000, reward 0.00000, time 1.79041 min
Updates 57, num timesteps 8700, FPS 80, frame loss 0.27732, reward loss 0.20750, pred reward 0.00000, reward 0.00000, time 1.80886 min
Updates 58, num timesteps 8850, FPS 80, frame loss 0.27615, reward loss 0.20615, pred reward 0.00000, reward 0.00000, time 1.82736 min
Updates 59, num timesteps 9000, FPS 81, frame loss 0.27499, reward loss 0.20476, pred reward 0.00000, reward 0.00000, time 1.84586 min
Updates 59, num timesteps 9000, FPS 81, frame loss 0.27499, reward loss 0.20476, pred reward 0.00000, reward 0.00000, time 1.84602 min
Updates 60, num timesteps 9150, FPS 81, frame loss 0.27384, reward loss 0.20350, pred reward 0.00000, reward 0.00000, time 1.86454 min
Updates 61, num timesteps 9300, FPS 82, frame loss 0.27269, reward loss 0.20213, pred reward 0.00000, reward 0.00000, time 1.88308 min
Updates 62, num timesteps 9450, FPS 82, frame loss 0.27156, reward loss 0.20090, pred reward 0.00000, reward 0.00000, time 1.90174 min
Updates 63, num timesteps 9600, FPS 83, frame loss 0.27044, reward loss 0.19971, pred reward 0.00000, reward 0.00000, time 1.92035 min
Updates 64, num timesteps 9750, FPS 83, frame loss 0.26934, reward loss 0.19855, pred reward 0.00000, reward 0.00000, time 1.93879 min
Updates 65, num timesteps 9900, FPS 84, frame loss 0.26825, reward loss 0.19734, pred reward 0.00000, reward 0.00000, time 1.95723 min
Updates 66, num timesteps 10050, FPS 84, frame loss 0.26717, reward loss 0.19627, pred reward 0.00000, reward 0.00000, time 1.97570 min
Updates 67, num timesteps 10200, FPS 85, frame loss 0.26611, reward loss 0.19533, pred reward 0.00000, reward 0.00000, time 1.99214 min
Updates 68, num timesteps 10350, FPS 85, frame loss 0.26507, reward loss 0.19430, pred reward 0.00000, reward 0.00000, time 2.01035 min
Updates 69, num timesteps 10500, FPS 86, frame loss 0.26404, reward loss 0.19321, pred reward 0.00000, reward 0.00000, time 2.02886 min
Updates 69, num timesteps 10500, FPS 86, frame loss 0.26404, reward loss 0.19321, pred reward 0.00000, reward 0.00000, time 2.02905 min
Updates 70, num timesteps 10650, FPS 86, frame loss 0.26304, reward loss 0.19220, pred reward 0.00000, reward 0.00000, time 2.04777 min
Updates 71, num timesteps 10800, FPS 87, frame loss 0.26205, reward loss 0.19124, pred reward 0.00000, reward 0.00000, time 2.06639 min
Updates 72, num timesteps 10950, FPS 87, frame loss 0.26107, reward loss 0.19046, pred reward 0.00000, reward 0.00000, time 2.08496 min
Updates 73, num timesteps 11100, FPS 87, frame loss 0.26012, reward loss 0.18960, pred reward 0.00000, reward 0.00000, time 2.10338 min
Updates 74, num timesteps 11250, FPS 88, frame loss 0.25919, reward loss 0.18881, pred reward 0.00000, reward 0.00000, time 2.11969 min
Updates 75, num timesteps 11400, FPS 88, frame loss 0.25827, reward loss 0.18791, pred reward 0.00000, reward 0.00000, time 2.13834 min
Updates 76, num timesteps 11550, FPS 89, frame loss 0.25737, reward loss 0.18713, pred reward 0.00000, reward 0.00000, time 2.15507 min
Updates 77, num timesteps 11700, FPS 89, frame loss 0.25649, reward loss 0.18629, pred reward 0.00000, reward 0.00000, time 2.18415 min
Updates 78, num timesteps 11850, FPS 89, frame loss 0.25561, reward loss 0.18555, pred reward 0.00000, reward 0.00000, time 2.20263 min
Updates 79, num timesteps 12000, FPS 90, frame loss 0.25476, reward loss 0.18480, pred reward 0.00000, reward 0.00000, time 2.22111 min
Updates 79, num timesteps 12000, FPS 89, frame loss 0.25476, reward loss 0.18480, pred reward 0.00000, reward 0.00000, time 2.22765 min
Updates 80, num timesteps 12150, FPS 90, frame loss 0.25391, reward loss 0.18417, pred reward 0.00000, reward 0.00000, time 2.24473 min
Updates 81, num timesteps 12300, FPS 90, frame loss 0.25308, reward loss 0.18341, pred reward 0.00000, reward 0.00000, time 2.26334 min
Updates 82, num timesteps 12450, FPS 90, frame loss 0.25226, reward loss 0.18267, pred reward 0.00000, reward 0.00000, time 2.28195 min
Updates 83, num timesteps 12600, FPS 91, frame loss 0.25146, reward loss 0.18194, pred reward 0.00000, reward 0.00000, time 2.30064 min
Updates 84, num timesteps 12750, FPS 91, frame loss 0.25068, reward loss 0.18127, pred reward 0.00000, reward 0.00000, time 2.31913 min
Updates 85, num timesteps 12900, FPS 91, frame loss 0.24991, reward loss 0.18061, pred reward 0.00000, reward 0.00000, time 2.33764 min
Updates 86, num timesteps 13050, FPS 92, frame loss 0.24914, reward loss 0.18001, pred reward 0.00000, reward 0.00000, time 2.35618 min
Updates 87, num timesteps 13200, FPS 92, frame loss 0.24839, reward loss 0.17937, pred reward 0.00000, reward 0.00000, time 2.37485 min
Updates 88, num timesteps 13350, FPS 92, frame loss 0.24765, reward loss 0.17875, pred reward 0.00000, reward 0.00000, time 2.39257 min
Updates 89, num timesteps 13500, FPS 93, frame loss 0.24692, reward loss 0.17805, pred reward 0.00000, reward 0.00000, time 2.41103 min
Updates 89, num timesteps 13500, FPS 93, frame loss 0.24692, reward loss 0.17805, pred reward 0.00000, reward 0.00000, time 2.41117 min
Updates 90, num timesteps 13650, FPS 93, frame loss 0.24620, reward loss 0.17755, pred reward 0.00000, reward 0.00000, time 2.42974 min
Updates 91, num timesteps 13800, FPS 93, frame loss 0.24549, reward loss 0.17703, pred reward 0.00000, reward 0.00000, time 2.44831 min
Updates 92, num timesteps 13950, FPS 94, frame loss 0.24479, reward loss 0.17647, pred reward 0.00000, reward 0.00000, time 2.46682 min
Updates 93, num timesteps 14100, FPS 94, frame loss 0.24410, reward loss 0.17595, pred reward 0.00000, reward 0.00000, time 2.48547 min
Updates 94, num timesteps 14250, FPS 94, frame loss 0.24342, reward loss 0.17529, pred reward 0.00000, reward 0.00000, time 2.50403 min
Updates 95, num timesteps 14400, FPS 95, frame loss 0.24274, reward loss 0.17479, pred reward 0.00000, reward 0.00000, time 2.52066 min
Updates 96, num timesteps 14550, FPS 95, frame loss 0.24208, reward loss 0.17418, pred reward 0.00000, reward 0.00000, time 2.53920 min
Updates 97, num timesteps 14700, FPS 95, frame loss 0.24142, reward loss 0.17348, pred reward 0.00000, reward 0.00000, time 2.55708 min
Updates 98, num timesteps 14850, FPS 96, frame loss 0.24077, reward loss 0.17306, pred reward 0.00000, reward 0.00000, time 2.57559 min
Updates 99, num timesteps 15000, FPS 96, frame loss 0.24013, reward loss 0.17260, pred reward 0.00000, reward 0.00000, time 2.59430 min
Updates 99, num timesteps 15000, FPS 96, frame loss 0.24013, reward loss 0.17260, pred reward 0.00000, reward 0.00000, time 2.59445 min
Updates 100, num timesteps 15150, FPS 96, frame loss 0.23950, reward loss 0.17212, pred reward 0.00000, reward 0.00000, time 2.61308 min
Updates 101, num timesteps 15300, FPS 96, frame loss 0.23887, reward loss 0.17158, pred reward 0.00000, reward 0.00000, time 2.63197 min
Updates 102, num timesteps 15450, FPS 97, frame loss 0.23824, reward loss 0.17112, pred reward 0.00000, reward 0.00000, time 2.64876 min
Updates 103, num timesteps 15600, FPS 97, frame loss 0.23763, reward loss 0.17067, pred reward 0.00000, reward 0.00000, time 2.66728 min
Updates 104, num timesteps 15750, FPS 97, frame loss 0.23702, reward loss 0.17025, pred reward 0.00000, reward 0.00000, time 2.68366 min
Updates 105, num timesteps 15900, FPS 98, frame loss 0.23642, reward loss 0.16979, pred reward 0.00000, reward 0.00000, time 2.70046 min
Updates 106, num timesteps 16050, FPS 98, frame loss 0.23583, reward loss 0.16943, pred reward 0.00000, reward 0.00000, time 2.71941 min
Updates 107, num timesteps 16200, FPS 98, frame loss 0.23524, reward loss 0.16899, pred reward 0.00000, reward 0.00000, time 2.73805 min
Updates 108, num timesteps 16350, FPS 98, frame loss 0.23466, reward loss 0.16866, pred reward 0.00000, reward 0.00000, time 2.75656 min
Updates 109, num timesteps 16500, FPS 99, frame loss 0.23408, reward loss 0.16826, pred reward 0.00000, reward 0.00000, time 2.77502 min
Updates 109, num timesteps 16500, FPS 99, frame loss 0.23408, reward loss 0.16826, pred reward 0.00000, reward 0.00000, time 2.77519 min
Updates 110, num timesteps 16650, FPS 99, frame loss 0.23352, reward loss 0.16779, pred reward 0.00000, reward 0.00000, time 2.79381 min
Updates 111, num timesteps 16800, FPS 99, frame loss 0.23295, reward loss 0.16745, pred reward 0.00000, reward 0.00000, time 2.81028 min
Updates 112, num timesteps 16950, FPS 99, frame loss 0.23239, reward loss 0.16707, pred reward 0.00000, reward 0.00000, time 2.82895 min
Updates 113, num timesteps 17100, FPS 100, frame loss 0.23184, reward loss 0.16671, pred reward 0.00000, reward 0.00000, time 2.84758 min
Updates 114, num timesteps 17250, FPS 100, frame loss 0.23129, reward loss 0.16637, pred reward 0.00000, reward 0.00000, time 2.86616 min
Updates 115, num timesteps 17400, FPS 100, frame loss 0.23075, reward loss 0.16598, pred reward 0.00000, reward 0.00000, time 2.88596 min
Updates 116, num timesteps 17550, FPS 100, frame loss 0.23021, reward loss 0.16558, pred reward 0.00000, reward 0.00000, time 2.90449 min
Updates 117, num timesteps 17700, FPS 100, frame loss 0.22967, reward loss 0.16525, pred reward 0.00000, reward 0.00000, time 2.92185 min
Updates 118, num timesteps 17850, FPS 101, frame loss 0.22914, reward loss 0.16492, pred reward 0.00000, reward 0.00000, time 2.94045 min
Updates 119, num timesteps 18000, FPS 101, frame loss 0.22861, reward loss 0.16451, pred reward 0.00000, reward 0.00000, time 2.95908 min
Updates 119, num timesteps 18000, FPS 101, frame loss 0.22861, reward loss 0.16451, pred reward 0.00000, reward 0.00000, time 2.95925 min
Updates 120, num timesteps 18150, FPS 101, frame loss 0.22809, reward loss 0.16425, pred reward 0.00000, reward 0.00000, time 2.97799 min
Updates 121, num timesteps 18300, FPS 101, frame loss 0.22757, reward loss 0.16392, pred reward 0.00000, reward 0.00000, time 2.99655 min
Updates 122, num timesteps 18450, FPS 101, frame loss 0.22706, reward loss 0.16358, pred reward 0.00000, reward 0.00000, time 3.01510 min
Updates 123, num timesteps 18600, FPS 102, frame loss 0.22655, reward loss 0.16330, pred reward 0.00000, reward 0.00000, time 3.03187 min
Updates 124, num timesteps 18750, FPS 102, frame loss 0.22604, reward loss 0.16289, pred reward 0.00000, reward 0.00000, time 3.05039 min
Updates 125, num timesteps 18900, FPS 102, frame loss 0.22554, reward loss 0.16268, pred reward 0.00000, reward 0.00000, time 3.06924 min
Updates 126, num timesteps 19050, FPS 102, frame loss 0.22504, reward loss 0.16237, pred reward 0.00000, reward 0.00000, time 3.08783 min
Updates 127, num timesteps 19200, FPS 103, frame loss 0.22455, reward loss 0.16210, pred reward 0.00000, reward 0.00000, time 3.10643 min
Updates 128, num timesteps 19350, FPS 103, frame loss 0.22406, reward loss 0.16184, pred reward 0.00000, reward 0.00000, time 3.12504 min
Updates 129, num timesteps 19500, FPS 103, frame loss 0.22358, reward loss 0.16158, pred reward 0.00000, reward 0.00000, time 3.14146 min
Updates 129, num timesteps 19500, FPS 103, frame loss 0.22358, reward loss 0.16158, pred reward 0.00000, reward 0.00000, time 3.14159 min
Updates 130, num timesteps 19650, FPS 103, frame loss 0.22310, reward loss 0.16125, pred reward 0.00000, reward 0.00000, time 3.16007 min
Updates 131, num timesteps 19800, FPS 103, frame loss 0.22262, reward loss 0.16099, pred reward 0.00000, reward 0.00000, time 3.17892 min
Updates 132, num timesteps 19950, FPS 103, frame loss 0.22215, reward loss 0.16077, pred reward 0.00000, reward 0.00000, time 3.19756 min
Updates 133, num timesteps 20100, FPS 104, frame loss 0.22168, reward loss 0.16052, pred reward 0.00000, reward 0.00000, time 3.21615 min
Updates 134, num timesteps 20250, FPS 104, frame loss 0.22121, reward loss 0.16031, pred reward 0.00000, reward 0.00000, time 3.23530 min
Updates 135, num timesteps 20400, FPS 104, frame loss 0.22074, reward loss 0.15997, pred reward 0.00000, reward 0.00000, time 3.25199 min
Updates 136, num timesteps 20550, FPS 104, frame loss 0.22027, reward loss 0.15973, pred reward 0.00000, reward 0.00000, time 3.27058 min
Updates 137, num timesteps 20700, FPS 104, frame loss 0.21980, reward loss 0.15950, pred reward 0.00000, reward 0.00000, time 3.28700 min
Updates 138, num timesteps 20850, FPS 105, frame loss 0.21935, reward loss 0.15923, pred reward 0.00000, reward 0.00000, time 3.30565 min
Updates 139, num timesteps 21000, FPS 105, frame loss 0.21889, reward loss 0.15905, pred reward 0.00000, reward 0.00000, time 3.32434 min
Updates 139, num timesteps 21000, FPS 105, frame loss 0.21889, reward loss 0.15905, pred reward 0.00000, reward 0.00000, time 3.32447 min
Updates 140, num timesteps 21150, FPS 105, frame loss 0.21843, reward loss 0.15881, pred reward 0.00000, reward 0.00000, time 3.34308 min
Updates 141, num timesteps 21300, FPS 105, frame loss 0.21798, reward loss 0.15852, pred reward 0.00000, reward 0.00000, time 3.36161 min
Updates 142, num timesteps 21450, FPS 105, frame loss 0.21754, reward loss 0.15831, pred reward 0.00000, reward 0.00000, time 3.38019 min
Updates 143, num timesteps 21600, FPS 105, frame loss 0.21709, reward loss 0.15797, pred reward 0.00000, reward 0.00000, time 3.39697 min
Updates 144, num timesteps 21750, FPS 106, frame loss 0.21664, reward loss 0.15769, pred reward 0.00000, reward 0.00000, time 3.41570 min
Updates 145, num timesteps 21900, FPS 106, frame loss 0.21620, reward loss 0.15745, pred reward 0.00000, reward 0.00000, time 3.43440 min
Updates 146, num timesteps 22050, FPS 106, frame loss 0.21576, reward loss 0.15721, pred reward 0.00000, reward 0.00000, time 3.45297 min
Updates 147, num timesteps 22200, FPS 106, frame loss 0.21532, reward loss 0.15697, pred reward 0.00000, reward 0.00000, time 3.47156 min
Updates 148, num timesteps 22350, FPS 106, frame loss 0.21489, reward loss 0.15683, pred reward 0.00000, reward 0.00000, time 3.49022 min
Updates 149, num timesteps 22500, FPS 106, frame loss 0.21445, reward loss 0.15658, pred reward 0.00000, reward 0.00000, time 3.50873 min
Updates 149, num timesteps 22500, FPS 106, frame loss 0.21445, reward loss 0.15658, pred reward 0.00000, reward 0.00000, time 3.50887 min
Updates 150, num timesteps 22650, FPS 107, frame loss 0.21402, reward loss 0.15635, pred reward 0.00000, reward 0.00000, time 3.52763 min
Updates 151, num timesteps 22800, FPS 107, frame loss 0.21359, reward loss 0.15609, pred reward 0.00000, reward 0.00000, time 3.54627 min
Updates 152, num timesteps 22950, FPS 107, frame loss 0.21316, reward loss 0.15589, pred reward 0.00000, reward 0.00000, time 3.56494 min
Updates 153, num timesteps 23100, FPS 107, frame loss 0.21273, reward loss 0.15562, pred reward 0.00000, reward 0.00000, time 3.58317 min
Updates 154, num timesteps 23250, FPS 107, frame loss 0.21230, reward loss 0.15539, pred reward 0.00000, reward 0.00000, time 3.59962 min
Updates 155, num timesteps 23400, FPS 107, frame loss 0.21188, reward loss 0.15515, pred reward 0.00000, reward 0.00000, time 3.61605 min
Updates 156, num timesteps 23550, FPS 108, frame loss 0.21145, reward loss 0.15499, pred reward 0.00000, reward 0.00000, time 3.63254 min
Updates 157, num timesteps 23700, FPS 108, frame loss 0.21103, reward loss 0.15474, pred reward 0.00000, reward 0.00000, time 3.65160 min
Updates 158, num timesteps 23850, FPS 108, frame loss 0.21061, reward loss 0.15454, pred reward 0.00000, reward 0.00000, time 3.67018 min
Updates 159, num timesteps 24000, FPS 108, frame loss 0.21019, reward loss 0.15430, pred reward 0.00000, reward 0.00000, time 3.68877 min
Updates 159, num timesteps 24000, FPS 108, frame loss 0.21019, reward loss 0.15430, pred reward 0.00000, reward 0.00000, time 3.68892 min
