command line args: I2A/EnvironmentModel/make_environment_model.py --env-name HuntMiniPacmanNoFrameskip-v0 --use-class-labels --load-policy-model --batch-size 2000 --lr 7e-4 --eps 1e-8 --reward-loss-coef 0.01 --save-environment-model-dir trained_models/environment_models/ --load-policy-model-dir trained_models/a2c/ --port 5025

Updates 449, num timesteps 900000, FPS 2156, frame loss 0.14605, reward loss 5.60674, pred reward 0.00000, reward 0.00000, time 6.95492 min
Updates 459, num timesteps 920000, FPS 2162, frame loss 0.14323, reward loss 5.59212, pred reward 0.00000, reward 0.00000, time 7.08982 min
Updates 469, num timesteps 940000, FPS 2167, frame loss 0.14053, reward loss 5.58640, pred reward 0.00000, reward 0.00000, time 7.22805 min
Updates 479, num timesteps 960000, FPS 2170, frame loss 0.13793, reward loss 5.59238, pred reward 0.00000, reward 0.00000, time 7.37055 min
Updates 489, num timesteps 980000, FPS 2176, frame loss 0.13543, reward loss 5.59739, pred reward 0.00000, reward 0.00000, time 7.50579 min
Updates 499, num timesteps 1000000, FPS 2181, frame loss 0.13303, reward loss 5.60281, pred reward 0.00000, reward 0.00000, time 7.64099 min
Updates 509, num timesteps 1020000, FPS 2185, frame loss 0.13072, reward loss 5.59901, pred reward 0.00000, reward 0.00000, time 7.77793 min
Updates 519, num timesteps 1040000, FPS 2188, frame loss 0.12850, reward loss 5.59207, pred reward 0.00000, reward 0.00000, time 7.92043 min
Updates 529, num timesteps 1060000, FPS 2191, frame loss 0.12635, reward loss 5.60304, pred reward 0.00000, reward 0.00000, time 8.05997 min
Updates 539, num timesteps 1080000, FPS 2196, frame loss 0.12428, reward loss 5.59647, pred reward 0.00000, reward 0.00000, time 8.19548 min
Updates 549, num timesteps 1100000, FPS 2201, frame loss 0.12229, reward loss 5.59132, pred reward 0.00000, reward 0.00000, time 8.32904 min
Updates 559, num timesteps 1120000, FPS 2200, frame loss 0.12037, reward loss 5.60163, pred reward 0.00000, reward 0.00000, time 8.48369 min
Updates 569, num timesteps 1140000, FPS 2207, frame loss 0.11851, reward loss 5.59920, pred reward 0.00000, reward 0.00000, time 8.60715 min
Updates 579, num timesteps 1160000, FPS 2202, frame loss 0.11670, reward loss 5.60090, pred reward 0.00000, reward 0.00000, time 8.77813 min
Updates 589, num timesteps 1180000, FPS 2206, frame loss 0.11496, reward loss 5.60043, pred reward 0.00000, reward 0.00000, time 8.91169 min
Updates 599, num timesteps 1200000, FPS 2210, frame loss 0.11328, reward loss 5.58990, pred reward 0.00000, reward 0.00000, time 9.04607 min
Updates 609, num timesteps 1220000, FPS 2212, frame loss 0.11164, reward loss 5.58495, pred reward 0.00000, reward 0.00000, time 9.19102 min
Updates 619, num timesteps 1240000, FPS 2214, frame loss 0.11006, reward loss 5.58953, pred reward 0.00000, reward 0.00000, time 9.33097 min
Updates 629, num timesteps 1260000, FPS 2217, frame loss 0.10852, reward loss 5.59465, pred reward 0.00000, reward 0.00000, time 9.46985 min
Updates 639, num timesteps 1280000, FPS 2219, frame loss 0.10703, reward loss 5.59306, pred reward 0.00000, reward 0.00000, time 9.61195 min
Updates 649, num timesteps 1300000, FPS 2222, frame loss 0.10558, reward loss 5.59421, pred reward 0.00000, reward 0.00000, time 9.75048 min
Updates 659, num timesteps 1320000, FPS 2224, frame loss 0.10418, reward loss 5.59995, pred reward 0.00000, reward 0.00000, time 9.88775 min
Updates 669, num timesteps 1340000, FPS 2228, frame loss 0.10281, reward loss 5.59964, pred reward 0.00000, reward 0.00000, time 10.02224 min
Updates 679, num timesteps 1360000, FPS 2231, frame loss 0.10149, reward loss 5.59668, pred reward 0.00000, reward 0.00000, time 10.15658 min
Updates 689, num timesteps 1380000, FPS 2234, frame loss 0.10020, reward loss 5.59773, pred reward 0.00000, reward 0.00000, time 10.29413 min
Updates 699, num timesteps 1400000, FPS 2235, frame loss 0.09894, reward loss 5.60187, pred reward 0.00000, reward 0.00000, time 10.43710 min
Updates 709, num timesteps 1420000, FPS 2238, frame loss 0.09772, reward loss 5.60105, pred reward 0.00000, reward 0.00000, time 10.57129 min
Updates 719, num timesteps 1440000, FPS 2241, frame loss 0.09653, reward loss 5.60754, pred reward 0.00000, reward 0.00000, time 10.70618 min
Updates 729, num timesteps 1460000, FPS 2244, frame loss 0.09537, reward loss 5.60358, pred reward 0.00000, reward 0.00000, time 10.84229 min
Updates 739, num timesteps 1480000, FPS 2244, frame loss 0.09424, reward loss 5.61258, pred reward 0.00000, reward 0.00000, time 10.98920 min
Updates 749, num timesteps 1500000, FPS 2246, frame loss 0.09314, reward loss 5.61038, pred reward 0.00000, reward 0.00000, time 11.12669 min
Updates 759, num timesteps 1520000, FPS 2249, frame loss 0.09207, reward loss 5.61140, pred reward 0.00000, reward 0.00000, time 11.26111 min
Updates 769, num timesteps 1540000, FPS 2253, frame loss 0.09102, reward loss 5.60402, pred reward 0.00000, reward 0.00000, time 11.38793 min
Updates 779, num timesteps 1560000, FPS 2255, frame loss 0.09000, reward loss 5.60132, pred reward 0.00000, reward 0.00000, time 11.52542 min
Updates 789, num timesteps 1580000, FPS 2258, frame loss 0.08900, reward loss 5.60192, pred reward 0.00000, reward 0.00000, time 11.66012 min
Updates 799, num timesteps 1600000, FPS 2259, frame loss 0.08803, reward loss 5.59902, pred reward 0.00000, reward 0.00000, time 11.80201 min
Updates 809, num timesteps 1620000, FPS 2261, frame loss 0.08708, reward loss 5.60018, pred reward 0.00000, reward 0.00000, time 11.94118 min
Updates 819, num timesteps 1640000, FPS 2261, frame loss 0.08616, reward loss 5.60101, pred reward 0.00000, reward 0.00000, time 12.08385 min
Updates 829, num timesteps 1660000, FPS 2263, frame loss 0.08526, reward loss 5.60255, pred reward 0.00000, reward 0.00000, time 12.22180 min
Updates 839, num timesteps 1680000, FPS 2266, frame loss 0.08437, reward loss 5.60208, pred reward 0.00000, reward 0.00000, time 12.35624 min
Updates 849, num timesteps 1700000, FPS 2265, frame loss 0.08351, reward loss 5.60104, pred reward 0.00000, reward 0.00000, time 12.50489 min
Updates 859, num timesteps 1720000, FPS 2267, frame loss 0.08266, reward loss 5.59542, pred reward 0.00000, reward 0.00000, time 12.64430 min
Updates 869, num timesteps 1740000, FPS 2267, frame loss 0.08183, reward loss 5.59689, pred reward 0.00000, reward 0.00000, time 12.78685 min
Updates 879, num timesteps 1760000, FPS 2269, frame loss 0.08103, reward loss 5.59328, pred reward 0.00000, reward 0.00000, time 12.92677 min
Updates 889, num timesteps 1780000, FPS 2270, frame loss 0.08023, reward loss 5.58873, pred reward 0.00000, reward 0.00000, time 13.06407 min
Updates 899, num timesteps 1800000, FPS 2272, frame loss 0.07945, reward loss 5.59306, pred reward 0.00000, reward 0.00000, time 13.20415 min
Updates 909, num timesteps 1820000, FPS 2273, frame loss 0.07869, reward loss 5.59142, pred reward 0.00000, reward 0.00000, time 13.34068 min
Updates 919, num timesteps 1840000, FPS 2274, frame loss 0.07795, reward loss 5.58720, pred reward 0.00000, reward 0.00000, time 13.48025 min
Updates 929, num timesteps 1860000, FPS 2276, frame loss 0.07721, reward loss 5.59366, pred reward 0.00000, reward 0.00000, time 13.62007 min
Updates 939, num timesteps 1880000, FPS 2277, frame loss 0.07650, reward loss 5.59142, pred reward 0.00000, reward 0.00000, time 13.75550 min
Updates 949, num timesteps 1900000, FPS 2279, frame loss 0.07579, reward loss 5.59349, pred reward 0.00000, reward 0.00000, time 13.89040 min
Updates 959, num timesteps 1920000, FPS 2285, frame loss 0.07510, reward loss 5.59234, pred reward 0.00000, reward 0.00000, time 14.00115 min
Updates 969, num timesteps 1940000, FPS 2289, frame loss 0.07443, reward loss 5.59018, pred reward 0.00000, reward 0.00000, time 14.12006 min
Updates 979, num timesteps 1960000, FPS 2291, frame loss 0.07376, reward loss 5.58746, pred reward 0.00000, reward 0.00000, time 14.25514 min
Updates 989, num timesteps 1980000, FPS 2293, frame loss 0.07311, reward loss 5.58243, pred reward 0.00000, reward 0.00000, time 14.38958 min
Updates 999, num timesteps 2000000, FPS 2294, frame loss 0.07248, reward loss 5.58664, pred reward 0.00000, reward 0.00000, time 14.52928 min
Updates 1009, num timesteps 2020000, FPS 2295, frame loss 0.07185, reward loss 5.58908, pred reward 0.00000, reward 0.00000, time 14.66652 min
Updates 1019, num timesteps 2040000, FPS 2297, frame loss 0.07123, reward loss 5.59315, pred reward 0.00000, reward 0.00000, time 14.80178 min
Updates 1029, num timesteps 2060000, FPS 2298, frame loss 0.07062, reward loss 5.58645, pred reward 0.00000, reward 0.00000, time 14.93708 min
Updates 1039, num timesteps 2080000, FPS 2298, frame loss 0.07003, reward loss 5.58176, pred reward 0.00000, reward 0.00000, time 15.07963 min
Updates 1049, num timesteps 2100000, FPS 2300, frame loss 0.06944, reward loss 5.58005, pred reward 0.00000, reward 0.00000, time 15.21650 min
Updates 1059, num timesteps 2120000, FPS 2301, frame loss 0.06887, reward loss 5.58277, pred reward 0.00000, reward 0.00000, time 15.34923 min
Updates 1069, num timesteps 2140000, FPS 2302, frame loss 0.06830, reward loss 5.58516, pred reward 0.00000, reward 0.00000, time 15.48730 min
Updates 1079, num timesteps 2160000, FPS 2299, frame loss 0.06775, reward loss 5.58584, pred reward 0.00000, reward 0.00000, time 15.65721 min
Updates 1089, num timesteps 2180000, FPS 2300, frame loss 0.06720, reward loss 5.57971, pred reward 0.00000, reward 0.00000, time 15.79042 min
Updates 1099, num timesteps 2200000, FPS 2302, frame loss 0.06667, reward loss 5.57933, pred reward 0.00000, reward 0.00000, time 15.92469 min
Updates 1109, num timesteps 2220000, FPS 2302, frame loss 0.06614, reward loss 5.57891, pred reward 0.00000, reward 0.00000, time 16.06891 min
Updates 1119, num timesteps 2240000, FPS 2303, frame loss 0.06562, reward loss 5.57364, pred reward 0.00000, reward 0.00000, time 16.20576 min
Updates 1129, num timesteps 2260000, FPS 2305, frame loss 0.06511, reward loss 5.57226, pred reward 0.00000, reward 0.00000, time 16.34029 min
Updates 1139, num timesteps 2280000, FPS 2306, frame loss 0.06461, reward loss 5.57100, pred reward 0.00000, reward 0.00000, time 16.47401 min
Updates 1149, num timesteps 2300000, FPS 2307, frame loss 0.06412, reward loss 5.57072, pred reward 0.00000, reward 0.00000, time 16.61293 min
Updates 1159, num timesteps 2320000, FPS 2309, frame loss 0.06363, reward loss 5.57346, pred reward 0.00000, reward 0.00000, time 16.74391 min
Updates 1169, num timesteps 2340000, FPS 2310, frame loss 0.06316, reward loss 5.57282, pred reward 0.00000, reward 0.00000, time 16.88307 min
Updates 1179, num timesteps 2360000, FPS 2311, frame loss 0.06269, reward loss 5.57468, pred reward 0.00000, reward 0.00000, time 17.01804 min
Updates 1189, num timesteps 2380000, FPS 2312, frame loss 0.06223, reward loss 5.57466, pred reward 0.00000, reward 0.00000, time 17.15662 min
Updates 1199, num timesteps 2400000, FPS 2311, frame loss 0.06178, reward loss 5.57644, pred reward 0.00000, reward 0.00000, time 17.30279 min
Updates 1209, num timesteps 2420000, FPS 2312, frame loss 0.06133, reward loss 5.57877, pred reward 0.00000, reward 0.00000, time 17.44138 min
Updates 1219, num timesteps 2440000, FPS 2313, frame loss 0.06089, reward loss 5.57490, pred reward 0.00000, reward 0.00000, time 17.57754 min
Updates 1229, num timesteps 2460000, FPS 2313, frame loss 0.06045, reward loss 5.57818, pred reward 0.00000, reward 0.00000, time 17.71882 min
Updates 1239, num timesteps 2480000, FPS 2314, frame loss 0.06003, reward loss 5.57992, pred reward 0.00000, reward 0.00000, time 17.85727 min
Updates 1249, num timesteps 2500000, FPS 2315, frame loss 0.05961, reward loss 5.58026, pred reward 0.00000, reward 0.00000, time 17.99236 min
Updates 1259, num timesteps 2520000, FPS 2316, frame loss 0.05919, reward loss 5.58218, pred reward 0.00000, reward 0.00000, time 18.12825 min
Updates 1269, num timesteps 2540000, FPS 2316, frame loss 0.05879, reward loss 5.57951, pred reward 0.00000, reward 0.00000, time 18.27494 min
Updates 1279, num timesteps 2560000, FPS 2317, frame loss 0.05839, reward loss 5.57602, pred reward 0.00000, reward 0.00000, time 18.40979 min
Updates 1289, num timesteps 2580000, FPS 2318, frame loss 0.05799, reward loss 5.57833, pred reward 0.00000, reward 0.00000, time 18.54382 min
Updates 1299, num timesteps 2600000, FPS 2320, frame loss 0.05760, reward loss 5.57898, pred reward 0.00000, reward 0.00000, time 18.67734 min
Updates 1309, num timesteps 2620000, FPS 2320, frame loss 0.05722, reward loss 5.57420, pred reward 0.00000, reward 0.00000, time 18.81769 min
